file,shots,input,counts
Bug4Q_id39_origin,1024,'0000x',{'0000': 1024}
Bug4Q_id39_origin,1024,'0001x',{'1000': 1024}
Bug4Q_id39_origin,1024,'0010x',{'1110': 1024}
Bug4Q_id39_origin,1024,'0011x',{'0110': 1024}
Bug4Q_id39_origin,1024,'0100x',"{'1101': 262, '0101': 247, '1011': 247, '0011': 268}"
Bug4Q_id39_origin,1024,'0101x',"{'1101': 262, '0101': 247, '1011': 247, '0011': 268}"
Bug4Q_id39_origin,1024,'0110x',"{'1101': 262, '0101': 247, '1011': 247, '0011': 268}"
Bug4Q_id39_origin,1024,'0111x',"{'1101': 262, '0101': 247, '1011': 247, '0011': 268}"
Bug4Q_id39_origin,1024,'1000x',"{'1100': 262, '0100': 247, '1010': 247, '0010': 268}"
Bug4Q_id39_origin,1024,'1001x',"{'1100': 262, '0100': 247, '1010': 247, '0010': 268}"
Bug4Q_id39_origin,1024,'1010x',"{'1100': 262, '0100': 247, '1010': 247, '0010': 268}"
Bug4Q_id39_origin,1024,'1011x',"{'1100': 262, '0100': 247, '1010': 247, '0010': 268}"
Bug4Q_id39_origin,1024,'1100x',{'1001': 1024}
Bug4Q_id39_origin,1024,'1101x',{'0001': 1024}
Bug4Q_id39_origin,1024,'1110x',{'0111': 1024}
Bug4Q_id39_origin,1024,'1111x',{'1111': 1024}
Bug4Q_id39_origin,1024,'0000y',"{'1100': 72, '0111': 70, '1101': 64, '1011': 59, '0001': 66, '1111': 59, '0010': 77, '0101': 60, '1110': 67, '1010': 64, '0011': 57, '1000': 59, '0000': 68, '0110': 58, '0100': 59, '1001': 65}"
Bug4Q_id39_origin,1024,'0001y',"{'1100': 72, '0111': 70, '1101': 64, '1011': 59, '0001': 66, '1111': 59, '0010': 77, '0101': 60, '1110': 67, '1010': 64, '0011': 57, '1000': 59, '0000': 68, '0110': 58, '0100': 59, '1001': 65}"
Bug4Q_id39_origin,1024,'0010y',"{'1100': 72, '0111': 70, '1101': 64, '1011': 59, '0001': 66, '1111': 59, '0010': 77, '0101': 60, '1110': 67, '1010': 64, '0011': 57, '1000': 59, '0000': 68, '0110': 58, '0100': 59, '1001': 65}"
Bug4Q_id39_origin,1024,'0011y',"{'1100': 72, '0111': 70, '1101': 64, '1011': 59, '0001': 66, '1111': 59, '0010': 77, '0101': 60, '1110': 67, '1010': 64, '0011': 57, '1000': 59, '0000': 68, '0110': 58, '0100': 59, '1001': 65}"
