file,shots,input,counts
ae_3,1024,'000x',"{'110': 235, '101': 115, '000': 233, '001': 151, '011': 194, '111': 79, '100': 16, '010': 1}"
ae_3,1024,'001x',"{'101': 161, '100': 253, '010': 253, '111': 139, '001': 95, '011': 110, '000': 13}"
ae_3,1024,'010x',"{'110': 235, '101': 115, '000': 233, '001': 151, '011': 194, '111': 79, '100': 16, '010': 1}"
ae_3,1024,'011x',"{'101': 161, '100': 253, '010': 253, '111': 139, '001': 95, '011': 110, '000': 13}"
ae_3,1024,'100x',"{'110': 235, '101': 115, '000': 233, '001': 151, '011': 194, '111': 79, '100': 16, '010': 1}"
ae_3,1024,'101x',"{'101': 161, '100': 253, '010': 253, '111': 139, '001': 95, '011': 110, '000': 13}"
ae_3,1024,'110x',"{'110': 235, '101': 115, '000': 233, '001': 151, '011': 194, '111': 79, '100': 16, '010': 1}"
ae_3,1024,'111x',"{'101': 161, '100': 253, '010': 253, '111': 139, '001': 95, '011': 110, '000': 13}"
ae_3,1024,'000y',"{'110': 189, '000': 350, '111': 169, '100': 96, '010': 81, '011': 81, '101': 44, '001': 14}"
ae_3,1024,'001y',"{'110': 189, '000': 350, '111': 169, '100': 96, '010': 81, '011': 81, '101': 44, '001': 14}"
ae_3,1024,'010y',"{'101': 238, '010': 386, '110': 33, '001': 68, '100': 148, '000': 57, '111': 79, '011': 15}"
ae_3,1024,'011y',"{'101': 238, '010': 386, '110': 33, '001': 68, '100': 148, '000': 57, '111': 79, '011': 15}"
ae_3,1024,'100y',"{'110': 189, '001': 355, '111': 169, '101': 93, '010': 81, '000': 9, '100': 47, '011': 81}"
ae_3,1024,'101y',"{'110': 189, '001': 355, '111': 169, '101': 93, '010': 81, '000': 9, '100': 47, '011': 81}"
ae_3,1024,'110y',"{'101': 142, '100': 244, '010': 8, '110': 78, '001': 79, '011': 393, '000': 46, '111': 34}"
ae_3,1024,'111y',"{'101': 142, '100': 244, '010': 8, '110': 78, '001': 79, '011': 393, '000': 46, '111': 34}"
ae_3,1024,'000z',"{'100': 287, '010': 253, '110': 65, '011': 270, '000': 12, '111': 71, '001': 61, '101': 5}"
ae_3,1024,'001z',"{'110': 261, '000': 266, '111': 224, '011': 94, '010': 73, '100': 26, '101': 74, '001': 6}"
ae_3,1024,'010z',"{'110': 141, '101': 122, '000': 492, '111': 117, '100': 48, '010': 51, '011': 42, '001': 11}"
ae_3,1024,'011z',"{'100': 494, '001': 129, '101': 14, '011': 147, '010': 139, '000': 24, '110': 42, '111': 35}"
ae_3,1024,'100z',"{'101': 283, '010': 253, '110': 65, '100': 9, '011': 270, '000': 53, '111': 71, '001': 20}"
ae_3,1024,'101z',"{'110': 261, '001': 270, '111': 224, '011': 94, '010': 73, '100': 82, '101': 18, '000': 2}"
ae_3,1024,'110z',"{'110': 141, '100': 136, '001': 500, '111': 117, '010': 51, '011': 42, '101': 34, '000': 3}"
ae_3,1024,'111z',"{'101': 500, '001': 43, '000': 110, '011': 147, '010': 139, '110': 42, '100': 8, '111': 35}"
