file,shots,input,counts
grover_4,1024,'0000x',"{'1100': 66, '1010': 86, '0010': 74, '1110': 66, '1001': 75, '0110': 83, '0100': 58, '0001': 61, '1011': 65, '1101': 76, '1111': 58, '0111': 86, '0011': 92, '0101': 69, '1000': 6, '0000': 3}"
grover_4,1024,'0001x',"{'1000': 498, '0000': 526}"
grover_4,1024,'0010x',"{'1100': 380, '0100': 421, '1001': 12, '0000': 57, '1000': 69, '0110': 7, '0111': 13, '0011': 6, '0001': 7, '0101': 7, '1111': 7, '1011': 8, '0010': 8, '1110': 7, '1101': 5, '1010': 10}"
grover_4,1024,'0011x',"{'1100': 498, '0100': 526}"
grover_4,1024,'0100x',"{'1010': 384, '0010': 415, '1001': 12, '0000': 57, '1000': 69, '0110': 7, '0111': 13, '0001': 7, '0101': 7, '1111': 7, '0100': 9, '1110': 7, '1011': 7, '1100': 7, '1101': 5, '0011': 11}"
grover_4,1024,'0101x',"{'1010': 498, '0010': 526}"
grover_4,1024,'0110x',"{'1110': 373, '0110': 412, '0100': 9, '1001': 12, '0000': 57, '1000': 69, '1101': 11, '0111': 13, '0011': 6, '0001': 7, '1111': 7, '1100': 8, '1011': 8, '0010': 8, '0101': 14, '1010': 10}"
grover_4,1024,'0111x',"{'1110': 498, '0110': 526}"
grover_4,1024,'1000x',"{'1001': 392, '0001': 411, '0000': 57, '1000': 69, '0010': 11, '0110': 7, '0111': 13, '0101': 7, '1111': 7, '0100': 9, '1110': 7, '1011': 7, '1100': 7, '1101': 5, '0011': 11, '1010': 4}"
grover_4,1024,'1001x',"{'1001': 498, '0001': 526}"
grover_4,1024,'1010x',"{'1101': 377, '0101': 419, '0100': 9, '1001': 12, '0000': 57, '1000': 69, '0110': 7, '0111': 13, '0011': 6, '0001': 7, '1111': 7, '1100': 8, '1011': 8, '0010': 8, '1110': 7, '1010': 10}"
grover_4,1024,'1011x',"{'1101': 498, '0101': 526}"
grover_4,1024,'1100x',"{'1011': 381, '0011': 418, '1001': 12, '0000': 57, '1000': 69, '0110': 7, '0111': 13, '0001': 7, '0101': 7, '1111': 7, '0100': 9, '0010': 8, '1110': 7, '1100': 7, '1101': 5, '1010': 10}"
grover_4,1024,'1101x',"{'1011': 498, '0011': 526}"
grover_4,1024,'1110x',"{'1111': 370, '0111': 416, '0100': 9, '1001': 12, '0000': 57, '1000': 69, '1101': 11, '0011': 6, '0001': 7, '1100': 8, '1011': 8, '1110': 10, '0110': 9, '0010': 8, '0101': 14, '1010': 10}"
grover_4,1024,'1111x',"{'1111': 498, '0111': 526}"
