file,shots,input,counts
qaoa_6,1024,'000000x',"{'100100': 38, '011011': 46, '000000': 264, '110011': 7, '011000': 41, '001001': 67, '000011': 31, '010100': 59, '100010': 51, '101000': 54, '111010': 15, '010010': 79, '001010': 7, '100111': 40, '000101': 60, '110110': 15, '100001': 2, '001111': 4, '111111': 14, '101011': 12, '011101': 20, '111001': 6, '101101': 12, '001100': 8, '000110': 5, '110000': 4, '111100': 26, '010111': 17, '110101': 6, '011110': 5, '010001': 2, '101110': 7}"
qaoa_6,1024,'000001x',"{'101100': 7, '101001': 78, '101010': 54, '001110': 8, '110100': 81, '001000': 31, '100101': 98, '100000': 293, '000001': 7, '100011': 16, '110010': 78, '110111': 11, '000100': 38, '010000': 20, '110001': 11, '001011': 19, '000010': 17, '011010': 18, '111110': 7, '101111': 5, '100110': 3, '011100': 10, '011111': 12, '010011': 13, '000111': 11, '010110': 7, '111101': 12, '011001': 18, '010101': 21, '111000': 7, '001101': 2, '111011': 11}"
qaoa_6,1024,'000010x',"{'101100': 16, '011001': 102, '001110': 8, '111000': 80, '001000': 41, '010000': 296, '000001': 7, '010110': 59, '100011': 12, '110010': 78, '010101': 88, '000100': 26, '000111': 13, '010011': 15, '110001': 11, '001011': 19, '101010': 7, '000010': 17, '100101': 12, '100000': 10, '111110': 7, '110100': 12, '101111': 5, '101001': 18, '011010': 7, '100110': 11, '011100': 9, '110111': 7, '111101': 12, '001101': 2, '111011': 11, '011111': 6}"
qaoa_6,1024,'000011x',"{'110101': 86, '110000': 382, '010010': 31, '111001': 65, '001100': 9, '101110': 13, '100010': 26, '000000': 13, '110110': 38, '111010': 36, '000101': 22, '001001': 19, '001111': 10, '010001': 33, '100100': 41, '011000': 50, '111111': 23, '101000': 20, '100111': 8, '000110': 6, '011011': 7, '011110': 12, '110011': 5, '000011': 9, '010100': 26, '111100': 12, '100001': 17, '001010': 4, '011101': 1}"
qaoa_6,1024,'000100x',"{'100101': 14, '011100': 92, '001000': 291, '101010': 59, '011010': 95, '001101': 85, '000001': 13, '011001': 12, '101001': 66, '110100': 10, '010000': 45, '000100': 18, '000111': 11, '100011': 17, '001110': 15, '100110': 10, '101111': 14, '011111': 13, '010011': 18, '111110': 12, '100000': 21, '110001': 10, '001011': 15, '000010': 11, '010110': 11, '010101': 8, '110111': 7, '101100': 12, '111011': 5, '110010': 4, '111101': 7, '111000': 3}"
qaoa_6,1024,'000101x',"{'101101': 75, '101000': 307, '001010': 64, '111100': 87, '001001': 44, '100010': 40, '011101': 10, '100100': 25, '000000': 22, '111010': 73, '000101': 23, '000110': 9, '110000': 9, '100001': 55, '110110': 8, '010010': 23, '111111': 7, '101110': 8, '110011': 8, '110101': 18, '100111': 6, '010100': 20, '101011': 6, '010001': 16, '001111': 10, '010111': 10, '001100': 11, '011110': 4, '011000': 11, '111001': 8, '011011': 4, '000011': 3}"
qaoa_6,1024,'000110x',"{'101000': 11, '011101': 96, '001100': 42, '111001': 54, '001010': 40, '011000': 355, '000000': 26, '011110': 56, '110011': 13, '111010': 68, '000011': 7, '000110': 22, '100111': 4, '101101': 7, '110000': 44, '100100': 9, '010010': 10, '111100': 4, '101011': 7, '100001': 17, '101110': 8, '100010': 7, '010111': 7, '111111': 4, '001111': 12, '001001': 9, '010001': 47, '010100': 10, '110110': 6, '000101': 7, '110101': 8, '011011': 7}"
qaoa_6,1024,'000111x',"{'111000': 340, '010000': 70, '111011': 20, '001101': 11, '101100': 52, '011100': 5, '000001': 11, '110100': 34, '111101': 55, '110001': 73, '001000': 34, '001110': 15, '101001': 21, '101111': 13, '100000': 19, '110111': 21, '110010': 25, '011001': 37, '001011': 9, '111110': 27, '100110': 6, '101010': 34, '011010': 41, '000010': 4, '010110': 15, '010101': 17, '011111': 4, '000100': 6, '000111': 5}"
qaoa_6,1024,'001000x',"{'100110': 92, '011010': 14, '000100': 291, '101100': 73, '010110': 78, '001101': 85, '000001': 13, '010101': 64, '100000': 28, '101010': 24, '110100': 5, '010000': 33, '001110': 15, '000111': 14, '101111': 14, '010011': 17, '111110': 12, '011001': 14, '011100': 20, '110001': 10, '001000': 15, '001011': 15, '100101': 3, '011111': 16, '000010': 11, '100011': 14, '111000': 11, '110111': 4, '111011': 5, '110010': 4, '111101': 7, '101001': 3}"
qaoa_6,1024,'001001x',"{'101110': 59, '101000': 13, '001100': 42, '110110': 75, '000110': 34, '100100': 376, '100001': 27, '000000': 26, '101101': 71, '110011': 13, '000011': 7, '001010': 27, '110000': 44, '011000': 7, '111100': 4, '110101': 47, '100111': 5, '000101': 15, '011101': 7, '011110': 13, '111111': 4, '001111': 12, '010111': 9, '010010': 5, '011011': 4, '111010': 6, '101011': 15, '010100': 18, '010001': 24, '100010': 5, '111001': 8, '001001': 2}"
