file,shots,input,counts
qft_9,1024,'000000000x',{'000000000': 1024}
qft_9,1024,'000000001x',{'000000001': 1024}
qft_9,1024,'000000010x',"{'000000011': 498, '000000010': 526}"
qft_9,1024,'000000011x',"{'000000011': 498, '000000010': 526}"
qft_9,1024,'000000100x',"{'000000110': 436, '000000100': 436, '000000111': 62, '000000101': 90}"
qft_9,1024,'000000101x',"{'000000111': 423, '000000101': 469, '000000100': 57, '000000110': 75}"
qft_9,1024,'000000110x',"{'000000111': 423, '000000101': 469, '000000100': 57, '000000110': 75}"
qft_9,1024,'000000111x',"{'000000110': 436, '000000100': 436, '000000111': 62, '000000101': 90}"
qft_9,1024,'000001000x',"{'000001100': 420, '000001000': 413, '000001110': 61, '000001010': 86, '000001001': 23, '000001101': 16, '000001111': 1, '000001011': 4}"
qft_9,1024,'000001001x',"{'000001101': 424, '000001001': 428, '000001000': 8, '000001111': 58, '000001011': 86, '000001110': 4, '000001010': 4, '000001100': 12}"
qft_9,1024,'000001010x',"{'000001111': 276, '000001110': 147, '000001010': 155, '000001011': 314, '000001000': 12, '000001101': 56, '000001001': 45, '000001100': 19}"
qft_9,1024,'000001011x',"{'000001110': 308, '000001010': 307, '000001111': 115, '000001011': 162, '000001000': 34, '000001100': 55, '000001001': 23, '000001101': 20}"
qft_9,1024,'000001100x',"{'000001110': 308, '000001010': 307, '000001111': 115, '000001011': 162, '000001000': 34, '000001100': 55, '000001001': 23, '000001101': 20}"
qft_9,1024,'000001101x',"{'000001111': 276, '000001110': 147, '000001010': 155, '000001011': 314, '000001000': 12, '000001101': 56, '000001001': 45, '000001100': 19}"
qft_9,1024,'000001110x',"{'000001101': 424, '000001001': 428, '000001000': 8, '000001111': 58, '000001011': 86, '000001110': 4, '000001010': 4, '000001100': 12}"
qft_9,1024,'000001111x',"{'000001100': 420, '000001000': 413, '000001110': 61, '000001010': 86, '000001001': 23, '000001101': 16, '000001111': 1, '000001011': 4}"
qft_9,1024,'000010000x',"{'000011000': 414, '000010000': 410, '000011100': 60, '000010100': 86, '000010010': 23, '000011010': 16, '000010001': 3, '000011001': 6, '000011110': 1, '000010110': 4, '000011101': 1}"
qft_9,1024,'000010001x',"{'000011001': 416, '000010001': 411, '000011101': 60, '000010101': 86, '000010011': 23, '000011011': 16, '000011000': 4, '000010000': 2, '000011111': 1, '000010111': 4, '000011100': 1}"
qft_9,1024,'000010010x',"{'000011011': 237, '000011010': 187, '000010010': 175, '000010011': 253, '000010001': 6, '000011110': 24, '000010110': 36, '000010111': 50, '000011111': 34, '000011101': 3, '000010101': 4, '000011000': 5, '000011001': 7, '000010000': 2, '000011100': 1}"
qft_9,1024,'000010011x',"{'000011010': 263, '000010010': 256, '000011011': 161, '000010011': 172, '000010001': 5, '000011110': 34, '000010110': 52, '000010111': 34, '000011111': 24, '000011101': 2, '000010101': 3, '000011000': 7, '000011001': 5, '000010000': 3, '000010100': 1, '000011100': 2}"
qft_9,1024,'000010100x',"{'000011110': 222, '000011100': 120, '000010100': 117, '000010110': 232, '000010000': 9, '000011010': 46, '000011101': 27, '000011111': 54, '000010111': 82, '000010010': 37, '000010011': 8, '000010001': 3, '000011001': 6, '000011000': 13, '000010101': 38, '000011011': 10}"
qft_9,1024,'000010101x',"{'000011110': 60, '000011101': 114, '000010101': 125, '000011111': 216, '000010100': 30, '000011100': 33, '000010111': 256, '000010001': 10, '000011010': 16, '000010011': 37, '000011011': 40, '000010110': 58, '000011001': 15, '000010010': 8, '000011000': 4, '000010000': 2}"
qft_9,1024,'000010110x',"{'000011101': 279, '000010101': 281, '000011111': 109, '000010100': 26, '000011100': 29, '000010110': 13, '000010111': 149, '000010001': 32, '000011001': 51, '000010011': 21, '000011110': 6, '000011000': 4, '000011011': 19, '000010000': 2, '000010010': 2, '000011010': 1}"
qft_9,1024,'000010111x',"{'000011100': 287, '000010100': 283, '000011110': 104, '000010110': 147, '000010000': 30, '000011000': 53, '000010001': 4, '000010010': 23, '000010111': 15, '000011111': 11, '000011101': 21, '000010101': 24, '000011010': 16, '000011001': 2, '000011011': 4}"
