file,shots,input,counts
qnn_2,1024,'00x',"{'10': 127, '01': 258, '00': 532, '11': 107}"
qnn_2,1024,'01x',"{'11': 613, '01': 247, '10': 155, '00': 9}"
qnn_2,1024,'10x',"{'01': 460, '00': 341, '11': 201, '10': 22}"
qnn_2,1024,'11x',"{'10': 701, '01': 129, '00': 123, '11': 71}"
qnn_2,1024,'00y',"{'10': 390, '00': 270, '11': 136, '01': 228}"
qnn_2,1024,'01y',"{'10': 46, '01': 489, '00': 280, '11': 209}"
qnn_2,1024,'10y',"{'11': 487, '00': 178, '10': 177, '01': 182}"
qnn_2,1024,'11y',"{'10': 458, '00': 275, '11': 124, '01': 167}"
qnn_2,1024,'00z',"{'11': 901, '01': 57, '00': 30, '10': 36}"
qnn_2,1024,'01z',"{'01': 168, '00': 717, '10': 125, '11': 14}"
qnn_2,1024,'10z',"{'10': 778, '01': 140, '00': 82, '11': 24}"
qnn_2,1024,'11z',"{'01': 699, '00': 193, '10': 60, '11': 72}"
