file,shots,input,counts
qwalk_5,1024,'00000x',"{'10101': 64, '10010': 69, '00010': 73, '11001': 61, '00001': 68, '10001': 71, '00110': 67, '00101': 51, '01001': 72, '00000': 49, '10000': 65, '10110': 58, '11101': 51, '01101': 79, '10100': 59, '00100': 67}"
qwalk_5,1024,'00001x',"{'10110': 64, '10011': 69, '00011': 73, '11011': 61, '00010': 68, '10010': 71, '00111': 67, '00110': 51, '01011': 72, '00000': 49, '10000': 65, '10111': 58, '11111': 51, '01111': 79, '10100': 59, '00100': 67}"
qwalk_5,1024,'00010x',"{'11010': 64, '11000': 69, '01000': 73, '11101': 61, '00101': 68, '10101': 71, '01100': 67, '01010': 51, '01101': 72, '00001': 49, '10001': 65, '11100': 58, '11110': 51, '01110': 79, '11001': 59, '01001': 67}"
qwalk_5,1024,'00011x',"{'11011': 64, '11000': 69, '01000': 73, '11110': 61, '00111': 68, '10111': 71, '01100': 67, '01011': 51, '01110': 72, '00011': 49, '10011': 65, '11100': 58, '11111': 51, '01111': 79, '11010': 59, '01010': 67}"
qwalk_5,1024,'00100x',"{'10110': 64, '10011': 69, '00011': 73, '11011': 61, '00010': 68, '10010': 71, '00111': 67, '00110': 51, '01011': 72, '00000': 49, '10000': 65, '10111': 58, '11111': 51, '01111': 79, '10100': 59, '00100': 67}"
qwalk_5,1024,'00101x',"{'10101': 64, '10010': 69, '00010': 73, '11001': 61, '00001': 68, '10001': 71, '00110': 67, '00101': 51, '01001': 72, '00000': 49, '10000': 65, '10110': 58, '11101': 51, '01101': 79, '10100': 59, '00100': 67}"
qwalk_5,1024,'00110x',"{'11011': 64, '11000': 69, '01000': 73, '11110': 61, '00111': 68, '10111': 71, '01100': 67, '01011': 51, '01110': 72, '00011': 49, '10011': 65, '11100': 58, '11111': 51, '01111': 79, '11010': 59, '01010': 67}"
qwalk_5,1024,'00111x',"{'11010': 64, '11000': 69, '01000': 73, '11101': 61, '00101': 68, '10101': 71, '01100': 67, '01010': 51, '01101': 72, '00001': 49, '10001': 65, '11100': 58, '11110': 51, '01110': 79, '11001': 59, '01001': 67}"
qwalk_5,1024,'01000x',"{'10110': 64, '10011': 69, '00011': 73, '11011': 61, '00010': 68, '10010': 71, '00111': 67, '00110': 51, '01011': 72, '00000': 49, '10000': 65, '10111': 58, '11111': 51, '01111': 79, '10100': 59, '00100': 67}"
qwalk_5,1024,'01001x',"{'10101': 64, '10010': 69, '00010': 73, '11001': 61, '00001': 68, '10001': 71, '00110': 67, '00101': 51, '01001': 72, '00000': 49, '10000': 65, '10110': 58, '11101': 51, '01101': 79, '10100': 59, '00100': 67}"
