file,shots,input,counts
vqe_7,1024,'0000000x',"{'1100100': 12, '1010100': 17, '1100010': 1, '0010100': 8, '1110101': 13, '0001110': 25, '1001100': 17, '0101111': 20, '0100101': 12, '0110100': 16, '0000100': 7, '1000101': 17, '1010111': 14, '1101100': 20, '1111100': 11, '1100011': 2, '0111100': 21, '0000111': 19, '0001010': 2, '1011111': 20, '0010101': 15, '0110111': 20, '1000110': 23, '1100101': 9, '0001111': 18, '0101100': 15, '1100001': 1, '1100111': 17, '0000110': 14, '1110111': 20, '0110110': 18, '0100111': 15, '0000101': 7, '1011100': 15, '0111101': 19, '0111111': 22, '0011101': 15, '1001110': 19, '1010110': 17, '0001101': 10, '0001100': 11, '0111110': 16, '1111111': 14, '1001111': 19, '1101111': 13, '1011110': 13, '1010101': 17, '1101011': 3, '1100110': 22, '0110101': 16, '0101110': 16, '0011110': 14, '0011111': 16, '1110100': 11, '0010010': 4, '1101101': 9, '0001011': 1, '0100110': 13, '0010110': 19, '1101110': 11, '1110001': 1, '0101101': 14, '1000100': 9, '1000010': 2, '0011000': 2, '1000111': 12, '0001000': 1, '0011100': 18, '0000001': 2, '0010111': 23, '1111101': 9, '1110110': 14, '1110011': 1, '0010011': 2, '1001101': 14, '1010011': 3, '1011010': 1, '1111110': 13, '1110010': 1, '1011101': 9, '0100100': 10, '1111001': 1, '0101011': 1, '1001010': 2, '1111011': 1, '0011001': 1, '0101001': 1, '1101010': 1, '1101000': 1, '1111010': 2, '0110010': 2, '0010001': 2, '0100010': 1, '1000001': 1, '1010010': 1, '0011011': 1, '1000000': 1, '1011001': 1, '0111010': 1}"
vqe_7,1024,'0000001x',"{'1011100': 22, '1011000': 43, '1011011': 32, '0011000': 28, '1111000': 15, '0010100': 13, '1010011': 22, '0110011': 13, '0011100': 22, '0110101': 8, '0001110': 1, '1010000': 22, '1011001': 21, '1011111': 22, '1111011': 12, '0111011': 23, '0010010': 21, '0010011': 19, '0111001': 22, '0010101': 17, '0111010': 17, '0010111': 14, '0011111': 25, '1011110': 19, '0010001': 13, '1111001': 14, '0111000': 16, '0011101': 17, '0010000': 10, '1011010': 29, '1010001': 18, '0111110': 12, '0011010': 44, '1010101': 14, '0110100': 8, '0111101': 11, '1111111': 8, '1010100': 15, '1010110': 14, '1110010': 9, '0011110': 17, '0110010': 5, '1011101': 30, '1111010': 16, '0110000': 8, '1010111': 9, '0110110': 8, '0011011': 27, '1110101': 6, '0111100': 15, '0010110': 12, '0110001': 9, '1110100': 4, '0011001': 34, '1110000': 6, '1110011': 5, '1110001': 5, '0110111': 3, '1001110': 1, '0111111': 10, '1010010': 14, '1111110': 6, '1001001': 1, '0000001': 2, '1110111': 4, '1111100': 9, '1000101': 1, '1001010': 1, '1111101': 11, '1100111': 1, '1110110': 5, '1101000': 1, '0101010': 1, '0001101': 2, '0101111': 1, '1000001': 1, '1001101': 1, '1101111': 1, '1100110': 1, '1000011': 1, '1001100': 2, '0001001': 1, '0101011': 1}"
vqe_7,1024,'0000010x',"{'1011110': 38, '1010101': 37, '0010111': 25, '1110101': 17, '0010011': 5, '1010001': 6, '0110110': 22, '0011101': 33, '0000100': 4, '1000111': 21, '1011001': 16, '1101010': 4, '1111011': 3, '0111011': 16, '0001110': 15, '0001111': 11, '0111010': 18, '0010110': 34, '1011111': 34, '0100111': 9, '1100110': 7, '1111000': 11, '0111000': 7, '0100100': 7, '0000101': 6, '1011010': 11, '0111100': 33, '1001011': 5, '0111101': 28, '0011011': 30, '1010011': 19, '1011000': 13, '0010010': 5, '0010000': 11, '1100111': 16, '1111111': 20, '1010100': 29, '1110001': 7, '0100101': 8, '0110001': 4, '1100000': 3, '0110111': 22, '1111001': 11, '0101111': 12, '1010010': 18, '0011100': 26, '1110100': 16, '1011100': 1, '0110011': 6, '1101100': 7, '0100010': 2, '0011000': 14, '1101110': 3, '0010001': 9, '1110011': 5, '1101111': 4, '0000110': 4, '0101101': 5, '0101110': 9, '0011001': 12, '0110000': 7, '1000110': 6, '1000100': 3, '0011010': 34, '1001101': 6, '0000010': 2, '1100100': 6, '1111110': 19, '0111001': 5, '1101101': 7, '0101000': 2, '1000101': 3, '1110010': 5, '1111010': 5, '1001100': 13, '1011011': 8, '1101011': 3, '0000111': 4, '1110000': 1, '0001000': 1, '1001110': 6, '1010000': 8, '1010110': 1, '1000001': 3, '1100101': 5, '0100110': 4, '1001111': 2, '1000000': 2, '0101100': 4, '1001010': 1, '0001101': 2, '0001001': 1, '0001100': 3, '1110110': 3, '1100001': 1, '1100010': 1, '1110111': 2, '0110100': 1}"
vqe_7,1024,'0000011x',"{'1011100': 37, '1010111': 33, '0010100': 26, '1110111': 21, '0010010': 15, '1010000': 14, '0110011': 11, '0011111': 32, '0110100': 23, '0000110': 9, '1000110': 13, '1011010': 20, '1101000': 2, '1111011': 12, '0111110': 34, '0001100': 10, '0001110': 4, '0010101': 30, '0111000': 15, '0010011': 21, '1000111': 6, '0111011': 8, '1011101': 34, '0101010': 7, '1100101': 6, '1111010': 18, '0110101': 21, '0100100': 3, '1011011': 23, '1001100': 10, '0111111': 29, '0011011': 12, '1010110': 30, '1011001': 7, '0111001': 6, '0010000': 6, '1100111': 11, '0111010': 3, '1111101': 19, '1010011': 5, '1110000': 8, '0100110': 9, '0110010': 8, '1011000': 17, '1100110': 8, '1100010': 4, '0101110': 8, '0100101': 4, '0101111': 6, '1010010': 3, '0001101': 14, '0011110': 26, '1110110': 15, '1101101': 4, '0001111': 5, '0100010': 1, '1101111': 7, '0010001': 4, '0000111': 8, '0011010': 10, '0101100': 12, '0101101': 6, '0011000': 24, '0110000': 2, '1000101': 6, '1000011': 3, '0011001': 24, '1001110': 11, '1000100': 5, '0000000': 2, '1100100': 9, '1111100': 19, '0010110': 1, '0110110': 4, '0100111': 8, '1101110': 9, '1110001': 5, '0110001': 3, '1010001': 15, '1111000': 2, '1101100': 2, '1111111': 1, '0001010': 2, '1001111': 8, '1001101': 3, '1000010': 5, '1101001': 2, '0100000': 1, '0011101': 1, '1001000': 1, '1100011': 4, '0001011': 2, '1111001': 5, '0011100': 1, '0000101': 1}"
vqe_7,1024,'0000100x',"{'1100100': 12, '1010100': 17, '1100010': 1, '0010100': 8, '1110101': 13, '0001110': 25, '1001100': 17, '0101111': 19, '0100101': 12, '0110100': 16, '0000100': 7, '1000101': 17, '1010111': 14, '1101100': 20, '1111100': 10, '1100011': 2, '0111100': 20, '0000111': 19, '0001010': 2, '1011111': 20, '0010101': 15, '0110111': 20, '1000110': 23, '1100101': 9, '0001111': 18, '0101100': 15, '1100001': 1, '1100111': 17, '0000110': 14, '1110111': 20, '0110110': 18, '0100111': 15, '0000101': 7, '1011100': 15, '0111101': 19, '0111111': 22, '0011101': 14, '1001110': 19, '1010110': 17, '0001101': 10, '0001100': 11, '0111110': 17, '1111111': 14, '1001111': 19, '1101111': 13, '1011110': 13, '1010101': 17, '1101011': 3, '1100110': 22, '0110101': 16, '0101110': 17, '0011110': 15, '0011111': 16, '1110100': 11, '0010010': 4, '1101101': 9, '0001011': 1, '0100110': 13, '0010110': 19, '1101110': 11, '1110001': 1, '0101101': 14, '1000100': 9, '1000010': 2, '0011000': 1, '1000111': 12, '0001000': 1, '0011100': 18, '0000001': 2, '0010111': 24, '1111101': 10, '1110110': 14, '1110011': 1, '0010011': 2, '1001101': 14, '1010011': 3, '1011010': 1, '1111110': 13, '1110010': 1, '1011101': 9, '0100100': 10, '1111001': 1, '0101011': 1, '1001010': 2, '1111011': 1, '0011001': 1, '0101001': 1, '1101010': 1, '1101000': 1, '1111010': 2, '0110010': 2, '0010001': 2, '0100010': 1, '1000001': 1, '1010010': 1, '0011011': 1, '1000000': 1, '1011001': 1, '0111010': 1}"
vqe_7,1024,'0000101x',"{'1110100': 14, '1011101': 19, '0011101': 9, '1111011': 32, '0011010': 22, '1011000': 17, '0111010': 39, '0110110': 8, '0111011': 41, '0010000': 4, '1010001': 14, '1110000': 13, '1111001': 27, '1111101': 18, '0111101': 39, '0010101': 6, '0011000': 13, '0011110': 16, '0111100': 23, '1010010': 8, '1110110': 8, '0011011': 18, '1110011': 22, '0111001': 30, '1111000': 34, '0010100': 6, '1111100': 25, '0111000': 23, '0010001': 5, '1110001': 14, '1010011': 16, '0111111': 22, '0110010': 17, '1011010': 19, '1100001': 1, '0111110': 21, '1111111': 14, '1011011': 18, '1111010': 24, '1110101': 9, '1011110': 11, '1110111': 14, '1011001': 15, '0010111': 4, '0110011': 20, '0011100': 14, '1110010': 14, '1011111': 10, '0110111': 9, '0011111': 13, '0011001': 10, '0010010': 8, '0110001': 21, '1011100': 12, '1010000': 5, '1101000': 2, '0110000': 19, '1010101': 5, '1001111': 1, '0000010': 2, '0110101': 14, '1101010': 1, '1111110': 18, '0101111': 1, '0101010': 4, '1001001': 1, '0110100': 6, '1010100': 3, '0101011': 2, '0010110': 10, '0101000': 1, '0010011': 5, '1010110': 5, '1101011': 1, '1101100': 1, '1100000': 1, '1010111': 3, '0101110': 1, '1000010': 1, '1101101': 1, '0101001': 1, '1001000': 1, '1100010': 1, '0101101': 2, '0100100': 1, '1101110': 1}"
vqe_7,1024,'0000110x',"{'1101110': 11, '1011010': 20, '0011000': 8, '1111010': 25, '0010100': 22, '1010001': 10, '0111000': 21, '0101111': 8, '0111001': 25, '0000110': 8, '1000110': 10, '1011101': 22, '1110110': 31, '1111100': 28, '0111110': 46, '0001101': 11, '0001111': 4, '1101101': 3, '0011010': 7, '0111100': 3, '0011001': 5, '1000111': 11, '1101111': 10, '0010101': 22, '1101100': 6, '0110100': 30, '0001100': 8, '1111011': 25, '0111011': 14, '0110010': 14, '1001100': 5, '0111111': 40, '0100101': 3, '1010111': 24, '1011100': 23, '0010010': 9, '1111101': 32, '1010110': 23, '1011000': 5, '1010011': 3, '1111000': 11, '0110011': 12, '0110101': 24, '1100110': 5, '1011011': 19, '1110001': 18, '1100111': 7, '1011001': 2, '0001110': 8, '1101000': 4, '0100111': 12, '0010111': 6, '1100101': 8, '1110111': 19, '0010000': 1, '0011110': 31, '0010011': 9, '1111001': 5, '0000111': 9, '0100000': 1, '1011111': 1, '1000101': 6, '1000100': 5, '0011111': 30, '1001111': 9, '0100110': 10, '0000000': 2, '1110010': 6, '0111010': 6, '0101010': 6, '0100001': 3, '0100100': 5, '0111101': 3, '1110000': 8, '0101100': 3, '0011011': 8, '1001110': 9, '1001101': 7, '0101011': 3, '1011110': 1, '0001011': 1, '1010000': 3, '0010001': 2, '1100010': 2, '0101101': 6, '1000010': 3, '0110001': 3, '1110011': 5, '0110110': 1, '1000011': 3, '1100100': 6, '1100011': 1, '0110000': 2, '1001001': 1, '1010101': 1, '0101110': 6, '0000101': 1}"
vqe_7,1024,'0000111x',"{'1101100': 10, '1011001': 16, '0011010': 10, '1111001': 21, '0010110': 18, '1010010': 13, '0111001': 13, '0101111': 15, '0111010': 30, '0000101': 7, '1000111': 17, '1011111': 25, '1011000': 13, '1110100': 29, '1111110': 28, '0111100': 48, '0001110': 14, '0001111': 11, '0011011': 18, '0111011': 29, '1001010': 3, '1101111': 4, '0011000': 6, '0110110': 26, '1110011': 13, '0001101': 4, '1111011': 13, '1101011': 5, '0110010': 3, '1001100': 17, '0111101': 38, '0100100': 11, '1010101': 23, '1011110': 24, '0010001': 7, '1111111': 32, '1010100': 17, '1110101': 22, '0110001': 10, '0111000': 8, '1101101': 9, '0110011': 4, '1100111': 12, '1011010': 6, '1110010': 27, '1011011': 3, '0110111': 29, '1010110': 2, '1101010': 4, '0100110': 8, '0010111': 24, '0011001': 8, '1100110': 8, '1101110': 4, '1111000': 10, '0011100': 30, '0010011': 3, '0000110': 4, '0010000': 4, '0011111': 2, '0010100': 2, '1000110': 7, '1000100': 3, '0011101': 29, '1001110': 3, '0000010': 2, '1111010': 7, '0100111': 7, '0100010': 4, '0100011': 3, '1000101': 3, '1110000': 4, '0110000': 5, '0101100': 1, '0000111': 5, '1001101': 4, '1010011': 13, '0101000': 3, '0001000': 1, '1001111': 7, '1010001': 1, '1110110': 1, '0101110': 7, '0100101': 5, '1000001': 2, '1111100': 1, '1000010': 1, '1100101': 4, '1100100': 3, '1110001': 2, '0000100': 2, '1100001': 1, '1001011': 1, '0101101': 1, '0001100': 3, '1000000': 1, '1010000': 1, '1000011': 1, '1111101': 1}"
vqe_7,1024,'0001000x',"{'1100100': 12, '1010100': 17, '1100010': 1, '0010100': 8, '1110101': 13, '0001110': 24, '1001100': 16, '0101111': 20, '0100101': 11, '0110100': 16, '0000100': 7, '1000101': 17, '1010111': 14, '1101100': 19, '1111100': 10, '1100011': 2, '0111100': 20, '0000111': 19, '0001010': 2, '1011111': 20, '0010101': 16, '0110111': 20, '1000110': 23, '1100101': 9, '0001111': 20, '0101100': 15, '1100001': 1, '1100111': 15, '0000110': 14, '1110111': 20, '0110110': 18, '0100111': 15, '0000101': 7, '1011100': 14, '0111101': 19, '0111111': 22, '0011101': 13, '1001110': 19, '1010110': 17, '0001100': 11, '0111110': 17, '1111111': 14, '1001111': 19, '1101111': 13, '1011110': 13, '1010101': 17, '1101011': 3, '1100110': 24, '0110101': 16, '0101110': 16, '0011110': 15, '0011111': 17, '1110100': 11, '0010010': 4, '1101101': 10, '0001011': 1, '0100110': 13, '0010110': 18, '1101110': 11, '0001101': 9, '1110001': 1, '0101101': 14, '1011101': 10, '1000100': 9, '1000010': 2, '0011000': 2, '1000111': 12, '0001000': 1, '0011100': 18, '0000001': 2, '0010111': 23, '1111101': 10, '1110110': 14, '1110011': 1, '0010011': 2, '1001101': 15, '1010011': 3, '1011010': 1, '1111110': 13, '1110010': 1, '0100100': 11, '1111001': 1, '0101011': 1, '1001010': 2, '1111011': 1, '0011001': 1, '0101001': 1, '1101010': 1, '1101000': 1, '1111010': 2, '0110010': 2, '0010001': 2, '0100010': 1, '1000001': 1, '1010010': 1, '0011011': 1, '1000000': 1, '1011001': 1, '0111010': 1}"
vqe_7,1024,'0001001x',"{'1001100': 24, '1001000': 35, '0001000': 27, '1101000': 13, '0000101': 13, '1000100': 18, '0100100': 6, '0001101': 22, '0100110': 8, '0000000': 7, '1000001': 21, '1001010': 30, '1010010': 2, '1101011': 14, '0101011': 26, '0000010': 14, '0000011': 20, '0001001': 34, '0101010': 17, '0000110': 11, '1001101': 18, '0001111': 20, '1001110': 31, '1101010': 19, '0101001': 19, '0001110': 17, '0000001': 12, '0101100': 15, '1000010': 21, '0101111': 12, '0001011': 36, '1000110': 11, '0100101': 8, '1001001': 29, '0000100': 16, '1001111': 21, '0101101': 13, '1110110': 1, '1000101': 15, '1100010': 8, '0100011': 10, '1001011': 28, '0101000': 12, '0100001': 8, '1000111': 14, '0100111': 6, '1100111': 6, '0000111': 16, '0100010': 11, '1111000': 1, '1011010': 2, '1100101': 4, '1100001': 5, '0101110': 9, '1100100': 2, '0011001': 2, '0011110': 1, '1000000': 10, '0111010': 2, '0001010': 42, '1000011': 15, '1101111': 7, '1101101': 12, '1101001': 13, '0001100': 16, '0011011': 3, '1100011': 9, '1101110': 6, '1010101': 1, '1101100': 6, '1111110': 1, '1011110': 1, '1011100': 2, '1100000': 5, '1110101': 1, '0011111': 2, '0011010': 2, '0110101': 1, '1010011': 2, '0110110': 1, '1010000': 1, '0100000': 3, '1100110': 3, '0110011': 1, '1010001': 1, '0010011': 2, '1110000': 1, '0010101': 1, '0111001': 1, '0110000': 1, '0010110': 1, '1110111': 1, '1010111': 1, '1011111': 1, '0111000': 1, '0011100': 1, '1111001': 1, '0011101': 1}"
