Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,1,h,rx,[-3.14159265],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,86,1768917208.7610106,17.291166067123413,280,6.49465206258974,6.49465206258974,100.0
Replace,2,cx,ch,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",4.157113169520191,48,1768917207.7644906,17.291166067123413,280,6.49465206258974,2.3375388930695493,35.99174937382953
Add,2,cx,p,[1.5291232],"(Qubit(QuantumRegister(2, 'q'), 1),)",4.329869984592811,124,1768917209.9258819,17.291166067123413,280,6.49465206258974,2.1647820779969287,33.331763690104786
Replace,2,cx,cp,[-3.14159265],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",4.329869984592811,132,1768917209.9458811,17.291166067123413,280,6.49465206258974,2.1647820779969287,33.331763690104786
Add,0,h,rzx,[1.6224886],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",4.329869984592811,210,1768917211.0345361,17.291166067123413,280,6.49465206258974,2.1647820779969287,33.331763690104786
Add,1,h,crx,[1.66128446],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",5.946141255849199,227,1768917211.5526183,17.291166067123413,280,6.49465206258974,0.5485108067405413,8.445576475144117
Add,2,cx,cp,[-1.42428973],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",6.171504619290964,199,1768917210.9101439,17.291166067123413,280,6.49465206258974,0.323147443298776,4.9755928444598005
Replace,0,h,r,[ 1.59282789 -1.62669212],"(Qubit(QuantumRegister(2, 'q'), 1),)",6.481997821827063,280,1768917212.2291305,17.291166067123413,280,6.49465206258974,0.01265424076267685,0.1948409343676369
Add,1,h,cp,[-0.03753437],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",6.4849519269464615,250,1768917211.8842652,17.291166067123413,280,6.49465206258974,0.00970013564327843,0.14935573991950699
Add,1,h,rzz,[0.00966057],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",6.494629011710824,182,1768917210.7962918,17.291166067123413,280,6.49465206258974,2.3050878915853446e-05,0.0003549209209932936
