Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Delete,2,u,,,,0.0,3,1768577607.75994,6.393281698226929,15,0.8696726398943471,0.8696726398943471,100.0
Delete,7,u,,,,0.0,7,1768577607.8004303,6.393281698226929,15,0.8696726398943471,0.8696726398943471,100.0
Delete,6,u,,,,0.0,11,1768577607.8509207,6.393281698226929,15,0.8696726398943471,0.8696726398943471,100.0
Delete,14,u,,,,0.5579825084450283,14,1768577608.0223494,6.393281698226929,15,0.8696726398943471,0.3116901314493188,35.83993759849508
Delete,4,u,,,,1.9690146395461992,5,1768577607.7743475,6.393281698226929,15,0.8696726398943471,-1.099341999651852,-126.40871394843542
Delete,3,cx,,,,2.07194392617325,4,1768577607.7640817,6.393281698226929,15,0.8696726398943471,-1.2022712862789031,-138.24411981328538
Delete,5,cx,,,,2.10928449260747,6,1768577607.783596,6.393281698226929,15,0.8696726398943471,-1.239611852713123,-142.53775453528334
Delete,12,cp,,,,2.2885246903108136,8,1768577607.8162007,6.393281698226929,15,0.8696726398943471,-1.4188520504164666,-163.14783118724273
Delete,8,cx,,,,2.6130687198263876,9,1768577607.8203065,6.393281698226929,15,0.8696726398943471,-1.7433960799320405,-200.46578447539045
Delete,1,u,,,,2.6436606833297667,1,1768577607.695509,6.393281698226929,15,0.8696726398943471,-1.7739880434354196,-203.98342572337725
Delete,11,h,,,,2.697612745234764,10,1768577607.84692,6.393281698226929,15,0.8696726398943471,-1.827940105340417,-210.18714646036076
Delete,10,cx,,,,2.8031077621045313,15,1768577608.0506744,6.393281698226929,15,0.8696726398943471,-1.9334351222101842,-222.3175748572554
Delete,0,u,,,,2.957757742072804,2,1768577607.698511,6.393281698226929,15,0.8696726398943471,-2.088085102178457,-240.10012577055778
Delete,13,h,,,,2.966172190970496,12,1768577607.9235039,6.393281698226929,15,0.8696726398943471,-2.096499551076149,-241.06766786762935
Delete,9,u,,,,3.1803335261675283,13,1768577607.99035,6.393281698226929,15,0.8696726398943471,-2.3106608862731814,-265.6931792811021
