Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,10,cp,h,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",0.0,14972,1768577440.6336906,211.27733659744263,15206,2.5823169884823267,2.5823169884823267,100.0
Add,12,u,h,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",0.8015657038527866,11251,1768577392.4138272,211.27733659744263,15206,2.5823169884823267,1.7807512846295401,68.9594380772021
Add,14,,h,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",0.8015657038527866,9932,1768577375.0754743,211.27733659744263,15206,2.5823169884823267,1.7807512846295401,68.9594380772021
Add,11,h,h,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",0.8015657038527866,12166,1768577404.9257286,211.27733659744263,15206,2.5823169884823267,1.7807512846295401,68.9594380772021
Add,9,cx,ry,[-2.8809116],"(Qubit(QuantumRegister(3, 'q'), 2),)",1.3601894002775534,12217,1768577405.6207163,211.27733659744263,15206,2.5823169884823267,1.2221275882047733,47.32678418860728
Add,8,u,ry,[-2.89290675],"(Qubit(QuantumRegister(3, 'q'), 2),)",1.3614271070084838,12977,1768577414.7798967,211.27733659744263,15206,2.5823169884823267,1.220889881473843,47.278854103476334
Replace,2,u,r,[-2.87581345 -1.44980986],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.3710711984025132,7379,1768577342.7310023,211.27733659744263,15206,2.5823169884823267,1.2112457900798135,46.90538750595774
Add,8,u,r,[-2.93934547  1.56267948],"(Qubit(QuantumRegister(3, 'q'), 2),)",1.3728756790124272,15206,1768577444.527755,211.27733659744263,15206,2.5823169884823267,1.2094413094698995,46.83550915182994
Replace,2,u,cx,[],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",1.4189877751521207,9679,1768577372.042069,211.27733659744263,15206,2.5823169884823267,1.163329213330206,45.0498222533832
Add,6,u,ry,[2.89565291],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.485532734552396,5085,1768577312.676773,211.27733659744263,15206,2.5823169884823267,1.0967842539299306,42.472874508506024
Replace,6,u,ry,[2.96930195],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.486042145239933,9132,1768577365.3182197,211.27733659744263,15206,2.5823169884823267,1.0962748432423937,42.45314762409141
Replace,2,u,rz,[-2.93247817],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.491332399855802,8700,1768577359.1735656,211.27733659744263,15206,2.5823169884823267,1.0909845886265248,42.24828297581374
Replace,6,u,r,[ 3.14159265 -1.45727741],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.4915724546495335,1494,1768577266.6932182,211.27733659744263,15206,2.5823169884823267,1.0907445338327932,42.23898687487794
Replace,2,u,p,[-2.92284265],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.492460337659539,1085,1768577260.6373644,211.27733659744263,15206,2.5823169884823267,1.0898566508227878,42.20460368280797
Add,4,u,ry,[2.97314464],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5003015089642755,8055,1768577351.8152182,211.27733659744263,15206,2.5823169884823267,1.0820154795180512,41.90095500839232
Add,10,cp,p,[-2.92189431],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.519660229956305,11829,1768577399.89542,211.27733659744263,15206,2.5823169884823267,1.0626567585260218,41.151290227562804
Add,15,,rz,[-2.92171989],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.519660229956305,9885,1768577374.171198,211.27733659744263,15206,2.5823169884823267,1.0626567585260218,41.151290227562804
Add,14,,rz,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,10754,1768577385.7486353,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,5,cx,rz,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,8750,1768577359.8319814,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,4,u,p,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,3981,1768577298.3104377,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,12,u,rz,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,14016,1768577428.4652011,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,7,cx,rz,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,5698,1768577320.539424,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,10,cp,rz,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,7999,1768577351.0724566,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,2,u,rz,[-2.92650476],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520796679909304,4677,1768577307.4094837,211.27733659744263,15206,2.5823169884823267,1.0615203085730227,41.107281302319784
Add,12,u,p,[-2.92768184],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5208714078293388,8638,1768577358.1191893,211.27733659744263,15206,2.5823169884823267,1.0614455806529879,41.10438747013852
Add,7,cx,r,[-3.14159265  1.67779582],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5208714078293388,5487,1768577318.1025565,211.27733659744263,15206,2.5823169884823267,1.0614455806529879,41.10438747013852
Add,10,cp,r,[ 3.13831773 -0.06481696],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5641637844871128,8538,1768577357.8580184,211.27733659744263,15206,2.5823169884823267,1.018153203995214,39.427893962530156
Add,1,u,rxx,[2.94823328],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",1.5668865455109187,9336,1768577367.283535,211.27733659744263,15206,2.5823169884823267,1.015430442971408,39.3224552795199
Add,1,u,ry,[3.14120437],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5856034347776702,3995,1768577298.7167997,211.27733659744263,15206,2.5823169884823267,0.9967135537046565,38.597645376234105
Add,2,u,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,75,1768577246.9858994,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,0,u,rx,[3.14159265],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,3579,1768577292.7660763,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,5,cx,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,3637,1768577294.116176,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,7,cx,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,5374,1768577316.4391603,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,6,u,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,3026,1768577286.3898883,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,3,cx,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,2515,1768577279.4672506,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,11,h,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,3254,1768577289.181265,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,2,u,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,3635,1768577294.0471444,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,1,u,r,[3.14159265 0.91519234],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,4926,1768577310.8542385,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,3,cx,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,6984,1768577337.4213014,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,9,cx,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,6923,1768577336.718734,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,0,u,x,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,2198,1768577274.6360447,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,4,u,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,5488,1768577318.2503066,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,3,cx,p,[3.14159265],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,4101,1768577300.327549,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,14,,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,8755,1768577360.4393823,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,0,u,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,7583,1768577344.487486,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
Add,1,u,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.5866227809375009,6160,1768577326.9313731,211.27733659744263,15206,2.5823169884823267,0.9956942075448258,38.55817128516097
