Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,10,t,h,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",0.0,8774,1768577587.5762668,136.26431512832642,9056,3.165541799718817,3.165541799718817,100.0
Replace,6,u,r,[2.86643909 1.28847302],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.3668876707298736,2002,1768577495.338745,136.26431512832642,9056,3.165541799718817,1.7986541289889435,56.819787663164355
Add,0,u,r,[ 2.51898477 -0.47219578],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.387546647443037,604,1768577477.3974369,136.26431512832642,9056,3.165541799718817,1.7779951522757802,56.16716710023266
Add,5,cx,r,[-2.88871614 -1.85687679],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.3891617446613638,9056,1768577591.0999207,136.26431512832642,9056,3.165541799718817,1.7763800550574533,56.11614590637352
Add,4,u,r,[2.96135191 1.29291841],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.3903335590029657,1515,1768577489.3274014,136.26431512832642,9056,3.165541799718817,1.7752082407158514,56.079128093444744
Add,3,cx,r,[2.96793309 1.28947576],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.3920982949504268,4469,1768577529.1443248,136.26431512832642,9056,3.165541799718817,1.7734435047683903,56.023379786863615
Replace,2,u,r,[-2.84940826 -1.13075015],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.4801667111484775,683,1768577477.706898,136.26431512832642,9056,3.165541799718817,1.6853750885703396,53.241283647559
Replace,6,u,p,[2.56998957],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.489214183112474,5134,1768577538.4355602,136.26431512832642,9056,3.165541799718817,1.676327616606343,52.955472480421676
Replace,2,u,rz,[2.58437718],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.4902603102728078,1937,1768577494.981795,136.26431512832642,9056,3.165541799718817,1.6752814894460093,52.922425146773236
Replace,2,u,p,[2.56454724],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.491332399855802,4001,1768577522.8015816,136.26431512832642,9056,3.165541799718817,1.6742093998630152,52.88855765580883
Add,6,u,rz,[2.57586606],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.519660229956305,8496,1768577583.8907275,136.26431512832642,9056,3.165541799718817,1.6458815697625122,51.99367671937579
Add,3,cx,rz,[2.57593798],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.519660229956305,5251,1768577540.2588854,136.26431512832642,9056,3.165541799718817,1.6458815697625122,51.99367671937579
Add,2,u,rz,[2.57581283],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.519660229956305,7512,1768577570.4010952,136.26431512832642,9056,3.165541799718817,1.6458815697625122,51.99367671937579
Add,4,u,p,[2.57783145],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.520223743891955,5057,1768577536.839427,136.26431512832642,9056,3.165541799718817,1.645318055826862,51.97587521899124
