Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Delete,11,cx,,,,1.0,14,1768650034.9448092,7208.986359596252,159687,1.0,0.0,0.0
Replace,6,u,h,[],"(Qubit(QuantumRegister(11, 'q'), 6),)",1.0,56,1768650051.571848,7208.986359596252,159687,1.0,0.0,0.0
Add,7,h,ry,[0.00136048],"(Qubit(QuantumRegister(11, 'q'), 0),)",1.0,1980,1768650165.1085234,7208.986359596252,159687,1.0,0.0,0.0
Add,13,cx,sx,[],"(Qubit(QuantumRegister(11, 'q'), 6),)",1.0,2031,1768650169.7911758,7208.986359596252,159687,1.0,0.0,0.0
Add,10,u,rzz,[-0.00632516],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 4))",1.0,2251,1768650180.361926,7208.986359596252,159687,1.0,0.0,0.0
Replace,15,cx,rzx,[-3.10823379],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 8))",1.0,1766,1768650146.7440403,7208.986359596252,159687,1.0,0.0,0.0
Add,8,u,ry,[-7.57709399e-05],"(Qubit(QuantumRegister(11, 'q'), 3),)",1.0,1639,1768650140.07658,7208.986359596252,159687,1.0,0.0,0.0
Add,14,u,rxx,[3.07683448],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 6))",1.0,2259,1768650181.474784,7208.986359596252,159687,1.0,0.0,0.0
Add,10,u,ryy,[-0.007572],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 8))",1.0,2277,1768650182.6276703,7208.986359596252,159687,1.0,0.0,0.0
Replace,13,cx,sx,[],"(Qubit(QuantumRegister(11, 'q'), 8),)",1.0,218,1768650060.5836852,7208.986359596252,159687,1.0,0.0,0.0
Delete,23,cx,,,,1.0,27,1768650035.2077868,7208.986359596252,159687,1.0,0.0,0.0
Add,9,u,rxx,[0.81298553],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 8))",1.0,1950,1768650162.123046,7208.986359596252,159687,1.0,0.0,0.0
Add,8,u,ryy,[-0.00463988],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 3))",1.0,603,1768650079.5773075,7208.986359596252,159687,1.0,0.0,0.0
Add,14,u,x,[],"(Qubit(QuantumRegister(11, 'q'), 5),)",1.0,1329,1768650124.8236141,7208.986359596252,159687,1.0,0.0,0.0
Add,15,cx,x,[],"(Qubit(QuantumRegister(11, 'q'), 8),)",1.0,651,1768650082.887427,7208.986359596252,159687,1.0,0.0,0.0
Add,8,u,r,[-0.0014652   0.00996598],"(Qubit(QuantumRegister(11, 'q'), 7),)",1.0,1721,1768650144.6801143,7208.986359596252,159687,1.0,0.0,0.0
Delete,13,cx,,,,1.0,15,1768650034.96881,7208.986359596252,159687,1.0,0.0,0.0
Delete,17,cx,,,,1.0,18,1768650035.1308548,7208.986359596252,159687,1.0,0.0,0.0
Add,1,u,cp,[3.14159265],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 2))",1.0,1071,1768650109.3397973,7208.986359596252,159687,1.0,0.0,0.0
Add,7,h,rx,[2.4902608],"(Qubit(QuantumRegister(11, 'q'), 3),)",1.0,1286,1768650121.4229925,7208.986359596252,159687,1.0,0.0,0.0
Add,11,cx,cx,[],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 2))",1.0,1657,1768650141.8229067,7208.986359596252,159687,1.0,0.0,0.0
Add,14,u,sx,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,1696,1768650144.1222138,7208.986359596252,159687,1.0,0.0,0.0
Add,15,cx,ryy,[-0.00512249],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 8))",1.0,1556,1768650138.200888,7208.986359596252,159687,1.0,0.0,0.0
Add,11,cx,sx,[],"(Qubit(QuantumRegister(11, 'q'), 1),)",1.0,189,1768650057.5620518,7208.986359596252,159687,1.0,0.0,0.0
Add,13,cx,rxx,[-1.5833913],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 4))",1.0,1189,1768650115.7960913,7208.986359596252,159687,1.0,0.0,0.0
Replace,13,cx,ryy,[-0.00684212],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 4))",1.0,1344,1768650125.440161,7208.986359596252,159687,1.0,0.0,0.0
Delete,19,cx,,,,1.0,19,1768650035.1472142,7208.986359596252,159687,1.0,0.0,0.0
Delete,21,cx,,,,1.0,23,1768650035.1812117,7208.986359596252,159687,1.0,0.0,0.0
Replace,13,cx,rzz,[-0.00197673],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 2))",1.0,480,1768650073.1450121,7208.986359596252,159687,1.0,0.0,0.0
Replace,13,cx,x,[],"(Qubit(QuantumRegister(11, 'q'), 4),)",1.0,48,1768650050.4391458,7208.986359596252,159687,1.0,0.0,0.0
Add,11,cx,ryy,[0.00659703],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 0))",1.0,1759,1768650146.2593591,7208.986359596252,159687,1.0,0.0,0.0
Delete,15,cx,,,,1.0,17,1768650035.0893338,7208.986359596252,159687,1.0,0.0,0.0
Delete,25,cx,,,,1.0,29,1768650035.2267873,7208.986359596252,159687,1.0,0.0,0.0
Add,10,u,cry,[4.25864017e-05],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 4))",1.0,385,1768650068.2379153,7208.986359596252,159687,1.0,0.0,0.0
Add,8,u,rz,[-0.00036449],"(Qubit(QuantumRegister(11, 'q'), 0),)",1.0,2371,1768650186.772005,7208.986359596252,159687,1.0,0.0,0.0
Add,11,cx,rzz,[0.00250022],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 7))",1.0,1673,1768650142.4470592,7208.986359596252,159687,1.0,0.0,0.0
Add,8,u,rxx,[1.95506648],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 5))",1.0,2394,1768650188.671678,7208.986359596252,159687,1.0,0.0,0.0
Replace,15,cx,x,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,2029,1768650168.7234266,7208.986359596252,159687,1.0,0.0,0.0
Add,8,u,rx,[-1.80263982],"(Qubit(QuantumRegister(11, 'q'), 6),)",1.0,650,1768650082.3849108,7208.986359596252,159687,1.0,0.0,0.0
Add,10,u,rxx,[-2.37203762],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 0))",1.0,1351,1768650126.1178212,7208.986359596252,159687,1.0,0.0,0.0
Add,6,u,rx,[1.9906137],"(Qubit(QuantumRegister(11, 'q'), 0),)",1.0,1773,1768650147.37209,7208.986359596252,159687,1.0,0.0,0.0
