Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,37,,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",0.0,116089,1768646015.2098732,5793.069563150406,116179,3.3693272017582965,3.3693272017582965,100.0
Add,31,,ry,[-1.5707775],"(Qubit(QuantumRegister(11, 'q'), 9),)",0.06729157217220673,47057,1768643002.6631012,5793.069563150406,116179,3.3693272017582965,3.3020356295860895,98.0028187189095
Replace,9,u,rzz,[-0.00555863],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 1))",1.0,6703,1768640633.4254868,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,15,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,58320,1768643569.5254421,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,17,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,69309,1768644091.6413255,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,r,[-2.61031356e-04 -3.10222477e+00],"(Qubit(QuantumRegister(11, 'q'), 10),)",1.0,5063,1768640535.8923547,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Delete,9,u,,,,1.0,13,1768640230.8966255,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[-2.76379362],"(Qubit(QuantumRegister(11, 'q'), 4),)",1.0,18328,1768641329.3145492,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ry,[-0.00021238],"(Qubit(QuantumRegister(11, 'q'), 2),)",1.0,16217,1768641205.521056,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rz,[0.00040229],"(Qubit(QuantumRegister(11, 'q'), 2),)",1.0,8501,1768640746.464027,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[2.6103994],"(Qubit(QuantumRegister(11, 'q'), 8),)",1.0,6938,1768640646.279701,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[2.10705996],"(Qubit(QuantumRegister(11, 'q'), 3),)",1.0,21447,1768641521.3692183,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,p,[1.55769082],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,11772,1768640942.566336,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,27,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,39765,1768642568.7106287,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,cp,[0.00055604],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 2))",1.0,5028,1768640534.8451948,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[1.67412935],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 8))",1.0,5987,1768640589.1096942,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,25,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,25644,1768641774.5041091,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[-1.39039464],"(Qubit(QuantumRegister(11, 'q'), 6),)",1.0,12510,1768640988.0090048,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[0.00314305],"(Qubit(QuantumRegister(11, 'q'), 10),)",1.0,1254,1768640312.9241507,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,14,u,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,53258,1768643324.8489923,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[-0.05172895],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 6))",1.0,11568,1768640928.876626,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,10,u,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,19547,1768641404.3927488,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[1.37484397],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 4))",1.0,17220,1768641267.1868515,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,p,[-1.86949549],"(Qubit(QuantumRegister(11, 'q'), 10),)",1.0,8723,1768640761.9069464,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ryy,[0.00667742],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 5))",1.0,6923,1768640644.6310954,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,15,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,60763,1768643684.8777819,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rzz,[0.02473793],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 2))",1.0,3740,1768640460.9520564,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,27,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,36228,1768642367.7198474,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ryy,[0.00446141],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 7))",1.0,1107,1768640305.6917486,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[1.75134083],"(Qubit(QuantumRegister(11, 'q'), 7),)",1.0,9810,1768640820.9344404,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[-0.50677912],"(Qubit(QuantumRegister(11, 'q'), 2),)",1.0,23788,1768641667.0360322,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ryy,[0.00917041],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 2))",1.0,15024,1768641135.2615602,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,r,[-6.56248417e-05 -2.77909178e-01],"(Qubit(QuantumRegister(11, 'q'), 8),)",1.0,10780,1768640880.8793793,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,r,[-0.00877174 -0.00493976],"(Qubit(QuantumRegister(11, 'q'), 5),)",1.0,19312,1768641389.9502876,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rx,[2.08422076],"(Qubit(QuantumRegister(11, 'q'), 5),)",1.0,15461,1768641161.1231499,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[0.00205624],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 10))",1.0,326,1768640260.3208156,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ry,[7.44429883e-05],"(Qubit(QuantumRegister(11, 'q'), 6),)",1.0,4915,1768640528.4264202,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,r,[0.12898166 3.14159265],"(Qubit(QuantumRegister(11, 'q'), 7),)",1.0,13757,1768641057.514689,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ryy,[-0.00245511],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 1))",1.0,17863,1768641305.2958393,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ry,[0.00045487],"(Qubit(QuantumRegister(11, 'q'), 3),)",1.0,13521,1768641042.120183,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[2.46510832],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 2))",1.0,22756,1768641599.9536414,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,17,cx,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,67269,1768643986.6407013,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,26,h,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,29230,1768641968.968552,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[2.4701185],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 5))",1.0,14448,1768641098.8816226,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Add,28,u,h,[],"(Qubit(QuantumRegister(11, 'q'), 9),)",1.0,43070,1768642762.5432255,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ry,[0.00090153],"(Qubit(QuantumRegister(11, 'q'), 1),)",1.0,18992,1768641368.3204641,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[-1.03627608],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 7))",1.0,8581,1768640752.7507515,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,rxx,[0.29905375],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 3))",1.0,19991,1768641429.9739556,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ryy,[0.00295039],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 4))",1.0,9766,1768640817.4402788,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
Replace,9,u,ryy,[-0.0053219],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 6))",1.0,4030,1768640477.1667392,5793.069563150406,116179,3.3693272017582965,2.3693272017582965,70.32048417624308
