Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Delete,5,rx,,,,0.0,5,1768679388.4767802,6.197105884552002,14,2.358293823962309,2.358293823962309,100.0
Delete,12,cx,,,,5.580689859201187,9,1768679388.5212944,6.197105884552002,14,2.358293823962309,-3.2223960352388783,-136.64099029970492
Delete,10,cx,,,,5.612374200826476,11,1768679388.5402954,6.197105884552002,14,2.358293823962309,-3.2540803768641675,-137.98451845990905
Delete,8,cx,,,,5.632349042099549,4,1768679388.4737804,6.197105884552002,14,2.358293823962309,-3.2740552181372404,-138.8315223858029
Delete,6,cx,,,,5.6323706687920865,8,1768679388.517296,6.197105884552002,14,2.358293823962309,-3.2740768448297777,-138.83243943406544
Delete,0,h,,,,6.531510154006943,3,1768679388.4447818,6.197105884552002,14,2.358293823962309,-4.173216330044634,-176.95913408419003
Delete,1,cx,,,,7.280249077590942,2,1768679388.431427,6.197105884552002,14,2.358293823962309,-4.921955253628633,-208.70831291747035
Delete,3,cx,,,,7.288930317990216,7,1768679388.4927852,6.197105884552002,14,2.358293823962309,-4.930636494027907,-209.0764282180773
Delete,4,cx,,,,7.387634655139829,6,1768679388.485785,6.197105884552002,14,2.358293823962309,-5.02934083117752,-213.26184125468419
Delete,13,cx,,,,7.990898271917366,14,1768679388.6258748,6.197105884552002,14,2.358293823962309,-5.632604447955057,-238.84235249750964
Delete,11,cx,,,,8.084941927889776,10,1768679388.5382936,6.197105884552002,14,2.358293823962309,-5.7266481039274675,-242.83013616623003
Delete,9,cx,,,,8.108224952077597,13,1768679388.5442958,6.197105884552002,14,2.358293823962309,-5.749931128115288,-243.81741874956398
Delete,7,cx,,,,8.110234796047072,12,1768679388.5423105,6.197105884552002,14,2.358293823962309,-5.751940972084763,-243.9026432431811
Delete,2,cx,,,,8.310486319893982,1,1768679388.3829167,6.197105884552002,14,2.358293823962309,-5.952192495931674,-252.39401619307316
