Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,0,h,rzx,[-3.14159265],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 12))",3.9276521994509075,31934,1768682998.627445,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,rx,[-3.14159265],"(Qubit(QuantumRegister(13, 'q'), 12),)",3.9276521994509075,108542,1768687070.0064423,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,y,[],"(Qubit(QuantumRegister(13, 'q'), 12),)",3.9276521994509075,101063,1768686725.4197145,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,rzx,[3.14159265],"(Qubit(QuantumRegister(13, 'q'), 2), Qubit(QuantumRegister(13, 'q'), 12))",3.9276521994509075,125940,1768687859.8830247,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,rzx,[3.14159265],"(Qubit(QuantumRegister(13, 'q'), 1), Qubit(QuantumRegister(13, 'q'), 12))",3.9276521994509075,92767,1768686327.148023,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,x,[],"(Qubit(QuantumRegister(13, 'q'), 12),)",3.9276521994509075,101149,1768686728.1411247,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,r,[ 3.14159265 -0.49073573],"(Qubit(QuantumRegister(13, 'q'), 12),)",3.9276521994509075,110209,1768687142.9506385,7221.38228726387,128879,7.529321412926563,3.601669213475655,47.835243257011214
Replace,0,h,ry,[3.14104851],"(Qubit(QuantumRegister(13, 'q'), 4),)",3.929815893137566,54951,1768684401.8073883,7221.38228726387,128879,7.529321412926563,3.5995055197889965,47.80650635539689
Replace,0,h,x,[],"(Qubit(QuantumRegister(13, 'q'), 4),)",3.9301243394984127,128230,1768687961.1491084,7221.38228726387,128879,7.529321412926563,3.59919707342815,47.802409753008305
Replace,0,h,y,[],"(Qubit(QuantumRegister(13, 'q'), 4),)",3.9301243394984127,128116,1768687958.105721,7221.38228726387,128879,7.529321412926563,3.59919707342815,47.802409753008305
Replace,0,h,rx,[3.14149265],"(Qubit(QuantumRegister(13, 'q'), 4),)",3.9424503456033655,59040,1768684630.4001892,7221.38228726387,128879,7.529321412926563,3.586871067323197,47.638703019971366
Replace,0,h,rzx,[-3.14149265],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 4))",3.948613348655842,82677,1768685844.330446,7221.38228726387,128879,7.529321412926563,3.5807080642707207,47.5568496534529
Add,1,cx,ry,[1.5706827],"(Qubit(QuantumRegister(13, 'q'), 12),)",4.01971795223151,107384,1768687013.8361185,7221.38228726387,128879,7.529321412926563,3.509603460695053,46.612480304927104
Add,0,h,r,[-1.57085822  2.04107439],"(Qubit(QuantumRegister(13, 'q'), 12),)",4.048943716735423,108268,1768687060.5174937,7221.38228726387,128879,7.529321412926563,3.4803776961911392,46.22432096225728
Add,1,cx,r,[2.13755449 2.20301095],"(Qubit(QuantumRegister(13, 'q'), 12),)",4.202267987403626,44634,1768683820.5790718,7221.38228726387,128879,7.529321412926563,3.3270534255229363,44.18795855641057
Replace,0,h,cy,[],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 12))",4.38522027146762,127040,1768687906.6052346,7221.38228726387,128879,7.529321412926563,3.1441011414589424,41.75809437569043
Replace,0,h,cx,[],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 12))",4.38522027146762,128271,1768687964.3623195,7221.38228726387,128879,7.529321412926563,3.1441011414589424,41.75809437569043
Replace,0,h,cy,[],"(Qubit(QuantumRegister(13, 'q'), 1), Qubit(QuantumRegister(13, 'q'), 12))",4.38522027146762,97259,1768686539.1406338,7221.38228726387,128879,7.529321412926563,3.1441011414589424,41.75809437569043
Replace,0,h,cx,[],"(Qubit(QuantumRegister(13, 'q'), 1), Qubit(QuantumRegister(13, 'q'), 12))",4.38522027146762,128247,1768687963.1112757,7221.38228726387,128879,7.529321412926563,3.1441011414589424,41.75809437569043
Replace,0,h,cry,[3.14090437],"(Qubit(QuantumRegister(13, 'q'), 1), Qubit(QuantumRegister(13, 'q'), 4))",4.390095409866987,101596,1768686750.5501862,7221.38228726387,128879,7.529321412926563,3.1392260030595756,41.69334566684933
Replace,0,h,cry,[3.14061609],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 4))",4.390128059080127,94785,1768686420.670066,7221.38228726387,128879,7.529321412926563,3.1391933538464354,41.69291203928385
