Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,0,h,cy,[],"(Qubit(QuantumRegister(13, 'q'), 3), Qubit(QuantumRegister(13, 'q'), 11))",3.9301243394984127,94484,1768695815.893731,7213.587164878845,112018,5.834316475186043,1.9041921356876301,32.63779302659289
Replace,0,h,cx,[],"(Qubit(QuantumRegister(13, 'q'), 3), Qubit(QuantumRegister(13, 'q'), 11))",3.9301243394984127,94999,1768695842.7760835,7213.587164878845,112018,5.834316475186043,1.9041921356876301,32.63779302659289
Replace,0,h,cx,[],"(Qubit(QuantumRegister(13, 'q'), 3), Qubit(QuantumRegister(13, 'q'), 12))",3.932596479545918,110322,1768696604.4136698,7213.587164878845,112018,5.834316475186043,1.901719995640125,32.59542062430687
Replace,0,h,cy,[],"(Qubit(QuantumRegister(13, 'q'), 3), Qubit(QuantumRegister(13, 'q'), 12))",3.932596479545918,109923,1768696585.5467284,7213.587164878845,112018,5.834316475186043,1.901719995640125,32.59542062430687
Replace,0,h,cry,[-3.14149265],"(Qubit(QuantumRegister(13, 'q'), 3), Qubit(QuantumRegister(13, 'q'), 12))",4.139873074539763,111691,1768696671.9334714,7213.587164878845,112018,5.834316475186043,1.6944434006462794,29.042706336773538
Replace,0,h,ry,[0.04070416],"(Qubit(QuantumRegister(13, 'q'), 8),)",4.382699058087338,109718,1768696574.08998,7213.587164878845,112018,5.834316475186043,1.4516174170987046,24.880676652913586
Replace,0,h,cry,[0.04069317],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 8))",4.384931880361327,95234,1768695855.190565,7213.587164878845,112018,5.834316475186043,1.449384594824716,24.842406149702366
Replace,0,h,cry,[0.04048665],"(Qubit(QuantumRegister(13, 'q'), 2), Qubit(QuantumRegister(13, 'q'), 8))",4.385109205809413,93419,1768695765.0968087,7213.587164878845,112018,5.834316475186043,1.4492072693766298,24.83936679712627
Replace,0,h,cry,[0.04152814],"(Qubit(QuantumRegister(13, 'q'), 0), Qubit(QuantumRegister(13, 'q'), 6))",4.385882103820128,109740,1768696574.641109,7213.587164878845,112018,5.834316475186043,1.4484343713659147,24.82611934964888
Replace,0,h,ry,[0.04373872],"(Qubit(QuantumRegister(13, 'q'), 6),)",4.386210506817719,84173,1768695302.5406716,7213.587164878845,112018,5.834316475186043,1.4481059683683242,24.820490532648858
Replace,0,h,ry,[-0.04056966],"(Qubit(QuantumRegister(13, 'q'), 10),)",4.386240559312626,65115,1768694236.2254894,7213.587164878845,112018,5.834316475186043,1.4480759158734164,24.8199754338359
Replace,0,h,ry,[-0.03709637],"(Qubit(QuantumRegister(13, 'q'), 4),)",4.386494928309167,92653,1768695725.7176466,7213.587164878845,112018,5.834316475186043,1.4478215468768756,24.815615557274135
