Position,Gate,Params,Qubits,Suspiciousness,KickedOut
5,rx,[2.356194490192345],"(Qubit(QuantumRegister(13, 'q'), 8),)",2.358293823962309,No
26,,[],"(Qubit(QuantumRegister(13, 'q'), 12),)",0.0,No
18,,[],"(Qubit(QuantumRegister(13, 'q'), 4),)",0.0,No
16,,[],"(Qubit(QuantumRegister(13, 'q'), 2),)",0.0,No
15,,[],"(Qubit(QuantumRegister(13, 'q'), 1),)",0.0,No
14,,[],"(Qubit(QuantumRegister(13, 'q'), 0),)",0.0,No
19,,[],"(Qubit(QuantumRegister(13, 'q'), 5),)",0.0,No
20,,[],"(Qubit(QuantumRegister(13, 'q'), 6),)",0.0,No
21,,[],"(Qubit(QuantumRegister(13, 'q'), 7),)",0.0,No
22,,[],"(Qubit(QuantumRegister(13, 'q'), 8),)",0.0,No
23,,[],"(Qubit(QuantumRegister(13, 'q'), 9),)",0.0,No
24,,[],"(Qubit(QuantumRegister(13, 'q'), 10),)",0.0,No
25,,[],"(Qubit(QuantumRegister(13, 'q'), 11),)",0.0,No
17,,[],"(Qubit(QuantumRegister(13, 'q'), 3),)",0.0,No
12,cx,[],"(Qubit(QuantumRegister(13, 'q'), 2), Qubit(QuantumRegister(13, 'q'), 1))",-3.2223960352388783,No
10,cx,[],"(Qubit(QuantumRegister(13, 'q'), 4), Qubit(QuantumRegister(13, 'q'), 3))",-3.2540803768641675,No
8,cx,[],"(Qubit(QuantumRegister(13, 'q'), 6), Qubit(QuantumRegister(13, 'q'), 5))",-3.2740552181372404,No
6,cx,[],"(Qubit(QuantumRegister(13, 'q'), 8), Qubit(QuantumRegister(13, 'q'), 7))",-3.2740768448297777,No
0,h,[],"(Qubit(QuantumRegister(13, 'q'), 12),)",-4.173216330044634,No
1,cx,[],"(Qubit(QuantumRegister(13, 'q'), 12), Qubit(QuantumRegister(13, 'q'), 11))",-4.921955253628633,No
3,cx,[],"(Qubit(QuantumRegister(13, 'q'), 10), Qubit(QuantumRegister(13, 'q'), 9))",-4.930636494027907,No
4,cx,[],"(Qubit(QuantumRegister(13, 'q'), 9), Qubit(QuantumRegister(13, 'q'), 8))",-5.02934083117752,No
13,cx,[],"(Qubit(QuantumRegister(13, 'q'), 1), Qubit(QuantumRegister(13, 'q'), 0))",-5.632604447955057,No
11,cx,[],"(Qubit(QuantumRegister(13, 'q'), 3), Qubit(QuantumRegister(13, 'q'), 2))",-5.7266481039274675,No
9,cx,[],"(Qubit(QuantumRegister(13, 'q'), 5), Qubit(QuantumRegister(13, 'q'), 4))",-5.749931128115288,No
7,cx,[],"(Qubit(QuantumRegister(13, 'q'), 7), Qubit(QuantumRegister(13, 'q'), 6))",-5.751940972084763,No
2,cx,[],"(Qubit(QuantumRegister(13, 'q'), 11), Qubit(QuantumRegister(13, 'q'), 10))",-5.952192495931674,No
