Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,22,cz,ryy,[-1.5707669],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 11))",3.883773352803856,119730,1768666176.3234332,7208.831974983215,124666,5.164144122994875,1.280370770191019,24.793474769416104
Replace,22,cz,rzz,[0.63865536],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 11))",4.325361742218359,118700,1768666136.5627222,7208.831974983215,124666,5.164144122994875,0.8387823807765162,16.242427802151962
Replace,9,cz,rzz,[-0.51080712],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 4))",4.339376222353442,51920,1768662952.633966,7208.831974983215,124666,5.164144122994875,0.824767900641433,15.971047302280173
Add,19,h,cp,[3.1029268],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.341990730880115,15513,1768660454.2846248,7208.831974983215,124666,5.164144122994875,0.8221533921147604,15.920419193063957
Add,26,,cp,[3.12464695],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.34239257387749,91067,1768665014.0039709,7208.831974983215,124666,5.164144122994875,0.8217515491173852,15.912637787514376
Add,13,cz,cp,[3.12464695],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.34239257387749,84619,1768664688.7050412,7208.831974983215,124666,5.164144122994875,0.8217515491173852,15.912637787514376
Add,30,,cp,[-3.12401453],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.342621373510913,97086,1768665258.3664672,7208.831974983215,124666,5.164144122994875,0.8215227494839619,15.908207244369683
Add,17,h,cp,[-3.12401453],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.342621373510913,8753,1768659902.5512064,7208.831974983215,124666,5.164144122994875,0.8215227494839619,15.908207244369683
Add,15,h,cp,[-3.12401453],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.342621373510913,2203,1768659347.4287949,7208.831974983215,124666,5.164144122994875,0.8215227494839619,15.908207244369683
Add,22,cz,cp,[-3.12401453],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.342621373510913,124106,1768666356.1115644,7208.831974983215,124666,5.164144122994875,0.8215227494839619,15.908207244369683
Add,30,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,92640,1768665077.9646997,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,9,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,78619,1768664399.9354985,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,29,,cp,[-3.14159265],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,95483,1768665191.404589,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,19,h,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,4350,1768659556.9744081,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,20,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,7693,1768659831.7273371,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,22,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,14599,1768660382.1577303,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,16,cz,cp,[-3.14159265],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,5454,1768659623.6250062,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,33,,cp,[-3.14159265],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,98862,1768665329.0832891,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,29,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,90516,1768664990.048956,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,33,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,96753,1768665244.6850471,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,18,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,1039,1768659278.7595139,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,24,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,87990,1768664861.3012853,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,18,cz,cp,[3.14159265],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,12002,1768660173.250287,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,13,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,82428,1768664581.8649716,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,21,h,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,11122,1768660107.5924993,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,27,,cp,[-3.14159265],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,92884,1768665087.3514187,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Add,9,cz,cp,[3.14159265],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.343915601749823,81247,1768664525.219552,7208.831974983215,124666,5.164144122994875,0.8202285212450517,15.88314542951546
Replace,9,cz,ryy,[0.01952146],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 8))",4.361349803063871,52096,1768662960.054722,7208.831974983215,124666,5.164144122994875,0.8027943199310039,15.545544446684309
Replace,9,cz,cp,[0.03333921],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.361561012551665,82387,1768664579.0899532,7208.831974983215,124666,5.164144122994875,0.8025831104432104,15.541454524273874
Replace,9,cz,crz,[0.03271415],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 4))",4.361998865461788,79940,1768664465.0183945,7208.831974983215,124666,5.164144122994875,0.8021452575330867,15.532975812222173
Replace,9,cz,crx,[0.00291045],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 11))",4.36253951048178,58561,1768663353.352942,7208.831974983215,124666,5.164144122994875,0.8016046125130947,15.522506603634737
Replace,9,cz,ryy,[0.01923481],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 3))",4.3627720528788,76570,1768664299.6618233,7208.831974983215,124666,5.164144122994875,0.8013720701160754,15.518003584519066
Replace,9,cz,rzz,[0.06923128],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 2))",4.3628010851577965,13105,1768660278.5150747,7208.831974983215,124666,5.164144122994875,0.8013430378370785,15.517441394961503
Replace,9,cz,rxx,[-0.01936137],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 3))",4.3628129965353954,77623,1768664352.4260004,7208.831974983215,124666,5.164144122994875,0.8013311264594796,15.517210739555395
