Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,7,cx,z,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",0.0,1428,1768577727.6631906,50.81792712211609,1683,2.4472129544613628,2.4472129544613628,100.0
Delete,42,p,,,,0.7217596425694867,41,1768577688.3153691,50.81792712211609,1683,2.4472129544613628,1.7254533118918762,70.50687226652298
Replace,6,cp,y,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",1.0558919996896363,1427,1768577727.2545366,50.81792712211609,1683,2.4472129544613628,1.3913209547717265,56.85328496791811
Replace,22,p,ry,[-0.00553433],"(Qubit(QuantumRegister(4, 'q'), 1),)",1.0853561591915075,1251,1768577724.322541,50.81792712211609,1683,2.4472129544613628,1.3618567952698553,55.64929659215551
Replace,22,p,cp,[-0.01615908],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",1.0890937694621203,325,1768577703.0506825,50.81792712211609,1683,2.4472129544613628,1.3581191849992424,55.49656733074002
Delete,38,p,,,,1.0892296150907779,42,1768577688.3184724,50.81792712211609,1683,2.4472129544613628,1.357983339370585,55.49101629651516
Delete,22,p,,,,1.0892296150907779,22,1768577688.0129557,50.81792712211609,1683,2.4472129544613628,1.357983339370585,55.49101629651516
Replace,5,cx,r,[3.0872258  0.04233776],"(Qubit(QuantumRegister(4, 'q'), 0),)",1.2786077995313618,1621,1768577731.5156028,50.81792712211609,1683,2.4472129544613628,1.168605154930001,47.75249137185177
Delete,5,cx,,,,1.281852938624604,6,1768577687.6495273,50.81792712211609,1683,2.4472129544613628,1.1653600158367587,47.619885866992604
Add,38,p,cy,[],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",1.2892933107953668,998,1768577717.8364286,50.81792712211609,1683,2.4472129544613628,1.157919643665996,47.31585134653133
Add,0,h,cx,[],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",1.4119968800603122,968,1768577717.2632627,50.81792712211609,1683,2.4472129544613628,1.0352160744010506,42.30183860843872
Replace,42,p,t,[],"(Qubit(QuantumRegister(4, 'q'), 0),)",1.4607299766844493,104,1768577698.4232397,50.81792712211609,1683,2.4472129544613628,0.9864829777769135,40.31046730030246
Replace,5,cx,tdg,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",1.6933920260550201,1375,1768577726.0838652,50.81792712211609,1683,2.4472129544613628,0.7538209284063426,30.80324199134768
Replace,11,cx,crz,[1.15557665],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",1.7476183765529945,1155,1768577721.583503,50.81792712211609,1683,2.4472129544613628,0.6995945779083683,28.587400889366034
Replace,7,cx,crx,[-0.29411075],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 1))",1.7840430554754236,1553,1768577730.8750854,50.81792712211609,1683,2.4472129544613628,0.6631698989859391,27.09898612529633
Delete,7,cx,,,,1.8136787742337994,12,1768577687.7526608,50.81792712211609,1683,2.4472129544613628,0.6335341802275634,25.887987356090374
Delete,11,cx,,,,1.8459404898980512,11,1768577687.7425394,50.81792712211609,1683,2.4472129544613628,0.6012724645633116,24.569682972099706
Replace,8,cp,r,[-3.03856346 -1.52879828],"(Qubit(QuantumRegister(4, 'q'), 1),)",1.8522253756969163,736,1768577712.0256767,50.81792712211609,1683,2.4472129544613628,0.5949875787644465,24.312864872661017
Replace,38,p,cz,[],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",1.8966182543118666,1002,1768577718.545091,50.81792712211609,1683,2.4472129544613628,0.5505947001494962,22.498847071961634
Replace,7,cx,sx,[],"(Qubit(QuantumRegister(4, 'q'), 1),)",1.94936757918987,55,1768577695.659383,50.81792712211609,1683,2.4472129544613628,0.49784537527149286,20.34336138846853
Add,6,cp,x,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",1.9523671110071315,1411,1768577726.717344,50.81792712211609,1683,2.4472129544613628,0.4948458434542313,20.220792087264346
Replace,35,cx,cz,[],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 1))",2.0097461268337122,1195,1768577723.0957038,50.81792712211609,1683,2.4472129544613628,0.43746682762765055,17.876124218373874
Add,3,x,s,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",2.015488180855213,1157,1768577721.94016,50.81792712211609,1683,2.4472129544613628,0.4317247736061498,17.64148775116195
Replace,9,cx,rxx,[3.14159265],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",2.0236656657745917,1167,1768577722.154259,50.81792712211609,1683,2.4472129544613628,0.42354728868677105,17.30733273189929
