Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Delete,9,swap,,,,0.0,4,1768579451.9348316,6.209643840789795,18,3.241983619930319,3.241983619930319,100.0
Delete,3,rzz,,,,3.103563780827167,7,1768579451.9656534,6.209643840789795,18,3.241983619930319,0.1384198391031517,4.269603283995827
Delete,17,rzz,,,,3.1221589389341484,17,1768579452.1329122,6.209643840789795,18,3.241983619930319,0.1198246809961705,3.696029809020008
Delete,12,rzz,,,,3.170831048110583,13,1768579452.091935,6.209643840789795,18,3.241983619930319,0.07115257181973611,2.194723359560509
Delete,8,rzz,,,,3.2034649727347793,5,1768579451.9450624,6.209643840789795,18,3.241983619930319,0.03851864719553966,1.1881197350518247
Delete,10,rzz,,,,3.2983710793826493,6,1768579451.957966,6.209643840789795,18,3.241983619930319,-0.05638745945233037,-1.7392888448197135
Delete,5,rzz,,,,3.6860648247894057,8,1768579451.9707541,6.209643840789795,18,3.241983619930319,-0.44408120485908675,-13.69782383011027
Delete,15,rzz,,,,3.781357406901111,15,1768579452.1019344,6.209643840789795,18,3.241983619930319,-0.539373786970792,-16.63715336669051
Delete,13,rx,,,,3.7973218089025464,16,1768579452.1099577,6.209643840789795,18,3.241983619930319,-0.5553381889722275,-17.129580345756455
Delete,11,rx,,,,3.8940566377571706,12,1768579452.050763,6.209643840789795,18,3.241983619930319,-0.6520730178268517,-20.113396434768752
Delete,6,rx,,,,4.1551846177512175,9,1768579451.9748523,6.209643840789795,18,3.241983619930319,-0.9132009978208986,-28.16797075120714
Delete,2,h,,,,4.233858125048922,11,1768579451.9819863,6.209643840789795,18,3.241983619930319,-0.9918745051186031,-30.594679720803825
Delete,0,h,,,,4.256342847470467,1,1768579451.8516185,6.209643840789795,18,3.241983619930319,-1.0143592275401483,-31.28822802509873
Delete,1,h,,,,4.306524739087289,2,1768579451.8659873,6.209643840789795,18,3.241983619930319,-1.0645411191569698,-32.83610418672783
Delete,7,h,,,,4.333112473907029,10,1768579451.9768522,6.209643840789795,18,3.241983619930319,-1.0911288539767101,-33.656211193323735
Delete,16,rx,,,,4.356782315143747,14,1768579452.0979342,6.209643840789795,18,3.241983619930319,-1.1147986952134277,-34.38631485859847
Delete,4,h,,,,4.372411442042614,3,1768579451.9185054,6.209643840789795,18,3.241983619930319,-1.1304278221122948,-34.868400172132624
Delete,14,h,,,,4.4242066390460435,18,1768579452.1877012,6.209643840789795,18,3.241983619930319,-1.1822230191157246,-36.466039243626234
