Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,12,h,r,[ 2.49677123 -3.14150317],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.02216198529102246,107250,1768582068.0527768,4919.507306337357,231256,3.791868523059846,3.7697065377688235,99.41553919508952
Add,15,rzz,rx,[-2.49664347],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.03125,19800,1768580102.072305,4919.507306337357,231256,3.791868523059846,3.760618523059846,99.17586805001396
Add,14,rx,r,[ 2.4960978  -3.14159265],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.03125,15240,1768579995.6361058,4919.507306337357,231256,3.791868523059846,3.760618523059846,99.17586805001396
Add,12,h,rx,[-2.49669279],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.03125,104223,1768582005.3292549,4919.507306337357,231256,3.791868523059846,3.760618523059846,99.17586805001396
Add,13,rzz,r,[-2.53813958 -0.0027725 ],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.2362687237690561,6659,1768579787.2647758,4919.507306337357,231256,3.791868523059846,3.55559979929079,93.76906867070383
Add,15,rzz,r,[-2.44804013e+00 -8.67665192e-05],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.28165009396572727,23895,1768580201.1664407,4919.507306337357,231256,3.791868523059846,3.510218429094119,92.57226108308075
Add,10,rx,r,[-2.3868435   0.01323633],"(Qubit(QuantumRegister(6, 'q'), 4),)",0.3962957488123134,96307,1768581838.9576342,4919.507306337357,231256,3.791868523059846,3.395572774247533,89.54880037632415
Replace,15,rzz,r,[-2.490844    0.00304971],"(Qubit(QuantumRegister(6, 'q'), 4),)",1.2646102188384758,28009,1768580302.6652749,4919.507306337357,231256,3.791868523059846,2.5272583042213705,66.64941806004394
Add,14,rx,rx,[3.14159265],"(Qubit(QuantumRegister(6, 'q'), 4),)",1.4260829933794565,11065,1768579893.9908526,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
Add,13,rzz,rxx,[3.14159265],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 4))",1.4260829933794565,230063,1768584503.6272101,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
Add,13,rzz,rxx,[3.14159265],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 5))",1.4260829933794565,206065,1768584040.8348649,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
Add,11,rzz,x,[],"(Qubit(QuantumRegister(6, 'q'), 4),)",1.4260829933794565,17847,1768580056.287476,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
Add,12,h,x,[],"(Qubit(QuantumRegister(6, 'q'), 4),)",1.4260829933794565,25788,1768580247.8469512,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
Add,13,rzz,x,[],"(Qubit(QuantumRegister(6, 'q'), 4),)",1.4260829933794565,33796,1768580441.0720634,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
Add,10,rx,rx,[3.14159265],"(Qubit(QuantumRegister(6, 'q'), 4),)",1.4260829933794565,93346,1768581778.7124362,4919.507306337357,231256,3.791868523059846,2.3657855296803896,62.391022138376265
