Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,12,r,rz,[0.78154339],"(Qubit(QuantumRegister(9, 'q'), 6),)",0.6388377015794744,2996,1768608507.6655536,7211.683208703995,144933,3.898537520869865,3.2596998192903905,83.61340122649548
Replace,12,r,p,[0.78518296],"(Qubit(QuantumRegister(9, 'q'), 6),)",0.639551423904738,126111,1768614782.0317059,7211.683208703995,144933,3.898537520869865,3.258986096965127,83.5950937888617
Replace,12,r,t,[],"(Qubit(QuantumRegister(9, 'q'), 6),)",0.639551423904738,119656,1768614533.6264412,7211.683208703995,144933,3.898537520869865,3.258986096965127,83.5950937888617
Replace,12,r,rzz,[0.78490631],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 6))",1.1558815024984659,35151,1768610522.852496,7211.683208703995,144933,3.898537520869865,2.7426560183713993,70.350894500547
Replace,12,r,crz,[-0.00552052],"(Qubit(QuantumRegister(9, 'q'), 2), Qubit(QuantumRegister(9, 'q'), 5))",1.569482170246045,133260,1768615058.9293299,7211.683208703995,144933,3.898537520869865,2.32905535062382,59.741770809073735
Replace,12,r,crz,[0.00437588],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 7))",1.5793334202134854,94014,1768613489.913974,7211.683208703995,144933,3.898537520869865,2.3192041006563797,59.489079898323126
Replace,12,r,cp,[0.00606641],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 7))",1.5793334202134854,98553,1768613680.0390537,7211.683208703995,144933,3.898537520869865,2.3192041006563797,59.489079898323126
Replace,12,r,rzz,[0.00122984],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 7))",1.5814464552412093,122943,1768614660.1875896,7211.683208703995,144933,3.898537520869865,2.317091065628656,59.43487918802055
Replace,12,r,rzz,[-0.00152535],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 7))",1.5815010520493038,82729,1768613003.9550335,7211.683208703995,144933,3.898537520869865,2.3170364688205614,59.43347874470554
Replace,12,r,p,[0.00214933],"(Qubit(QuantumRegister(9, 'q'), 7),)",1.5815589096154294,65335,1768612188.085625,7211.683208703995,144933,3.898537520869865,2.3169786112544357,59.431994660845476
Replace,12,r,crz,[-0.0017438],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 5))",1.5817017989934548,111659,1768614228.1952283,7211.683208703995,144933,3.898537520869865,2.3168357218764104,59.42832945620757
Replace,12,r,crz,[0.0243784],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 8))",1.5820531635549848,36711,1768610617.4564679,7211.683208703995,144933,3.898537520869865,2.3164843573148803,59.41931672875146
Replace,12,r,cp,[0.00991946],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 8))",1.582246998855631,128715,1768614881.846235,7211.683208703995,144933,3.898537520869865,2.316290522014234,59.41434472836391
