Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,7,iswap,cx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.0,190,1768577141.4978654,18.2219340801239,469,2.223504024775887,2.223504024775887,100.0
Replace,6,u,r,[-0.36892261 -0.97086838],"(Qubit(QuantumRegister(2, 'q'), 0),)",0.8657655303628706,469,1768577144.3221967,18.2219340801239,469,2.223504024775887,1.3577384944130162,61.06301042337292
Replace,6,u,crz,[-0.12872383],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.0090300976419009,161,1768577141.165258,18.2219340801239,469,2.223504024775887,1.214473927133986,54.61982139908185
Delete,6,u,,,,1.0471717619354088,6,1768577132.1084144,18.2219340801239,469,2.223504024775887,1.176332262840478,52.90443595932073
Replace,4,cx,cp,[1.0911396],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.143609848486155,211,1768577142.2020113,18.2219340801239,469,2.223504024775887,1.0798941762897318,48.56722381685715
Replace,7,iswap,cp,[-0.77711939],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.4544263143208473,315,1768577143.1748545,18.2219340801239,469,2.223504024775887,0.7690777104550395,34.588545911562136
Replace,7,iswap,ch,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.4856610839890592,53,1768577139.6771111,18.2219340801239,469,2.223504024775887,0.7378429407868277,33.18379155446759
Add,10,ry,rz,[1.43914781],"(Qubit(QuantumRegister(2, 'q'), 0),)",1.5113715945055444,189,1768577141.437013,18.2219340801239,469,2.223504024775887,0.7121324302703425,32.02748555142014
Add,10,ry,p,[1.38758591],"(Qubit(QuantumRegister(2, 'q'), 0),)",1.5125452407669533,104,1768577140.9552188,18.2219340801239,469,2.223504024775887,0.7109587840089335,31.974701915846232
Replace,7,iswap,rx,[-1.34617173],"(Qubit(QuantumRegister(2, 'q'), 0),)",1.6471771979455183,142,1768577141.0838108,18.2219340801239,469,2.223504024775887,0.5763268268303685,25.919756402890172
Add,8,p,ch,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.6482311833587606,32,1768577138.8927708,18.2219340801239,469,2.223504024775887,0.5752728414171262,25.872354401297276
Add,4,cx,ch,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.6560708648297937,20,1768577138.4957097,18.2219340801239,469,2.223504024775887,0.5674331599460931,25.519772108498262
Delete,4,cx,,,,1.7103222770241442,9,1768577132.1280699,18.2219340801239,469,2.223504024775887,0.5131817477517426,23.079865924842107
Add,8,p,cp,[0.89952277],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.749871760158591,336,1768577143.1910925,18.2219340801239,469,2.223504024775887,0.4736322646172959,21.301165158225185
Delete,7,iswap,,,,1.7520623940238726,4,1768577132.0687733,18.2219340801239,469,2.223504024775887,0.4714416307520142,21.202643462699918
Replace,10,ry,rzx,[2.11686734],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.7604259115357452,407,1768577144.1583045,18.2219340801239,469,2.223504024775887,0.4630781132401416,20.82650213717587
Add,7,iswap,csx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.780979301738111,169,1768577141.355259,18.2219340801239,469,2.223504024775887,0.4425247230377758,19.902132764629428
Add,7,iswap,ch,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.7956070038155687,74,1768577139.977491,18.2219340801239,469,2.223504024775887,0.4278970209603181,19.244265636238147
Replace,10,ry,r,[1.30000712 0.37725199],"(Qubit(QuantumRegister(2, 'q'), 0),)",1.8731570917073292,434,1768577144.3111959,18.2219340801239,469,2.223504024775887,0.3503469330685576,15.756523449687482
Add,5,u,cz,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",1.9289830898550642,16,1768577138.3344486,18.2219340801239,469,2.223504024775887,0.29452093492082265,13.245801745310906
