Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Delete,9,rx,,,,0.0,9,1768577156.0598497,6.467602014541626,16,0.8383049220652327,0.8383049220652327,100.0
Delete,12,ry,,,,0.8722426549888018,14,1768577156.2510645,6.467602014541626,16,0.8383049220652327,-0.033937732923569164,-4.048375719894473
Delete,14,ry,,,,1.2195621743178635,15,1768577156.298089,6.467602014541626,16,0.8383049220652327,-0.38125725225263085,-45.479543566721816
Delete,11,ry,,,,1.220731090137734,12,1768577156.0683613,6.467602014541626,16,0.8383049220652327,-0.3824261680725013,-45.618981590894535
Delete,15,ry,,,,1.5228762847619421,10,1768577156.062849,6.467602014541626,16,0.8383049220652327,-0.6845713626967095,-81.66137937138815
Delete,1,u,,,,1.6291583050630907,1,1768577155.9128506,6.467602014541626,16,0.8383049220652327,-0.790853382997858,-94.33958481951008
Delete,10,cx,,,,1.7131517779714847,13,1768577156.0704186,6.467602014541626,16,0.8383049220652327,-0.874846855906252,-104.35902651638919
Delete,7,cx,,,,1.748694743882103,8,1768577156.0548496,6.467602014541626,16,0.8383049220652327,-0.9103898218168703,-108.5988878097066
Delete,5,u,,,,1.793482620461297,5,1768577156.028495,6.467602014541626,16,0.8383049220652327,-0.9551776983960644,-113.94155912181765
Delete,0,u,,,,1.806775018472552,2,1768577155.9525933,6.467602014541626,16,0.8383049220652327,-0.9684700964073193,-115.52718717449662
Delete,13,cx,,,,1.8983394664274529,16,1768577156.32145,6.467602014541626,16,0.8383049220652327,-1.06003454436222,-126.44975789367172
Delete,2,cx,,,,2.3173354929075645,3,1768577156.015636,6.467602014541626,16,0.8383049220652327,-1.479030570842332,-176.43109707606385
Delete,6,u,,,,2.389679444994329,4,1768577156.0192761,6.467602014541626,16,0.8383049220652327,-1.5513745229290965,-185.06088680800758
Delete,4,cx,,,,2.487724173182349,11,1768577156.06585,6.467602014541626,16,0.8383049220652327,-1.6494192511171164,-196.7564793790829
Delete,3,p,,,,2.687838776364307,7,1768577156.0467296,6.467602014541626,16,0.8383049220652327,-1.8495338542990742,-220.62781758964226
Delete,8,p,,,,2.860374063911045,6,1768577156.0427294,6.467602014541626,16,0.8383049220652327,-2.0220691418458125,-241.20926510419145
