Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,0,h,ry,[1.57726835],"(Qubit(QuantumRegister(8, 'q'), 6),)",0.0,2445,1768606562.0654414,135.6987006664276,2667,3.7943124972499405,3.7943124972499405,100.0
Replace,17,h,ry,[0.00042873],"(Qubit(QuantumRegister(8, 'q'), 3),)",2.374524197399187,1360,1768606514.7318199,135.6987006664276,2667,3.7943124972499405,1.4197882998507536,37.41885521763941
Delete,17,h,,,,2.3746347320859753,18,1768606441.4149547,135.6987006664276,2667,3.7943124972499405,1.4196777651639652,37.415942049921455
Add,30,cp,cry,[1.2878026],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 1))",3.4688476947722373,2468,1768606564.005148,135.6987006664276,2667,3.7943124972499405,0.32546480247770315,8.577701565529857
Add,18,cp,ryy,[0.7482016],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 4))",3.675573277273341,1676,1768606528.048733,135.6987006664276,2667,3.7943124972499405,0.11873921997659931,3.129400123544375
Add,33,cp,rzx,[-0.56296572],"(Qubit(QuantumRegister(8, 'q'), 1), Qubit(QuantumRegister(8, 'q'), 0))",3.6895975334219693,797,1768606488.3198404,135.6987006664276,2667,3.7943124972499405,0.10471496382797119,2.75978754791196
Add,7,cp,ry,[-0.01088152],"(Qubit(QuantumRegister(8, 'q'), 0),)",3.7182895189761775,2249,1768606554.4722176,135.6987006664276,2667,3.7943124972499405,0.07602297827376292,2.0036035073247973
Add,24,cp,rxx,[0.41988043],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 6))",3.7215829706373142,861,1768606491.949472,135.6987006664276,2667,3.7943124972499405,0.07272952661262622,1.9168038126891094
Add,28,cp,ry,[-0.11514371],"(Qubit(QuantumRegister(8, 'q'), 6),)",3.725380614023771,741,1768606486.4410894,135.6987006664276,2667,3.7943124972499405,0.06893188322616961,1.816716026319139
Add,48,,crz,[0.02159939],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 6))",3.726715728999996,995,1768606497.6752687,135.6987006664276,2667,3.7943124972499405,0.06759676824994454,1.78152875649904
