Position,Gate,Params,Qubits,Suspiciousness,KickedOut
53,,[],"(Qubit(QuantumRegister(8, 'q'), 7),)",0.029886684386620073,No
47,,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",0.011927679981080033,No
50,,[],"(Qubit(QuantumRegister(8, 'q'), 4),)",0.00037925986974586556,No
46,,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",0.0,No
52,,[],"(Qubit(QuantumRegister(8, 'q'), 6),)",-0.048377400105354615,No
48,,[],"(Qubit(QuantumRegister(8, 'q'), 2),)",-0.12757369714307104,No
41,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 2))",-0.13895964097886054,No
49,,[],"(Qubit(QuantumRegister(8, 'q'), 3),)",-0.3130304315053847,No
10,cp,[1.7671458676442586],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 2))",-0.3245475743967554,Before iteration 5
33,cp,[-0.09817477042468103],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 0))",-0.38823433226639814,Before iteration 5
25,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 3), Qubit(QuantumRegister(8, 'q'), 1))",-0.40161339471524515,Before iteration 5
19,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 1), Qubit(QuantumRegister(8, 'q'), 0))",-0.4134204010892875,No
35,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 2))",-0.4403399202448726,Before iteration 6
34,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 1))",-0.48176794251093114,Before iteration 6
28,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 0))",-0.500288496457211,Before iteration 6
51,,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",-0.5698701719427381,Before iteration 6
21,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 2), Qubit(QuantumRegister(8, 'q'), 0))",-0.5734038816448164,Before iteration 6
42,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 3))",-0.5873973568808853,Before iteration 6
