Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,15,u,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.0,4802,1768578639.0056,212.05432319641113,5051,5.3826405183564185,5.3826405183564185,100.0
Replace,19,ccx,rx,[3.14159265],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.4082223649797836,2200,1768578533.1714678,212.05432319641113,5051,5.3826405183564185,3.974418153376635,73.83770362933726
Replace,5,x,cp,[-0.02963512],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 3))",1.944849853575611,3921,1768578605.0124464,212.05432319641113,5051,5.3826405183564185,3.437790664780808,63.86810809781761
Add,8,x,r,[-3.12596765 -0.01488262],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.9459348338364106,2725,1768578555.9964483,212.05432319641113,5051,5.3826405183564185,3.4367056845200077,63.847951071594146
Replace,5,x,crx,[0.07622226],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 3))",1.949579833898521,102,1768578454.1406949,212.05432319641113,5051,5.3826405183564185,3.4330606844578977,63.78023337709682
Add,4,ccx,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.949579833898521,4134,1768578615.1176217,212.05432319641113,5051,5.3826405183564185,3.4330606844578977,63.78023337709682
Replace,5,x,tdg,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",1.949579833898521,2874,1768578562.363449,212.05432319641113,5051,5.3826405183564185,3.4330606844578977,63.78023337709682
Replace,5,x,p,[0.13219364],"(Qubit(QuantumRegister(5, 'q'), 0),)",1.949579833898521,3987,1768578607.6033194,212.05432319641113,5051,5.3826405183564185,3.4330606844578977,63.78023337709682
Delete,5,x,,,,1.949579833898521,5,1768578439.98281,212.05432319641113,5051,5.3826405183564185,3.4330606844578977,63.78023337709682
Add,4,ccx,y,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.949579833898521,1282,1768578499.769926,212.05432319641113,5051,5.3826405183564185,3.4330606844578977,63.78023337709682
Replace,22,x,ry,[-3.13573328],"(Qubit(QuantumRegister(5, 'q'), 2),)",2.1500455764164617,1398,1768578504.5927124,212.05432319641113,5051,5.3826405183564185,3.232594941939957,60.05593223095317
Add,29,cx,z,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",2.150721525883532,2794,1768578559.1534705,212.05432319641113,5051,5.3826405183564185,3.2319189924728864,60.043374277941716
Replace,20,x,ry,[0.00983387],"(Qubit(QuantumRegister(5, 'q'), 1),)",2.8356066628027676,2695,1768578555.2333655,212.05432319641113,5051,5.3826405183564185,2.547033855553651,47.31941222653643
Add,19,ccx,r,[-3.14159265  3.14159265],"(Qubit(QuantumRegister(5, 'q'), 1),)",2.8369806313062367,2085,1768578528.8644102,212.05432319641113,5051,5.3826405183564185,2.545659887050182,47.29388630670612
Replace,20,x,p,[0.29197714],"(Qubit(QuantumRegister(5, 'q'), 2),)",2.8369806313062367,177,1768578457.244913,212.05432319641113,5051,5.3826405183564185,2.545659887050182,47.29388630670612
Delete,20,x,,,,2.8369806313062367,20,1768578440.4474435,212.05432319641113,5051,5.3826405183564185,2.545659887050182,47.29388630670612
Add,4,ccx,rzx,[3.14159265],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 4))",3.0,1007,1768578489.0202837,212.05432319641113,5051,5.3826405183564185,2.3826405183564185,44.265272968367476
Replace,14,x,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.0,1283,1768578499.994166,212.05432319641113,5051,5.3826405183564185,2.3826405183564185,44.265272968367476
Add,13,cx,sx,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.063820267166616,1175,1768578495.6663773,212.05432319641113,5051,5.3826405183564185,2.3188202511898024,43.079604578495065
Add,4,ccx,cy,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",3.1922273281043645,3714,1768578597.2726061,212.05432319641113,5051,5.3826405183564185,2.190413190252054,40.694027081728535
Add,52,,r,[-3.14159265 -1.59198493],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.2167579635511485,1361,1768578503.7939742,212.05432319641113,5051,5.3826405183564185,2.16588255480527,40.23829099154887
Replace,47,x,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.21836192599076,61,1768578449.7433496,212.05432319641113,5051,5.3826405183564185,2.1642785923656587,40.20849218863529
Add,7,x,rxx,[3.13378015],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",3.3759463625452115,4816,1768578639.6342413,212.05432319641113,5051,5.3826405183564185,2.006694155811207,37.280850336703296
Replace,5,x,r,[-3.14159265  0.17624095],"(Qubit(QuantumRegister(5, 'q'), 0),)",3.3769632270806547,1087,1768578491.5875723,212.05432319641113,5051,5.3826405183564185,2.005677291275764,37.26195878093294
Add,14,x,cx,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",3.527909014453154,400,1768578465.1676772,212.05432319641113,5051,5.3826405183564185,1.8547315039032646,34.45765136233924
Replace,5,x,sdg,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",3.534286978154463,1198,1768578496.2652323,212.05432319641113,5051,5.3826405183564185,1.8483535402019555,34.339160007035865
Replace,4,ccx,y,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.554640182083383,4135,1768578615.929023,212.05432319641113,5051,5.3826405183564185,1.8280003362730355,33.961033251970036
Replace,5,x,s,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",3.5636513573568527,4549,1768578629.5973155,212.05432319641113,5051,5.3826405183564185,1.8189891609995659,33.79362145393635
Add,49,,z,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.579980777978614,3701,1768578595.519889,212.05432319641113,5051,5.3826405183564185,1.8026597403778046,33.49024952029016
Add,52,,p,[-3.14159265],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.579980777978614,3861,1768578602.4005713,212.05432319641113,5051,5.3826405183564185,1.8026597403778046,33.49024952029016
Add,2,ccx,rx,[-3.14159265],"(Qubit(QuantumRegister(5, 'q'), 3),)",3.6957180104951575,3260,1768578576.9648652,212.05432319641113,5051,5.3826405183564185,1.686922507861261,31.34005516638812
Add,2,ccx,rzx,[-3.14159265],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 3))",3.6957180104951575,2511,1768578545.658599,212.05432319641113,5051,5.3826405183564185,1.686922507861261,31.34005516638812
Replace,9,rccx,ry,[-3.12499109],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.756502140042518,3492,1768578586.673146,212.05432319641113,5051,5.3826405183564185,1.6261383783139007,30.210792876995612
Replace,42,rccx,ry,[-2.57672992],"(Qubit(QuantumRegister(5, 'q'), 1),)",3.8184045793691297,2550,1768578546.3917916,212.05432319641113,5051,5.3826405183564185,1.5642359389872889,29.060754357508646
Replace,26,rccx,h,[],"(Qubit(QuantumRegister(5, 'q'), 0),)",3.8566730829180185,74,1768578451.7507467,212.05432319641113,5051,5.3826405183564185,1.5259674354384,28.349792824439852
Add,19,ccx,rz,[3.14159265],"(Qubit(QuantumRegister(5, 'q'), 0),)",3.8582427335290532,2566,1768578548.4300623,212.05432319641113,5051,5.3826405183564185,1.5243977848273653,28.320631474992837
Add,4,ccx,cry,[3.14159265],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 2))",3.860738137154146,1865,1768578524.1722279,212.05432319641113,5051,5.3826405183564185,1.5219023812022727,28.274271261700072
Add,25,ccx,s,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",3.914223154214448,2556,1768578548.083726,212.05432319641113,5051,5.3826405183564185,1.4684173641419704,27.280613652987356
Replace,25,ccx,sdg,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",3.9225488180249117,2579,1768578549.8438628,212.05432319641113,5051,5.3826405183564185,1.4600917003315068,27.12593745304291
Replace,27,ccx,r,[-3.06899893  3.14159265],"(Qubit(QuantumRegister(5, 'q'), 0),)",3.94018947342398,474,1768578469.244712,212.05432319641113,5051,5.3826405183564185,1.4424510449324384,26.798205081934185
Replace,25,ccx,cp,[-0.70817868],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 2))",3.9874852486087047,4375,1768578624.1995249,212.05432319641113,5051,5.3826405183564185,1.3951552697477139,25.919532708710825
Replace,30,x,rx,[-0.71717486],"(Qubit(QuantumRegister(5, 'q'), 1),)",4.0039210499533,2420,1768578542.5839324,212.05432319641113,5051,5.3826405183564185,1.3787194684031183,25.614184408215102
Replace,16,rccx,r,[-1.72558125 -3.13807438],"(Qubit(QuantumRegister(5, 'q'), 0),)",4.0278618520707825,1247,1768578497.090593,212.05432319641113,5051,5.3826405183564185,1.354778666285636,25.169406384569697
Add,29,cx,h,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",4.030848489916287,1399,1768578504.8986201,212.05432319641113,5051,5.3826405183564185,1.3517920284401317,25.113919902882525
Add,35,ccx,rzx,[2.89060318],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 3))",4.0398831215494635,1736,1768578516.6279233,212.05432319641113,5051,5.3826405183564185,1.342757396806955,24.946072326913708
Replace,28,x,cz,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 2))",4.051086597882536,1311,1768578503.0858736,212.05432319641113,5051,5.3826405183564185,1.3315539204738824,24.737931428503988
Replace,15,u,cry,[-0.14160688],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 2))",4.052327604807144,4882,1768578640.8795025,212.05432319641113,5051,5.3826405183564185,1.3303129135492746,24.714875701108195
Replace,15,u,z,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",4.059268826690087,1310,1768578502.7700315,212.05432319641113,5051,5.3826405183564185,1.3233716916663312,24.585919998804247
Delete,15,u,,,,4.059268826690087,15,1768578440.3786118,212.05432319641113,5051,5.3826405183564185,1.3233716916663312,24.585919998804247
Replace,15,u,crz,[2.97657968],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 2))",4.059268826690087,1275,1768578497.8461924,212.05432319641113,5051,5.3826405183564185,1.3233716916663312,24.585919998804247
