Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,9,rccx,r,[ 3.14159265 -2.75096765],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.0,10356,1768579258.1154332,431.6940722465515,10557,4.783797566848857,4.783797566848857,100.0
Add,4,ccx,y,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.5668602946754218,2868,1768578959.8429563,431.6940722465515,10557,4.783797566848857,4.216937272173435,88.15041216200919
Add,4,ccx,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.5668602946754218,6016,1768579085.8558402,431.6940722465515,10557,4.783797566848857,4.216937272173435,88.15041216200919
Add,9,rccx,rx,[3.09471765],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.5975182518014024,6842,1768579117.78191,431.6940722465515,10557,4.783797566848857,4.186279315047454,87.5095414583984
Add,8,x,r,[3.14159265 3.14159265],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.6066928440158863,3150,1768578970.874636,431.6940722465515,10557,4.783797566848857,4.17710472283297,87.31775674998886
Add,9,rccx,rzx,[-3.09471765],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",1.0052648742021717,5970,1768579081.8024216,431.6940722465515,10557,4.783797566848857,3.778532692646685,78.98604905089344
Add,9,rccx,ry,[-3.11815515],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.5971341082210948,96,1768578852.0314655,431.6940722465515,10557,4.783797566848857,3.186663458627762,66.61367698146255
Add,5,t,y,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.6037336862151865,9166,1768579208.5037494,431.6940722465515,10557,4.783797566848857,3.18006388063367,66.47572009884222
Replace,4,ccx,y,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.6050603481848622,6018,1768579086.4690175,431.6940722465515,10557,4.783797566848857,3.1787372186639944,66.44798769689298
Replace,4,ccx,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.6050603481848622,9125,1768579207.1724606,431.6940722465515,10557,4.783797566848857,3.1787372186639944,66.44798769689298
Replace,21,x,rz,[0.80961896],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.6490604109669824,2992,1768578962.9072974,431.6940722465515,10557,4.783797566848857,3.134737155881874,65.52821502325321
Add,53,,r,[3.12912131 1.56335555],"(Qubit(QuantumRegister(5, 'q'), 1),)",2.051358734778699,2459,1768578942.9376798,431.6940722465515,10557,4.783797566848857,2.732438832070158,57.11861327506062
Add,20,ccx,r,[-3.14159265 -0.35883401],"(Qubit(QuantumRegister(5, 'q'), 1),)",2.284449917547044,9707,1768579230.8510666,431.6940722465515,10557,4.783797566848857,2.4993476493018125,52.246099764379494
Add,4,ccx,cx,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",2.3281418752393286,6975,1768579124.5264807,431.6940722465515,10557,4.783797566848857,2.455655691609528,51.332767687055316
Add,4,ccx,cy,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",2.3281418752393286,3956,1768579002.9311838,431.6940722465515,10557,4.783797566848857,2.455655691609528,51.332767687055316
Replace,13,x,crz,[-1.33779294],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",2.3717358071286037,2708,1768578951.7652764,431.6940722465515,10557,4.783797566848857,2.412061759720253,50.42148473078275
Replace,13,x,cry,[0.04085702],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",2.5385785013241344,6268,1768579093.194487,431.6940722465515,10557,4.783797566848857,2.245219065524722,46.933822640903976
Replace,13,x,crx,[-0.02121717],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",2.5521821746605236,10282,1768579254.397414,431.6940722465515,10557,4.783797566848857,2.231615392188333,46.64945288766314
Add,15,x,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",2.556272677914407,5061,1768579045.3384597,431.6940722465515,10557,4.783797566848857,2.2275248889344494,46.56394543889001
Delete,13,x,,,,2.556272677914407,14,1768578838.418174,431.6940722465515,10557,4.783797566848857,2.2275248889344494,46.56394543889001
Replace,13,x,rzz,[0.01093089],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 3))",2.556272677914407,3758,1768578995.3423285,431.6940722465515,10557,4.783797566848857,2.2275248889344494,46.56394543889001
