Position,Gate,Params,Qubits,Suspiciousness,KickedOut
40,sdg,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",1.9075703341816626,No
54,,[],"(Qubit(QuantumRegister(5, 'q'), 4),)",0.0,No
53,,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",0.0,No
52,,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.0,No
51,,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.0,No
50,,[],"(Qubit(QuantumRegister(5, 'q'), 0),)",0.0,No
36,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",-0.5110484359688523,No
4,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",-0.6555419173583772,No
10,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",-0.7018015753475524,No
2,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",-0.8497651261609969,No
45,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",-1.0126801237798069,No
28,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",-1.1326394492590168,No
34,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",-1.2852905966837769,No
18,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",-1.3402549404427329,No
