Position,Gate,Params,Qubits,Suspiciousness,KickedOut
20,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",1.9626153537635969,No
9,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",1.8647379766320116,No
21,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.4430485057733322,No
13,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",1.286098619863574,No
4,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",1.2122218311062962,No
42,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",0.9649379703912337,No
26,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",0.6774264326252941,No
37,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.4879397141063989,No
29,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.4849326224956301,No
28,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",0.47301472898546726,No
34,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",0.44420969466670596,No
5,t,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.3190241359428449,No
30,cx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2))",0.31148027084684415,No
43,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.27145827562445796,No
15,x,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.24313973569426517,No
48,x,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",0.22157711964127738,No
36,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",0.22051002026529176,No
16,u,"[1.5707963267948966, -3.141592653589793, -3.141592653589793]","(Qubit(QuantumRegister(5, 'q'), 3),)",0.20057944225561725,No
31,x,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.11280777846867612,No
