Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Delete,25,rx,,,,0.0,23,1768590249.9140086,6.366111755371094,34,1.758522092812588,1.758522092812588,100.0
Delete,0,ry,,,,1.758522092812588,2,1768590249.5461776,6.366111755371094,34,1.758522092812588,0.0,0.0
Delete,5,ry,,,,1.8143001169250341,8,1768590249.636994,6.366111755371094,34,1.758522092812588,-0.055778024112446145,-3.171869397627784
Delete,26,cx,,,,2.653353409976368,25,1768590249.92412,6.366111755371094,34,1.758522092812588,-0.8948313171637801,-50.88541797803534
Delete,19,ry,,,,2.7897706795902657,19,1768590249.8523564,6.366111755371094,34,1.758522092812588,-1.0312485867776777,-58.642913330039214
Delete,12,cx,,,,2.822873951311045,18,1768590249.8421326,6.366111755371094,34,1.758522092812588,-1.064351858498457,-60.52536177103855
Delete,31,ry,,,,2.9113183118966828,28,1768590250.0016937,6.366111755371094,34,1.758522092812588,-1.1527962190840948,-65.55483287902896
Delete,29,ry,,,,3.0667584243587847,31,1768590250.029695,6.366111755371094,34,1.758522092812588,-1.3082363315461967,-74.39407994322083
Delete,11,cx,,,,3.114508840609855,5,1768590249.6065142,6.366111755371094,34,1.758522092812588,-1.355986747797267,-77.10945192781148
Delete,7,cx,,,,3.1543183909492303,6,1768590249.6237853,6.366111755371094,34,1.758522092812588,-1.3957962981366423,-79.37325916128808
Delete,10,cx,,,,3.3420971440360363,11,1768590249.6565056,6.366111755371094,34,1.758522092812588,-1.5835750512234483,-90.0514732055866
Delete,30,ry,,,,3.822579104383768,32,1768590250.0476944,6.366111755371094,34,1.758522092812588,-2.06405701157118,-117.37452830461277
Delete,4,ry,,,,3.8399549957188706,12,1768590249.6616013,6.366111755371094,34,1.758522092812588,-2.0814329029062826,-118.36262458194253
Delete,15,ry,,,,3.8692696936950903,13,1768590249.752055,6.366111755371094,34,1.758522092812588,-2.1107476008825024,-120.02963224116014
Delete,14,ry,,,,3.869733657593896,27,1768590249.952509,6.366111755371094,34,1.758522092812588,-2.111211564781308,-120.05601598127362
Delete,28,ry,,,,4.0235870953225765,30,1768590250.0196936,6.366111755371094,34,1.758522092812588,-2.2650650025099885,-128.80503530593884
Delete,24,cx,,,,4.040140070166534,24,1768590249.9190092,6.366111755371094,34,1.758522092812588,-2.281617977353946,-129.74633566898873
Delete,33,ry,,,,4.091847903982959,33,1768590250.0586963,6.366111755371094,34,1.758522092812588,-2.333325811170371,-132.68674989680906
Delete,21,cx,,,,4.1363107145961475,21,1768590249.90075,6.366111755371094,34,1.758522092812588,-2.3777886217835595,-135.21516911854738
Delete,1,ry,,,,4.229509898472316,3,1768590249.5564418,6.366111755371094,34,1.758522092812588,-2.4709878056597283,-140.51502769053187
Delete,6,ry,,,,4.310078343763064,10,1768590249.6514168,6.366111755371094,34,1.758522092812588,-2.551556250950476,-145.0966275248499
Delete,9,cx,,,,4.353779845705082,9,1768590249.6472573,6.366111755371094,34,1.758522092812588,-2.5952577528924943,-147.58175421848853
Delete,27,ry,,,,4.482767316834931,29,1768590250.0166929,6.366111755371094,34,1.758522092812588,-2.7242452240223427,-154.91674714562004
Delete,32,ry,,,,4.559194032514296,34,1768590250.0617328,6.366111755371094,34,1.758522092812588,-2.800671939701708,-159.26282366019643
Delete,18,ry,,,,4.687692469350452,15,1768590249.7934053,6.366111755371094,34,1.758522092812588,-2.929170376537864,-166.57000719581157
Delete,17,ry,,,,4.699523546467494,17,1768590249.8321314,6.366111755371094,34,1.758522092812588,-2.9410014536549056,-167.24279243777113
Delete,16,ry,,,,4.728274202697326,14,1768590249.784184,6.366111755371094,34,1.758522092812588,-2.9697521098847384,-168.87772533667197
Delete,20,cx,,,,4.765783867769773,20,1768590249.8829224,6.366111755371094,34,1.758522092812588,-3.0072617749571853,-171.01074744800945
Delete,23,cx,,,,4.920942218381467,26,1768590249.9444203,6.366111755371094,34,1.758522092812588,-3.162420125568879,-179.83397186161537
Delete,2,ry,,,,4.986193252440903,1,1768590249.5329287,6.366111755371094,34,1.758522092812588,-3.227671159628315,-183.5445328108425
Delete,3,ry,,,,5.1524890941033155,4,1768590249.56059,6.366111755371094,34,1.758522092812588,-3.3939670012907275,-193.00110104743703
Delete,22,cx,,,,5.25377058010997,22,1768590249.9079354,6.366111755371094,34,1.758522092812588,-3.495248487297382,-198.7605672731166
Delete,8,cx,,,,5.352182608352074,7,1768590249.632993,6.366111755371094,34,1.758522092812588,-3.5936605155394856,-204.35685910500956
Delete,13,ry,,,,5.614096660456321,16,1768590249.828131,6.366111755371094,34,1.758522092812588,-3.8555745676437327,-219.25084611687248
