Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,0,ry,ry,[2.99353452],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.0,93074,1768596323.114552,2810.067074537277,93247,4.579481373416673,4.579481373416673,100.0
Add,8,cx,ry,[2.99437586],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.02220515213380062,57164,1768595326.9482737,2810.067074537277,93247,4.579481373416673,4.557276221282873,99.51511644391222
Add,9,cx,ry,[2.99437586],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.02220515213380062,4294,1768593667.3636494,2810.067074537277,93247,4.579481373416673,4.557276221282873,99.51511644391222
Add,6,cx,ry,[2.99437586],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.02220515213380062,46930,1768595036.6688316,2810.067074537277,93247,4.579481373416673,4.557276221282873,99.51511644391222
Add,0,ry,ry,[2.99437586],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.02220515213380062,89938,1768596239.81761,2810.067074537277,93247,4.579481373416673,4.557276221282873,99.51511644391222
Add,8,cx,r,[2.93141254 0.70717093],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.39517308930924167,7145,1768593759.721287,2810.067074537277,93247,4.579481373416673,4.1843082841074315,91.37078946093824
Add,6,cx,r,[2.97853044 0.51318261],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.5971752491184615,54508,1768595249.237094,2810.067074537277,93247,4.579481373416673,3.9823061242982116,86.95976246164052
Add,1,ry,rzx,[-3.11024265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7698213274195697,62678,1768595483.1418405,2810.067074537277,93247,4.579481373416673,3.8096600459971035,83.18977052973099
Add,7,cx,r,[-3.11024265 -3.14159265],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7705723468800524,376,1768593542.6853392,2810.067074537277,93247,4.579481373416673,3.808909026536621,83.17337086786442
Add,5,ry,rx,[3.11024265],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7705723468800524,46501,1768595024.581124,2810.067074537277,93247,4.579481373416673,3.808909026536621,83.17337086786442
Add,8,cx,rx,[3.10974416],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7705991811753912,3938,1768593656.2590601,2810.067074537277,93247,4.579481373416673,3.808882192241282,83.17278489986607
Add,1,ry,rzx,[3.10923578],"(Qubit(QuantumRegister(7, 'q'), 1), Qubit(QuantumRegister(7, 'q'), 2))",0.7706106390465337,89265,1768596218.9387543,2810.067074537277,93247,4.579481373416673,3.8088707343701396,83.17253469967508
Add,5,ry,rzx,[3.11034265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7722531262705437,24928,1768594324.169461,2810.067074537277,93247,4.579481373416673,3.8072282471461296,83.13666847181914
Replace,0,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,14404,1768593989.2116432,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,0,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,14280,1768593986.7338765,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,6,cx,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,31408,1768594533.6532295,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,5,ry,r,[-3.14159265  3.14159265],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,49231,1768595100.7838912,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Replace,0,ry,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 1), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,86362,1768596140.18218,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,4,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,39655,1768594799.4043984,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,5,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,88064,1768596187.6515353,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Replace,0,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,17461,1768594086.3506982,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,7,cx,rzx,[-3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,37905,1768594747.0769792,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,5,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,42695,1768594899.517585,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Replace,0,ry,rzx,[-3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,60013,1768595407.6712255,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,0,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,11350,1768593892.8490584,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,3,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,30177,1768594497.4796724,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,0,ry,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,57391,1768595331.805329,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,1,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,20606,1768594188.2243214,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,3,ry,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,11993,1768593910.668697,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,1,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,17537,1768594089.2780216,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,8,cx,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,44469,1768594959.2784817,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,4,ry,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,18391,1768594113.2918692,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,9,cx,rzx,[-3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,67845,1768595628.7545974,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,2,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,23697,1768594289.7003977,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,6,cx,rx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,52004,1768595179.452161,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,2,ry,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,5812,1768593713.8630614,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,3,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,33314,1768594600.1528199,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,9,cx,r,[-3.14159265  3.14159265],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,13788,1768593971.8776042,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,2,ry,x,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,26861,1768594390.481839,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,0,ry,rzx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 1), Qubit(QuantumRegister(7, 'q'), 2))",0.7788698511093459,83880,1768596073.17319,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,4,ry,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,36609,1768594704.8972187,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,6,cx,y,[],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,91169,1768596269.5222101,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
Add,9,cx,rx,[3.14159265],"(Qubit(QuantumRegister(7, 'q'), 2),)",0.7788698511093459,10560,1768593868.8833926,2810.067074537277,93247,4.579481373416673,3.800611522307327,82.99218213593815
