Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,1,ry,ry,[-0.95523195],"(Qubit(QuantumRegister(10, 'q'), 1),)",0.0,15249,1768629460.7259185,848.9900760650635,15550,3.5828059359800055,3.5828059359800055,100.0
Add,0,ry,ry,[-0.95434784],"(Qubit(QuantumRegister(10, 'q'), 1),)",0.015736233993087555,7201,1768629018.0427058,848.9900760650635,15550,3.5828059359800055,3.567069701986918,99.56078463990869
Add,2,ry,cry,[-0.9716117],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 1))",2.799731713284125,4557,1768628886.054798,848.9900760650635,15550,3.5828059359800055,0.7830742226958805,21.856450968553116
Add,3,ry,cry,[-1.02042889],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 1))",2.806985996935118,13365,1768629356.7865536,848.9900760650635,15550,3.5828059359800055,0.7758199390448874,21.65397604301661
Replace,0,ry,ry,[-0.95869809],"(Qubit(QuantumRegister(10, 'q'), 1),)",3.007367552806635,11250,1768629239.2785227,848.9900760650635,15550,3.5828059359800055,0.5754383831733705,16.06110946156984
Add,0,ry,rx,[0.95367366],"(Qubit(QuantumRegister(10, 'q'), 1),)",3.202938142715363,14700,1768629438.1178315,848.9900760650635,15550,3.5828059359800055,0.3798677932646424,10.602522158676091
Add,35,cx,t,[],"(Qubit(QuantumRegister(10, 'q'), 2),)",3.2773032039769374,8012,1768629063.898904,848.9900760650635,15550,3.5828059359800055,0.3055027320030681,8.526912633896368
Add,35,cx,tdg,[],"(Qubit(QuantumRegister(10, 'q'), 2),)",3.2773032039769374,3788,1768628836.8114305,848.9900760650635,15550,3.5828059359800055,0.3055027320030681,8.526912633896368
Add,8,x,rzx,[-0.93669817],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 1))",3.2989200991361063,14094,1768629403.449956,848.9900760650635,15550,3.5828059359800055,0.28388583684389923,7.9235616418126735
Add,7,ry,rzx,[0.93646438],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 1))",3.299047000129501,9713,1768629163.554248,848.9900760650635,15550,3.5828059359800055,0.2837589358505044,7.920019697435489
Add,6,ry,rzx,[-0.93839067],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 1))",3.300142297711528,5382,1768628931.8372345,848.9900760650635,15550,3.5828059359800055,0.2826636382684775,7.889448753834345
Add,9,cz,rzx,[0.94556393],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 1))",3.3013295800228626,7118,1768629015.0480554,848.9900760650635,15550,3.5828059359800055,0.28147635595714293,7.85631041666092
