Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,14,rzz,rz,[1.57002958],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.118129357266155,90424,1768635363.5549264,7209.583340644836,187470,4.485234998193734,2.367105640927579,52.7755099093101
Add,14,rzz,p,[1.5671303],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.119186357363851,119260,1768636382.1970088,7209.583340644836,187470,4.485234998193734,2.366048640829883,52.75194369487269
Add,8,ry,p,[1.56772245],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1200552906257775,77507,1768634870.001984,7209.583340644836,187470,4.485234998193734,2.3651797075679566,52.73257050122117
Replace,6,ry,rx,[1.20952035],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1206017996001494,67378,1768634474.9105036,7209.583340644836,187470,4.485234998193734,2.3646331985935847,52.7203858782395
Add,8,ry,rz,[1.56949416],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.12063296146349,65617,1768634402.9591486,7209.583340644836,187470,4.485234998193734,2.3646020367302443,52.71969111278455
Add,14,rzz,s,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1207562061296272,84094,1768635116.6570733,7209.583340644836,187470,4.485234998193734,2.364478792064107,52.71694332663317
Add,11,ry,s,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1207562061296272,71659,1768634647.7308288,7209.583340644836,187470,4.485234998193734,2.364478792064107,52.71694332663317
Add,8,ry,s,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1207562061296272,59032,1768634134.7513468,7209.583340644836,187470,4.485234998193734,2.364478792064107,52.71694332663317
Add,11,ry,rz,[1.55554217],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.127995443713459,77998,1768634889.3843575,7209.583340644836,187470,4.485234998193734,2.357239554480275,52.55554180393152
Add,8,ry,r,[2.14949682 0.77346197],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1365171508849015,75421,1768634789.5672734,7209.583340644836,187470,4.485234998193734,2.3487178473088326,52.365547139775146
Add,0,ry,r,[1.426303   0.33306245],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1499140998126287,19942,1768632234.8735528,7209.583340644836,187470,4.485234998193734,2.3353208983811053,52.066857128368326
Replace,6,ry,r,[1.20929106 0.01421413],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.1679978139784,69356,1768634555.0406277,7209.583340644836,187470,4.485234998193734,2.317237184215334,51.663673924521625
Add,6,ry,r,[1.38753157 0.3204911 ],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.2761237035076003,67179,1768634467.0043812,7209.583340644836,187470,4.485234998193734,2.2091112946861338,49.25296657980626
Add,14,rzz,r,[2.12624677 0.74810232],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.2934962081532375,117976,1768636340.8290286,7209.583340644836,187470,4.485234998193734,2.1917387900404965,48.86564005950948
Add,4,ry,r,[1.54811357 0.38184242],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.3351316782885787,58512,1768634110.7854097,7209.583340644836,187470,4.485234998193734,2.1501033199051554,47.937361604710375
Add,1,ry,r,[1.60136894 0.40734457],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.451918002584612,105544,1768635902.862293,7209.583340644836,187470,4.485234998193734,2.033316995609122,45.3335666119605
Add,6,ry,rx,[1.18206613],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.9797005785757644,65167,1768634384.968738,7209.583340644836,187470,4.485234998193734,1.5055344196179696,33.56645572025254
Add,1,ry,rx,[1.27366419],"(Qubit(QuantumRegister(10, 'q'), 6),)",2.9826296985552716,24256,1768632467.2108166,7209.583340644836,187470,4.485234998193734,1.5026052996384625,33.50114988943907
Add,16,cz,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.0157880888382143,86310,1768635200.4806073,7209.583340644836,187470,4.485234998193734,1.4694469093555198,32.76187111594568
Add,3,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.057652701864806,1257,1768631229.571069,7209.583340644836,187470,4.485234998193734,1.4275822963289282,31.82848383426588
Add,5,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.057652701864806,17485,1768632108.2119763,7209.583340644836,187470,4.485234998193734,1.4275822963289282,31.82848383426588
Replace,6,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.057652701864806,105851,1768635913.0546386,7209.583340644836,187470,4.485234998193734,1.4275822963289282,31.82848383426588
Add,4,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.057652701864806,9291,1768631668.1986008,7209.583340644836,187470,4.485234998193734,1.4275822963289282,31.82848383426588
Add,6,ry,sx,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.057652701864806,25679,1768632556.1772814,7209.583340644836,187470,4.485234998193734,1.4275822963289282,31.82848383426588
Add,11,ry,t,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.3237330709205253,63802,1768634331.13947,7209.583340644836,187470,4.485234998193734,1.1615019272732088,25.89612200343932
Add,14,rzz,t,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.3237330709205253,76094,1768634818.25379,7209.583340644836,187470,4.485234998193734,1.1615019272732088,25.89612200343932
Add,8,ry,t,[],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.3237330709205253,109041,1768636026.4161153,7209.583340644836,187470,4.485234998193734,1.1615019272732088,25.89612200343932
Add,11,ry,r,[ 3.14159265 -2.17202716],"(Qubit(QuantumRegister(10, 'q'), 6),)",3.6333570974388287,87874,1768635260.5162742,7209.583340644836,187470,4.485234998193734,0.8518779007549053,18.992937964186233
Add,0,ry,crx,[1.21728336],"(Qubit(QuantumRegister(10, 'q'), 1), Qubit(QuantumRegister(10, 'q'), 6))",3.648024856874468,119190,1768636379.5844517,7209.583340644836,187470,4.485234998193734,0.8372101413192659,18.665914754888473
Replace,6,ry,crx,[1.12151424],"(Qubit(QuantumRegister(10, 'q'), 1), Qubit(QuantumRegister(10, 'q'), 6))",3.71201912075634,128747,1768636706.8113935,7209.583340644836,187470,4.485234998193734,0.7732158774373938,17.23913859025845
Add,0,ry,csx,[],"(Qubit(QuantumRegister(10, 'q'), 1), Qubit(QuantumRegister(10, 'q'), 6))",3.7195866568669738,116860,1768636299.5301976,7209.583340644836,187470,4.485234998193734,0.7656483413267603,17.070417528515172
Add,1,ry,csx,[],"(Qubit(QuantumRegister(10, 'q'), 1), Qubit(QuantumRegister(10, 'q'), 6))",3.7195866568669738,118731,1768636364.9754782,7209.583340644836,187470,4.485234998193734,0.7656483413267603,17.070417528515172
Add,11,ry,crz,[1.48382532],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 6))",3.7708683582339337,93568,1768635483.1495416,7209.583340644836,187470,4.485234998193734,0.7143666399598003,15.927072723000816
Add,8,ry,crz,[1.48381632],"(Qubit(QuantumRegister(10, 'q'), 0), Qubit(QuantumRegister(10, 'q'), 6))",3.7708683582339337,80835,1768634994.2622411,7209.583340644836,187470,4.485234998193734,0.7143666399598003,15.927072723000816
