,origin_qc,filename,mutation_pos,mutation_operation,Score,Fix_operation,Fixed_gate,New_gate,Fix_pos,Mutation_sus_pos,Exec_time,Overall_improvement_percent
0,ae_3,best_solutions_for_ae_3_Mutant_Remove_h_P10_Q1.csv,10,Remove,0.0,Add,cp,h,10,0.0,211.27733659744263,100.0
1,ae_3,best_solutions_for_ae_3_Mutant_Replace_t_P10_Q1_[].csv,10,Replace,0.0,Replace,t,h,10,0.0,136.26431512832642,100.0
2,ae_3,best_solutions_for_Mutant_ae_3_QGI_45_P7.csv,7,QGI,0.0,Delete,u,,2,11.11111111111111,6.393281698226929,100.0
3,dj_11,best_solutions_for_dj_11_Mutant_Remove_u_P30_Q9.csv,30,Remove,0.0,Add,,h,37,4.651162790697675,5793.069563150406,100.0
4,dj_11,best_solutions_for_Mutant_dj_11_QGI_58_P8.csv,8,QGI,0.0,Delete,y,,8,0.0,6.579843282699585,100.0
5,dj_11,best_solutions_for_Mutant_dj_11_QGR_404_P29.csv,29,QGR,1.0,Delete,cx,,11,37.2093023255814,7208.986359596252,0.0
6,ghz_13,best_solutions_for_ghz_13_Mutant_Add_rx_P5_Q8_[2.356194490192345].csv,5,Add,0.0,Delete,rx,,5,0.0,6.197105884552002,100.0
7,ghz_13,best_solutions_for_ghz_13_Mutant_Remove_cx_P8_Q5.csv,8,Remove,3.927652199450908,Replace,h,rzx,0,88.88888888888889,7221.38228726387,47.835243257011214
8,ghz_13,best_solutions_for_ghz_13_Mutant_Replace_cp_P1_Q12_[4.71238898038469].csv,1,Replace,3.9301243394984127,Replace,h,cy,0,37.03703703703704,7213.587164878845,32.63779302659289
9,graphstate_12,best_solutions_for_graphstate_12_Mutant_Remove_cz_P22_Q4.csv,22,Remove,3.883773352803856,Replace,cz,ryy,22,0.0,7208.831974983215,24.793474769416104
10,graphstate_12,best_solutions_for_graphstate_12_Mutant_Replace_cx_P23_Q10_[].csv,23,Replace,4.13000026942193,Add,cx,r,23,59.45945945945946,7209.886941432953,6.911632383813818
11,graphstate_12,best_solutions_for_Mutant_graphstate_12_QGI_73_P5.csv,5,QGI,0.0,Delete,y,,5,0.0,6.618479013442993,100.0
12,grover_4,best_solutions_for_grover_4_Mutant_Remove_p_P19_Q2.csv,19,Remove,0.0,Add,cx,z,7,42.857142857142854,50.81792712211609,100.0
13,grover_4,best_solutions_for_Mutant_grover_4_QGI_367_P32.csv,32,QGI,0.0,Delete,ry,,32,0.0,6.817853927612305,100.0
14,grover_4,best_solutions_for_Mutant_grover_4_QGR_833_P39.csv,39,QGR,0.0,Add,cx,rxx,36,83.6734693877551,164.2074637413025,100.0
15,qaoa_6,best_solutions_for_qaoa_6_Mutant_Add_swap_P9_Q2_[].csv,9,Add,0.0,Delete,swap,,9,0.0,6.209643840789795,100.0
16,qaoa_6,best_solutions_for_qaoa_6_Mutant_Remove_rx_P12_Q4.csv,12,Remove,0.0221619852910224,Add,h,r,12,78.37837837837837,4919.507306337357,99.41553919508952
17,qaoa_6,best_solutions_for_qaoa_6_Mutant_Replace_t_P20_Q3_[].csv,20,Replace,0.03125,Replace,t,rx,20,2.7027027027027026,5163.893562316895,99.24788749503288
18,qft_9,best_solutions_for_Mutant_qft_9_QGR_708_P12.csv,12,QGR,0.6388377015794744,Replace,r,rz,12,0.0,7211.683208703995,83.61340122649548
19,qft_9,best_solutions_for_qft_9_Mutant_Add_swap_P11_Q7_[].csv,11,Add,0.0,Delete,swap,,11,0.0,6.542582988739014,100.0
20,qft_9,best_solutions_for_qft_9_Mutant_Remove_cp_P23_Q6.csv,23,Remove,0.0,Add,cp,crz,11,32.20338983050847,6313.353427171707,100.0
21,qnn_2,best_solutions_for_Mutant_qnn_2_QGR_208_P7.csv,7,QGR,0.0,Replace,iswap,cx,7,5.555555555555555,18.2219340801239,100.0
22,qnn_2,best_solutions_for_qnn_2_Mutant_Add_rx_P9_Q0_[5.497787143782138].csv,9,Add,0.0,Delete,rx,,9,0.0,6.467602014541626,100.0
23,qnn_2,best_solutions_for_qnn_2_Mutant_Remove_ry_P11_Q1.csv,11,Remove,0.0,Add,u,rx,0,72.22222222222221,62.09422993659973,100.0
24,qpe_8,best_solutions_for_Mutant_qpe_8_QGI_296_P24.csv,24,QGI,0.0,Delete,x,,24,0.0,6.816454887390137,100.0
25,qpe_8,best_solutions_for_Mutant_qpe_8_QGR_841_P30.csv,30,QGR,1.875716406260597,Replace,rxx,p,30,58.18181818181818,7210.961848258972,33.707265644323044
26,qpe_8,best_solutions_for_qpe_8_Mutant_Remove_h_P6_Q6.csv,6,Remove,0.0,Add,h,ry,0,94.54545454545455,135.6987006664276,100.0
27,qwalk_5,best_solutions_for_Mutant_qwalk_5_QGI_339_P40.csv,40,QGI,0.0,Delete,sdg,,40,0.0,7.406414747238159,100.0
28,qwalk_5,best_solutions_for_qwalk_5_Mutant_Remove_x_P13_Q1.csv,13,Remove,0.0,Add,u,x,15,70.9090909090909,212.05432319641116,100.0
29,qwalk_5,best_solutions_for_qwalk_5_Mutant_Replace_t_P5_Q1_[].csv,5,Replace,0.0,Add,rccx,r,9,20.0,431.6940722465515,100.0
30,vqe_7,best_solutions_for_Mutant_vqe_7_QGI_347_P25.csv,25,QGI,0.0,Delete,rx,,25,0.0,6.366111755371094,100.0
31,vqe_7,best_solutions_for_Mutant_vqe_7_QGR_752_P24.csv,24,QGR,0.0,Replace,rx,cx,24,0.0,2574.9600927829742,100.0
32,vqe_7,best_solutions_for_vqe_7_Mutant_Remove_ry_P2_Q2.csv,2,Remove,0.0,Replace,ry,ry,0,41.46341463414634,2810.067074537277,100.0
33,wstate_10,best_solutions_for_wstate_10_Mutant_Add_rxx_P20_Q4_[1.5707963267948966].csv,20,Add,0.0,Delete,rxx,,20,0.0,6.611835479736328,100.0
34,wstate_10,best_solutions_for_wstate_10_Mutant_Remove_ry_P1_Q1.csv,1,Remove,0.0,Add,ry,ry,1,0.0,848.9900760650635,100.0
35,wstate_10,best_solutions_for_wstate_10_Mutant_Replace_rzz_P14_Q7_[4.71238898038469].csv,14,Replace,2.118129357266155,Add,rzz,rz,14,25.0,7209.583340644836,52.7755099093101
36,bugs4q-id25,best_solutions_for_Bug4Q_id25.csv,3,SQ,7.637732,Replace,ccx,r,2,50.0,431.749625,3.58987
37,bugs4q-id26,best_solutions_for_Bug4Q_id26.csv,2,Replace,0.0,Replace,h,rx,1,0.0,17.291166,100.0
38,bugs4q-id27,best_solutions_for_Bug4Q_id27.csv,8,Reverse,0.0,Add,t,swap,7,76.470588,82.627925,100.0
39,bugs4q-id39,best_solutions_for_Bug4Q_id39.csv,0,Delete,23.646314,Add,cx,h,0,90.0,2437.438162,10.620157
