Position,Gate,Params,Qubits,Suspiciousness,KickedOut
10,t,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",4.566008483420143,No
2,u,"[0.9272952180016122, 0.0, 0.0]","(Qubit(QuantumRegister(3, 'q'), 2),)",4.460053683529489,No
6,u,"[0.9272952180016122, 0.0, 0.0]","(Qubit(QuantumRegister(3, 'q'), 2),)",4.458754847560064,No
11,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",3.6646236622964654,No
0,u,"[1.5707963267948966, 0.0, -3.141592653589793]","(Qubit(QuantumRegister(3, 'q'), 0),)",3.419229017883022,No
1,u,"[1.5707963267948966, 0.0, -3.141592653589793]","(Qubit(QuantumRegister(3, 'q'), 1),)",3.419229017883022,No
9,cx,[],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",3.419229017883022,No
16,,[],"(Qubit(QuantumRegister(3, 'q'), 2),)",3.419229017883022,No
7,cx,[],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",3.419229017883022,No
3,cx,[],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",3.419229017883022,No
4,u,"[-0.9272952180016122, 0.0, 0.0]","(Qubit(QuantumRegister(3, 'q'), 2),)",3.3887808181696624,No
13,u,"[1.8545904360032244, 0.0, 0.0]","(Qubit(QuantumRegister(3, 'q'), 2),)",2.4304975764592074,No
8,u,"[-1.8545904360032244, 0.0, 0.0]","(Qubit(QuantumRegister(3, 'q'), 2),)",2.1905289641486227,No
5,cx,[],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",1.968517747908244,No
12,h,[],"(Qubit(QuantumRegister(3, 'q'), 0),)",1.9363350492375666,No
15,,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",1.9363350492375666,No
14,,[],"(Qubit(QuantumRegister(3, 'q'), 0),)",0.0,No
