Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,2,u,sdg,[],"(Qubit(QuantumRegister(3, 'q'), 2),)",0.0,7,1769867698.8303187,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,ryy,[-0.11466986669075485],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",0.0,151237,1769874354.134415,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,crx,[0.0727173497861564],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",0.0,95839,1769872123.439626,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,7,u,ryy,[0.12065586401125206],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 0))",0.0,131109,1769873572.888745,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,6,u,ryy,[-0.11339162974084616],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",0.0,99847,1769872295.4451866,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,6,u,crz,[0.1806643740358873],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 0))",0.0,130020,1769873506.8335876,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,6,u,rzz,[0.008570817497739025],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",0.0,143840,1769874104.6488447,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,rzz,[-0.06637275255957142],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 0))",0.0,117960,1769873072.6862242,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Add,0,u,ry,[-0.9071737191460949],"(Qubit(QuantumRegister(3, 'q'), 2),)",0.0,221,1769867824.7003443,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,ry,[6.267228989953466e-05],"(Qubit(QuantumRegister(3, 'q'), 1),)",0.0,52286,1769870264.5576532,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,r,"[-2.528760920581887, -3.1053948695686677]","(Qubit(QuantumRegister(3, 'q'), 0),)",0.0,116956,1769873009.5257623,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,cx,[],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 0))",0.0,11,1769867699.249551,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,rzz,[-0.11212681489462017],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",0.0,158998,1769874796.1311076,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,7,u,cp,[-0.07348550085085659],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",0.0,108882,1769872696.345475,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,cry,[-0.11189821760855612],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",0.0,72410,1769871050.744732,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,6,u,rzx,[-0.013510154850050693],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",0.0,41503,1769869689.9916375,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,7,u,ryy,[0.12148904236996927],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",0.0,43757,1769869817.8519366,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,6,u,rx,[0.09456346607399668],"(Qubit(QuantumRegister(3, 'q'), 2),)",0.0,14246,1769868518.4449167,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Add,16,,r,"[0.9630656297581544, -1.5968713592650028]","(Qubit(QuantumRegister(3, 'q'), 2),)",0.0,80837,1769871547.01073,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,7,u,rzx,[-0.10413005011836685],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",0.0,7222,1769868310.1568801,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,2,u,rzz,[-0.08179998879489725],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",0.0,39469,1769869617.1773257,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Replace,6,u,crx,[0.00011874566287550792],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",0.0,46298,1769870067.5734057,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
Delete,6,u,,[],,0.0,52289,1769870266.4008234,7200.583570241928,163002,3.4159490747992938,3.4159490747992938,100.0
