Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,6,u,r,"[-2.8731398940241175, -1.4560231868433218]","(Qubit(QuantumRegister(3, 'q'), 1),)",5.430811643117553,122012,1769858146.3061788,7201.715127944946,165996,8.62701200229225,3.1962003591746972,37.04875289759011
Add,8,u,ry,[-2.891343937552263],"(Qubit(QuantumRegister(3, 'q'), 2),)",5.4745016766863435,136006,1769858810.7827587,7201.715127944946,165996,8.62701200229225,3.152510325605907,36.542319922219484
Add,9,cx,ry,[-2.878479696560688],"(Qubit(QuantumRegister(3, 'q'), 2),)",5.474504131144732,51014,1769855269.875586,7201.715127944946,165996,8.62701200229225,3.1525078711475185,36.54229147136781
Add,6,u,ry,[2.8728510606849387],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.663472808275222,23024,1769853998.7933664,7201.715127944946,165996,8.62701200229225,2.963539194017028,34.35186126122923
Add,14,,p,[-2.947554463345241],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.8330121898609555,10015,1769853415.5558653,7201.715127944946,165996,8.62701200229225,2.793999812431295,32.386645708721765
Add,9,cx,rxx,[-2.7633816739900796],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",5.895514814205223,103011,1769857235.6066382,7201.715127944946,165996,8.62701200229225,2.731497188087028,31.66214660836512
Add,5,cx,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.971340098695522,22021,1769853990.1159058,7201.715127944946,165996,8.62701200229225,2.655671903596729,30.783217907788934
Add,4,u,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.971340098695522,49016,1769855182.0875914,7201.715127944946,165996,8.62701200229225,2.655671903596729,30.783217907788934
Add,0,u,rxx,[3.120132781230856],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.190421014081931,158993,1769859609.3375163,7201.715127944946,165996,8.62701200229225,2.4365909882103196,28.243741721501053
Replace,2,u,sdg,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.255050265795259,22024,1769853992.0933294,7201.715127944946,165996,8.62701200229225,2.371961736496991,27.494591822368463
