Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,10,t,r,"[-2.6852672541845743, 2.678842992637513]","(Qubit(QuantumRegister(3, 'q'), 1),)",5.690382908467791,140027,1769866846.0746222,7200.59141087532,161042,10.256391391887934,4.566008483420143,44.51866459612224
Replace,2,u,rz,[2.581633712848661],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.796337708358445,121019,1769866081.7815478,7200.59141087532,161042,10.256391391887934,4.460053683529489,43.485603397088276
Replace,6,u,rz,[2.581159166114988],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.797636544327871,20018,1769861711.9895573,7200.59141087532,161042,10.256391391887934,4.458754847560064,43.4729397230942
Replace,6,u,p,[2.5724437665922846],"(Qubit(QuantumRegister(3, 'q'), 1),)",5.799094586811067,124020,1769866157.2633293,7200.59141087532,161042,10.256391391887934,4.457296805076868,43.45872378273579
Add,11,cp,rxx,[3.137702280820271],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",6.591767729591469,52025,1769863072.6443334,7200.59141087532,161042,10.256391391887934,3.6646236622964654,35.73014642552466
Replace,6,u,ryy,[-2.716112797285787],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.7800398672783775,111023,1769865594.190083,7200.59141087532,161042,10.256391391887934,3.476351524609557,33.89448970677055
Add,1,u,x,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,146036,1769867017.8386767,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,3,cx,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,100021,1769865118.0935602,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,10,t,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,78020,1769864303.9585738,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,16,,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,4019,1769861074.3948522,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,9,cx,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,24029,1769861798.751158,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,7,cx,z,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,145030,1769867003.411068,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,0,u,y,[],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.837162374004913,149034,1769867363.400941,7200.59141087532,161042,10.256391391887934,3.419229017883022,33.3375442418021
Add,4,u,rzx,[2.5018521551800577],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.867610573718272,10016,1769861148.478804,7200.59141087532,161042,10.256391391887934,3.3887808181696624,33.04067374856564
Add,6,u,ryy,[2.9120293704518883],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.912912260983396,156039,1769867572.7393286,7200.59141087532,161042,10.256391391887934,3.343479130904538,32.5989814853301
