Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,32,,swap,[],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 2))",2048.0,2,1770150338.5823915,7206.874027729034,21,2048.0,0.0,0.0
Add,38,,cx,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 0))",2048.0,17,1770150623.4061904,7206.874027729034,21,2048.0,0.0,0.0
Add,4,h,cz,[],"(Qubit(QuantumRegister(11, 'q'), 7), Qubit(QuantumRegister(11, 'q'), 1))",2048.0,8,1770150364.0453515,7206.874027729034,21,2048.0,0.0,0.0
Add,7,h,cy,[],"(Qubit(QuantumRegister(11, 'q'), 9), Qubit(QuantumRegister(11, 'q'), 6))",2048.0,21,1770151108.631628,7206.874027729034,21,2048.0,0.0,0.0
Replace,12,cx,cy,[],"(Qubit(QuantumRegister(11, 'q'), 6), Qubit(QuantumRegister(11, 'q'), 2))",2048.0,5,1770150347.988944,7206.874027729034,21,2048.0,0.0,0.0
Add,30,cx,cy,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 5))",2048.0,6,1770150351.9395342,7206.874027729034,21,2048.0,0.0,0.0
Add,22,cx,csx,[],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 7))",2048.0,18,1770150634.609841,7206.874027729034,21,2048.0,0.0,0.0
Add,30,cx,ch,[],"(Qubit(QuantumRegister(11, 'q'), 5), Qubit(QuantumRegister(11, 'q'), 4))",2638.576706605171,20,1770150916.8684855,7206.874027729034,21,2048.0,-590.5767066051708,-28.836753252205604
Add,14,cx,csx,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 9))",2688.005026057521,10,1770150370.7828975,7206.874027729034,21,2048.0,-640.0050260575208,-31.250245412964883
Add,9,u,cx,[],"(Qubit(QuantumRegister(11, 'q'), 7), Qubit(QuantumRegister(11, 'q'), 8))",2729.0284223268873,12,1770150583.9877558,7206.874027729034,21,2048.0,-681.0284223268873,-33.25334093393004
Add,42,,cy,[],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 10))",3072.0,16,1770150614.6631687,7206.874027729034,21,2048.0,-1024.0,-50.0
Add,27,h,csx,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 2))",3158.6461141241175,9,1770150369.7311614,7206.874027729034,21,2048.0,-1110.6461141241175,-54.23076729121667
Replace,0,u,cz,[],"(Qubit(QuantumRegister(11, 'q'), 6), Qubit(QuantumRegister(11, 'q'), 1))",3180.4722602696365,7,1770150353.102989,7206.874027729034,21,2048.0,-1132.4722602696365,-55.29649708347834
Replace,19,u,t,[],"(Qubit(QuantumRegister(11, 'q'), 1),)",3220.607538239904,1,1770150337.400472,7206.874027729034,21,2048.0,-1172.607538239904,-57.25622745312031
Replace,3,u,cy,[],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 4))",3220.6075382399067,4,1770150341.78507,7206.874027729034,21,2048.0,-1172.6075382399067,-57.256227453120445
Replace,4,h,swap,[],"(Qubit(QuantumRegister(11, 'q'), 4), Qubit(QuantumRegister(11, 'q'), 5))",3229.1534132103193,14,1770150594.0632594,7206.874027729034,21,2048.0,-1181.1534132103193,-57.67350650441012
Replace,21,h,cy,[],"(Qubit(QuantumRegister(11, 'q'), 6), Qubit(QuantumRegister(11, 'q'), 5))",3229.1534132103197,19,1770150845.3078046,7206.874027729034,21,2048.0,-1181.1534132103197,-57.67350650441014
Replace,10,u,cy,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 2))",3230.991351797892,3,1770150340.5945687,7206.874027729034,21,2048.0,-1182.991351797892,-57.76324959950645
Replace,10,u,sx,[],"(Qubit(QuantumRegister(11, 'q'), 0),)",3230.991351797892,11,1770150576.0109603,7206.874027729034,21,2048.0,-1182.991351797892,-57.76324959950645
Replace,10,u,swap,[],"(Qubit(QuantumRegister(11, 'q'), 3), Qubit(QuantumRegister(11, 'q'), 6))",3230.991351797892,15,1770150606.1427274,7206.874027729034,21,2048.0,-1182.991351797892,-57.76324959950645
Add,20,cx,s,[],"(Qubit(QuantumRegister(11, 'q'), 5),)",3326.615382060533,13,1770150585.1108718,7206.874027729034,21,2048.0,-1278.6153820605332,-62.43239170217447
