Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,38,,cy,[],"(Qubit(QuantumRegister(11, 'q'), 9), Qubit(QuantumRegister(11, 'q'), 2))",2291.43428639871,3,1770139941.373044,7207.83792757988,15,2291.43428639871,0.0,0.0
Add,17,cx,sx,[],"(Qubit(QuantumRegister(11, 'q'), 7),)",2291.43428639871,4,1770139943.5118115,7207.83792757988,15,2291.43428639871,0.0,0.0
Add,32,,cy,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 10))",2723.93861049968,9,1770139953.5708532,7207.83792757988,15,2291.43428639871,-432.5043241009703,-18.874829911911096
Add,20,h,swap,[],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 9))",2738.049190603878,5,1770139946.8330648,7207.83792757988,15,2291.43428639871,-446.61490420516793,-19.490626759673827
Add,39,,swap,[],"(Qubit(QuantumRegister(11, 'q'), 6), Qubit(QuantumRegister(11, 'q'), 3))",2761.2128190982744,6,1770139949.2463155,7207.83792757988,15,2291.43428639871,-469.7785326995645,-20.50150578124949
Add,27,cx,swap,[],"(Qubit(QuantumRegister(11, 'q'), 6), Qubit(QuantumRegister(11, 'q'), 1))",2761.2128190982744,7,1770139950.4626374,7207.83792757988,15,2291.43428639871,-469.7785326995645,-20.50150578124949
Add,23,cx,csx,[],"(Qubit(QuantumRegister(11, 'q'), 8), Qubit(QuantumRegister(11, 'q'), 9))",3101.3348845032633,10,1770139972.8994405,7207.83792757988,15,2291.43428639871,-809.9005981045534,-35.34470104213281
Add,38,,z,[],"(Qubit(QuantumRegister(11, 'q'), 10),)",3156.4429346006364,12,1770140197.4309952,7207.83792757988,15,2291.43428639871,-865.0086482019265,-37.74965982382158
Replace,24,u,cy,[],"(Qubit(QuantumRegister(11, 'q'), 5), Qubit(QuantumRegister(11, 'q'), 3))",3229.2912925656465,8,1770139951.5871086,7207.83792757988,15,2291.43428639871,-937.8570061669366,-40.92881963640782
Add,2,h,swap,[],"(Qubit(QuantumRegister(11, 'q'), 0), Qubit(QuantumRegister(11, 'q'), 7))",3311.689410337175,15,1770140447.1753953,7207.83792757988,15,2291.43428639871,-1020.2551239384652,-44.52473850087711
Replace,12,u,csx,[],"(Qubit(QuantumRegister(11, 'q'), 2), Qubit(QuantumRegister(11, 'q'), 10))",3658.0089319526815,13,1770140224.9653816,7207.83792757988,15,2291.43428639871,-1366.5746455539715,-59.6383956400392
Add,22,u,cx,[],"(Qubit(QuantumRegister(11, 'q'), 9), Qubit(QuantumRegister(11, 'q'), 1))",3968.571588559452,2,1770139938.056677,7207.83792757988,15,2291.43428639871,-1677.137302160742,-73.1915949811759
Replace,2,h,cz,[],"(Qubit(QuantumRegister(11, 'q'), 1), Qubit(QuantumRegister(11, 'q'), 0))",4435.215699480291,14,1770140235.7901425,7207.83792757988,15,2291.43428639871,-2143.781413081581,-93.55631212321673
Add,6,u,swap,[],"(Qubit(QuantumRegister(11, 'q'), 10), Qubit(QuantumRegister(11, 'q'), 1))",4496.2572203962645,11,1770140193.027422,7207.83792757988,15,2291.43428639871,-2204.8229339975546,-96.22021225241959
Replace,4,h,cx,[],"(Qubit(QuantumRegister(11, 'q'), 3), Qubit(QuantumRegister(11, 'q'), 7))",4526.803888164688,1,1770139931.134497,7207.83792757988,15,2291.43428639871,-2235.369601765978,-97.55329293248707
