Position,Gate,Params,Qubits,Suspiciousness,KickedOut
35,,[],"(Qubit(QuantumRegister(12, 'q'), 10),)",2169.4868966805407,No
14,cz,[],"(Qubit(QuantumRegister(12, 'q'), 3), Qubit(QuantumRegister(12, 'q'), 7))",2169.4868966805407,No
26,,[],"(Qubit(QuantumRegister(12, 'q'), 1),)",1395.0732802164148,No
24,cz,[],"(Qubit(QuantumRegister(12, 'q'), 10), Qubit(QuantumRegister(12, 'q'), 11))",1084.763807064558,No
23,cz,[],"(Qubit(QuantumRegister(12, 'q'), 4), Qubit(QuantumRegister(12, 'q'), 11))",972.8198519097177,No
16,h,[],"(Qubit(QuantumRegister(12, 'q'), 8),)",621.9860541997477,No
0,h,[],"(Qubit(QuantumRegister(12, 'q'), 0),)",0.0,No
27,,[],"(Qubit(QuantumRegister(12, 'q'), 2),)",0.0,No
22,h,[],"(Qubit(QuantumRegister(12, 'q'), 11),)",0.0,No
25,,[],"(Qubit(QuantumRegister(12, 'q'), 0),)",0.0,No
28,,[],"(Qubit(QuantumRegister(12, 'q'), 3),)",0.0,No
20,h,[],"(Qubit(QuantumRegister(12, 'q'), 10),)",0.0,No
29,,[],"(Qubit(QuantumRegister(12, 'q'), 4),)",0.0,No
30,,[],"(Qubit(QuantumRegister(12, 'q'), 5),)",0.0,No
31,,[],"(Qubit(QuantumRegister(12, 'q'), 6),)",0.0,No
32,,[],"(Qubit(QuantumRegister(12, 'q'), 7),)",0.0,No
33,,[],"(Qubit(QuantumRegister(12, 'q'), 8),)",0.0,No
34,,[],"(Qubit(QuantumRegister(12, 'q'), 9),)",0.0,No
21,cz,[],"(Qubit(QuantumRegister(12, 'q'), 9), Qubit(QuantumRegister(12, 'q'), 10))",0.0,No
36,,[],"(Qubit(QuantumRegister(12, 'q'), 11),)",0.0,No
19,cz,[],"(Qubit(QuantumRegister(12, 'q'), 8), Qubit(QuantumRegister(12, 'q'), 9))",0.0,No
8,h,[],"(Qubit(QuantumRegister(12, 'q'), 5),)",0.0,No
2,cz,[],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 1))",0.0,No
3,h,[],"(Qubit(QuantumRegister(12, 'q'), 2),)",0.0,No
4,h,[],"(Qubit(QuantumRegister(12, 'q'), 3),)",0.0,No
5,y,[],"(Qubit(QuantumRegister(12, 'q'), 3),)",0.0,No
6,cz,[],"(Qubit(QuantumRegister(12, 'q'), 2), Qubit(QuantumRegister(12, 'q'), 3))",0.0,No
7,h,[],"(Qubit(QuantumRegister(12, 'q'), 4),)",0.0,No
9,cz,[],"(Qubit(QuantumRegister(12, 'q'), 2), Qubit(QuantumRegister(12, 'q'), 5))",0.0,No
1,h,[],"(Qubit(QuantumRegister(12, 'q'), 1),)",0.0,No
10,cz,[],"(Qubit(QuantumRegister(12, 'q'), 4), Qubit(QuantumRegister(12, 'q'), 5))",0.0,No
11,h,[],"(Qubit(QuantumRegister(12, 'q'), 6),)",0.0,No
12,cz,[],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 6))",0.0,No
13,h,[],"(Qubit(QuantumRegister(12, 'q'), 7),)",0.0,No
15,cz,[],"(Qubit(QuantumRegister(12, 'q'), 6), Qubit(QuantumRegister(12, 'q'), 7))",0.0,No
17,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 8))",0.0,No
18,h,[],"(Qubit(QuantumRegister(12, 'q'), 9),)",-536.4498277090261,No
