Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,14,cz,t,[],"(Qubit(QuantumRegister(12, 'q'), 9),)",6022.513103319459,4,1770846787.2500288,7208.221944093704,10,8192.0,2169.4868966805407,26.48299434424488
Add,35,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 7), Qubit(QuantumRegister(12, 'q'), 9))",6022.513103319459,6,1770846806.3152058,7208.221944093704,10,8192.0,2169.4868966805407,26.48299434424488
Add,26,,tdg,[],"(Qubit(QuantumRegister(12, 'q'), 3),)",6796.926719783585,2,1770846766.6980262,7208.221944093704,10,8192.0,1395.0732802164148,17.02970312764178
Add,24,cz,cy,[],"(Qubit(QuantumRegister(12, 'q'), 5), Qubit(QuantumRegister(12, 'q'), 4))",7107.236192935442,1,1770846759.4834096,7208.221944093704,10,8192.0,1084.763807064558,13.241745691706031
Add,23,cz,ch,[],"(Qubit(QuantumRegister(12, 'q'), 9), Qubit(QuantumRegister(12, 'q'), 0))",7219.180148090282,5,1770846804.3649578,7208.221944093704,10,8192.0,972.8198519097177,11.875242332882296
Add,16,h,csx,[],"(Qubit(QuantumRegister(12, 'q'), 2), Qubit(QuantumRegister(12, 'q'), 7))",7570.013945800252,7,1770846807.778628,7208.221944093704,10,8192.0,621.9860541997477,7.592603200680514
Replace,36,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 4), Qubit(QuantumRegister(12, 'q'), 11))",8192.0,9,1770847318.585776,7208.221944093704,10,8192.0,0.0,0.0
Add,18,h,h,[],"(Qubit(QuantumRegister(12, 'q'), 6),)",8728.449827709026,8,1770847316.232944,7208.221944093704,10,8192.0,-536.4498277090261,-6.548459810901197
Replace,16,h,t,[],"(Qubit(QuantumRegister(12, 'q'), 5),)",9970.754199339366,3,1770846769.5826135,7208.221944093704,10,8192.0,-1778.754199339366,-21.713308097404372
Replace,18,h,h,[],"(Qubit(QuantumRegister(12, 'q'), 5),)",10096.25826663254,10,1770847860.5779514,7208.221944093704,10,8192.0,-1904.2582666325397,-23.245340168854245
