Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,29,,cx,[],"(Qubit(QuantumRegister(12, 'q'), 4), Qubit(QuantumRegister(12, 'q'), 7))",5928.768085269376,2,1770311312.9359863,7223.447604894638,12,6022.513103319459,93.74501805008367,1.556576406590361
Replace,34,,y,[],"(Qubit(QuantumRegister(12, 'q'), 0),)",6022.513103319459,3,1770311371.9713461,7223.447604894638,12,6022.513103319459,0.0,0.0
Replace,24,,csx,[],"(Qubit(QuantumRegister(12, 'q'), 0), Qubit(QuantumRegister(12, 'q'), 5))",6022.513103319459,4,1770311380.951642,7223.447604894638,12,6022.513103319459,0.0,0.0
Replace,26,,ch,[],"(Qubit(QuantumRegister(12, 'q'), 5), Qubit(QuantumRegister(12, 'q'), 7))",6022.513103319459,5,1770311383.256222,7223.447604894638,12,6022.513103319459,0.0,0.0
Add,5,cz,sx,[],"(Qubit(QuantumRegister(12, 'q'), 2),)",6022.513103319459,6,1770311386.9941015,7223.447604894638,12,6022.513103319459,0.0,0.0
Add,31,,cz,[],"(Qubit(QuantumRegister(12, 'q'), 7), Qubit(QuantumRegister(12, 'q'), 2))",6022.513103319459,9,1770312200.2510052,7223.447604894638,12,6022.513103319459,0.0,0.0
Add,12,h,cz,[],"(Qubit(QuantumRegister(12, 'q'), 7), Qubit(QuantumRegister(12, 'q'), 9))",6022.513103319459,10,1770312460.833121,7223.447604894638,12,6022.513103319459,0.0,0.0
Replace,31,,cx,[],"(Qubit(QuantumRegister(12, 'q'), 10), Qubit(QuantumRegister(12, 'q'), 4))",6022.513103319459,12,1770317499.377528,7223.447604894638,12,6022.513103319459,0.0,0.0
Add,24,,cx,[],"(Qubit(QuantumRegister(12, 'q'), 7), Qubit(QuantumRegister(12, 'q'), 5))",6322.973102857014,11,1770313485.2784367,7223.447604894638,12,6022.513103319459,-300.4599995375547,-4.988947211620821
Replace,16,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 3), Qubit(QuantumRegister(12, 'q'), 2))",6867.660569314152,1,1770311295.6677394,7223.447604894638,12,6022.513103319459,-845.1474659946925,-14.033136192412238
Replace,14,cz,cz,[],"(Qubit(QuantumRegister(12, 'q'), 1), Qubit(QuantumRegister(12, 'q'), 6))",7117.887939237788,8,1770312153.3366878,7223.447604894638,12,6022.513103319459,-1095.3748359183282,-18.188002535263642
Add,21,h,ch,[],"(Qubit(QuantumRegister(12, 'q'), 7), Qubit(QuantumRegister(12, 'q'), 4))",7447.736943961811,7,1770311407.642852,7223.447604894638,12,6022.513103319459,-1425.2238406423521,-23.66493548775849
