Position,Gate,Params,Qubits,Suspiciousness,KickedOut
32,ry,[2.0],"(Qubit(QuantumRegister(4, 'q'), 0),)",17.649437171244497,No
34,cx,[],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 0))",2.1356892938876353,No
6,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 3))",0.41812783736902404,No
35,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 3))",0.3521412852018706,No
15,u,"[1.5707963267948966, 0.0, 0.0]","(Qubit(QuantumRegister(4, 'q'), 1),)",0.2994039582426886,No
10,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 3))",0.27726276583116416,No
43,u,"[1.5707963267948966, -3.141592653589793, -3.141592653589793]","(Qubit(QuantumRegister(4, 'q'), 1),)",0.2302826331032719,No
39,u,"[1.5707963267948966, 0.0, 0.0]","(Qubit(QuantumRegister(4, 'q'), 0),)",0.21967315624206663,No
33,cp,[0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 3))",0.16977624116616497,No
8,cp,[0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 3))",0.1622148757767441,No
16,cx,[],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 0))",0.10552768198506612,No
5,cx,[],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 1))",0.10291734491360671,No
19,p,[-3.141592653589793],"(Qubit(QuantumRegister(4, 'q'), 2),)",0.052564992320885295,No
2,h,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",0.051812199089468436,No
29,cx,[],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 0))",0.024813489848114045,No
28,cp,[0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 3))",0.0,No
0,h,[],"(Qubit(QuantumRegister(4, 'q'), 0),)",0.0,No
37,cx,[],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 0))",0.0,No
1,h,[],"(Qubit(QuantumRegister(4, 'q'), 1),)",0.0,No
44,p,[-3.141592653589793],"(Qubit(QuantumRegister(4, 'q'), 2),)",0.0,No
45,,[],"(Qubit(QuantumRegister(4, 'q'), 0),)",0.0,No
46,,[],"(Qubit(QuantumRegister(4, 'q'), 1),)",0.0,No
47,,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",0.0,No
26,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 3))",0.0,No
48,,[],"(Qubit(QuantumRegister(4, 'q'), 3),)",0.0,No
3,x,[],"(Qubit(QuantumRegister(4, 'q'), 3),)",0.0,No
4,cp,[0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 3))",0.0,No
21,u,"[1.5707963267948966, -3.141592653589793, -3.141592653589793]","(Qubit(QuantumRegister(4, 'q'), 0),)",0.0,No
24,cp,[0.7853981633974483],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 3))",-0.02873690729454026,No
