Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,32,ry,rz,[-0.02013347502557039],"(Qubit(QuantumRegister(4, 'q'), 1),)",0.0,103,1769882784.3019557,7201.956319332123,37105,17.649437171244497,17.649437171244497,100.0
Replace,32,ry,cp,[-0.0213964843515555],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 3))",0.0,27108,1769887467.0554476,7201.956319332123,37105,17.649437171244497,17.649437171244497,100.0
Add,34,cx,csx,[],"(Qubit(QuantumRegister(4, 'q'), 3), Qubit(QuantumRegister(4, 'q'), 0))",15.513747877356861,8103,1769884958.6794248,7201.956319332123,37105,17.649437171244497,2.1356892938876353,12.100608496271066
Add,6,cp,r,"[3.1363967969800717, -3.0750371565403483]","(Qubit(QuantumRegister(4, 'q'), 2),)",17.231309333875473,22105,1769887378.9219508,7201.956319332123,37105,17.649437171244497,0.41812783736902404,2.369071791423823
Replace,35,cp,tdg,[],"(Qubit(QuantumRegister(4, 'q'), 3),)",17.297295886042626,4,1769882590.0219674,7201.956319332123,37105,17.649437171244497,0.3521412852018706,1.995198383864614
Add,15,u,rzx,[0.7043697802365405],"(Qubit(QuantumRegister(4, 'q'), 3), Qubit(QuantumRegister(4, 'q'), 0))",17.350033213001808,13103,1769885101.2616434,7201.956319332123,37105,17.649437171244497,0.2994039582426886,1.6963938018969533
Add,10,cp,cy,[],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",17.372174405413332,12,1769882593.2663453,7201.956319332123,37105,17.649437171244497,0.27726276583116416,1.5709439521555795
Add,43,u,crz,[-0.7483889437441165],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 3))",17.419154538141225,37105,1769889750.784616,7201.956319332123,37105,17.649437171244497,0.2302826331032719,1.3047590745752615
Add,39,u,crz,[-0.2045774775746807],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",17.42976401500243,10104,1769884966.748699,7201.956319332123,37105,17.649437171244497,0.21967315624206663,1.2446468072079437
Replace,33,cp,csx,[],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 1))",17.47966093007833,5,1769882590.2141645,7201.956319332123,37105,17.649437171244497,0.16977624116616497,0.9619357236092175
