Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,38,p,crz,[-2.998429377070509],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 0))",8.405028038397905,25010,1769879952.366575,7201.91085600853,40018,19.835171082427657,11.430143044029752,57.625633762019454
Replace,22,p,rzz,[0.0006805267014615701],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 3))",9.948553582764733,17009,1769879712.876637,7201.91085600853,40018,19.835171082427657,9.886617499662924,49.84387308068979
Add,34,u,rzx,[-3.1230393479778424],"(Qubit(QuantumRegister(4, 'q'), 2), Qubit(QuantumRegister(4, 'q'), 0))",10.381509113209406,39017,1769882330.575857,7201.91085600853,40018,19.835171082427657,9.45366196921825,47.66110627396314
Replace,17,cp,cz,[],"(Qubit(QuantumRegister(4, 'q'), 3), Qubit(QuantumRegister(4, 'q'), 2))",11.569703648328925,7,1769875279.9661386,7201.91085600853,40018,19.835171082427657,8.265467434098731,41.6707645210142
Add,2,h,cy,[],"(Qubit(QuantumRegister(4, 'q'), 3), Qubit(QuantumRegister(4, 'q'), 2))",11.835171082427651,16010,1769879700.8971353,7201.91085600853,40018,19.835171082427657,8.000000000000005,40.332397269249434
Replace,35,cx,x,[],"(Qubit(QuantumRegister(4, 'q'), 2),)",12.701799258954713,7008,1769877520.6025217,7201.91085600853,40018,19.835171082427657,7.1333718234729435,35.9632482816976
Replace,30,cx,ry,[0.007530856038133749],"(Qubit(QuantumRegister(4, 'q'), 2),)",13.867676036974522,8008,1769877584.2112055,7201.91085600853,40018,19.835171082427657,5.967495045453134,30.08542260943667
Replace,24,cx,rzz,[0.004034935728888911],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 1))",14.058983380312089,33014,1769882046.5532467,7201.91085600853,40018,19.835171082427657,5.776187702115568,29.12093713793474
Replace,6,cp,crz,[-3.1160093969822706],"(Qubit(QuantumRegister(4, 'q'), 0), Qubit(QuantumRegister(4, 'q'), 2))",14.383455888339345,38016,1769882296.8001335,7201.91085600853,40018,19.835171082427657,5.451715194088312,27.485092875846618
Replace,26,cx,swap,[],"(Qubit(QuantumRegister(4, 'q'), 1), Qubit(QuantumRegister(4, 'q'), 2))",16.833349314643076,1,1769875277.594399,7201.91085600853,40018,19.835171082427657,3.0018217677845804,15.133833508721029
