Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,12,rzz,crx,[0.07241316078306825],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 2))",79.91684232951901,8013,1769937303.7032385,7203.15699672699,13011,80.29357057848894,0.3767282489699255,0.46918856174376306
Add,12,rzz,rzz,[-0.06512894134671487],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 4))",80.16969413278301,1014,1769936614.4257252,7203.15699672699,13011,80.29357057848894,0.12387644570593181,0.15427940844259697
Add,1,h,rzz,[-0.026582172183257313],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 1))",80.24015765208546,2014,1769936626.724092,7203.15699672699,13011,80.29357057848894,0.05341292640348172,0.06652204655822258
Replace,17,rzz,crx,[-0.09393236145683348],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 2))",80.25739002940276,12012,1769937389.6448781,7203.15699672699,13011,80.29357057848894,0.03618054908618262,0.045060331512864094
Add,25,rx,rzz,[0.02076231592440081],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 4))",80.26983273302268,3014,1769936664.8572898,7203.15699672699,13011,80.29357057848894,0.023737845466257568,0.02956381849161041
Replace,36,,swap,[],"(Qubit(QuantumRegister(6, 'q'), 2), Qubit(QuantumRegister(6, 'q'), 3))",80.29357057848894,15,1769930613.0737307,7203.15699672699,13011,80.29357057848894,0.0,0.0
Add,11,rx,z,[],"(Qubit(QuantumRegister(6, 'q'), 5),)",80.29357057848894,10014,1769937354.4174476,7203.15699672699,13011,80.29357057848894,0.0,0.0
Replace,31,,cz,[],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 5))",80.29357057848894,1015,1769936620.4918368,7203.15699672699,13011,80.29357057848894,0.0,0.0
Add,2,h,rzx,[-1.0136410813821328e-05],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 5))",80.29542931514119,7011,1769937264.9649928,7203.15699672699,13011,80.29357057848894,-0.0018587366522524462,-0.002314925888661889
Add,11,rx,cx,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 1))",84.2693131468539,4,1769930579.689593,7203.15699672699,13011,80.29357057848894,-3.9757425683649643,-4.951507997117376
Add,4,h,tdg,[],"(Qubit(QuantumRegister(6, 'q'), 2),)",85.83103007387828,10013,1769937347.8780909,7203.15699672699,13011,80.29357057848894,-5.537459495389342,-6.896516689311182
Add,33,,t,[],"(Qubit(QuantumRegister(6, 'q'), 3),)",87.25913292420982,11,1769930592.2200634,7203.15699672699,13011,80.29357057848894,-6.965562345720883,-8.675118437922592
Replace,20,rzz,crz,[0.15038559045459055],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 5))",88.07750801173962,4013,1769936801.7596855,7203.15699672699,13011,80.29357057848894,-7.783937433250685,-9.694347102974696
Replace,11,rx,tdg,[],"(Qubit(QuantumRegister(6, 'q'), 5),)",88.12200827585626,3,1769930579.4307475,7203.15699672699,13011,80.29357057848894,-7.82843769736732,-9.74976905493925
Replace,24,rx,rxx,[0.03574759809277994],"(Qubit(QuantumRegister(6, 'q'), 2), Qubit(QuantumRegister(6, 'q'), 0))",88.38725213124553,13011,1769937753.2065494,7203.15699672699,13011,80.29357057848894,-8.093681552756593,-10.080111638384322
Replace,15,rzz,crx,[-0.17586399594921653],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 0))",89.55647999370895,11013,1769937381.1134357,7203.15699672699,13011,80.29357057848894,-9.262909415220008,-11.536302780513772
Add,20,rzz,swap,[],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 5))",91.28831147968522,7014,1769937273.270001,7203.15699672699,13011,80.29357057848894,-10.99474090119628,-13.693177202088243
Replace,29,rx,cry,[0.04111406589308153],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 1))",92.31310654804977,9012,1769937305.5595255,7203.15699672699,13011,80.29357057848894,-12.019535969560835,-14.969487448327436
Add,24,rx,swap,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 0))",94.11127874302329,5013,1769937240.698588,7203.15699672699,13011,80.29357057848894,-13.817708164534352,-17.208984561257246
Add,21,rx,csx,[],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 1))",94.25698694954112,7012,1769937267.1598153,7203.15699672699,13011,80.29357057848894,-13.963416371052176,-17.390453893693262
Add,2,h,csx,[],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 3))",94.70722426517995,7013,1769937272.4808972,7203.15699672699,13011,80.29357057848894,-14.413653686691006,-17.951192832558498
Replace,5,rzz,tdg,[],"(Qubit(QuantumRegister(6, 'q'), 3),)",95.13216358793589,8,1769930584.7001886,7203.15699672699,13011,80.29357057848894,-14.838593009446953,-18.480424898954848
Replace,16,rx,rzx,[0.0031334031340666257],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 1))",100.21594163936979,5012,1769937234.511117,7203.15699672699,13011,80.29357057848894,-19.92237106088085,-24.81191322959818
Replace,2,h,rzx,[1.5382323294500662],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 2))",100.28697187988129,6012,1769937260.1363862,7203.15699672699,13011,80.29357057848894,-19.993401301392353,-24.900376402925453
Add,26,rzz,cz,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 1))",101.39678713729464,6,1769930580.2727838,7203.15699672699,13011,80.29357057848894,-21.1032165588057,-26.28257332033427
Add,18,rzz,cy,[],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 0))",102.15863428374885,9,1769930585.7621198,7203.15699672699,13011,80.29357057848894,-21.865063705259914,-27.231400406943262
Add,9,swap,cz,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 2))",102.27686247406623,2015,1769936627.4368143,7203.15699672699,13011,80.29357057848894,-21.983291895577295,-27.378645310197143
Add,8,rzz,ch,[],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 5))",103.73838948587849,12,1769930594.1266658,7203.15699672699,13011,80.29357057848894,-23.444818907389546,-29.19887450324763
Add,19,rx,cz,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 1))",104.26329515354732,10,1769930586.5136757,7203.15699672699,13011,80.29357057848894,-23.96972457505838,-29.85260762768967
Add,35,,cy,[],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 3))",105.52037903209073,7,1769930580.5438838,7203.15699672699,13011,80.29357057848894,-25.22680845360179,-31.418217264285147
