Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,13,rzz,rxx,[2.4957662014962985],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 5))",29.202974801432813,12020,1769952225.4755158,7203.286958456039,12021,90.34247320000212,61.1394983985693,67.6752542109594
Replace,11,rzz,x,[],"(Qubit(QuantumRegister(6, 'q'), 4),)",43.27581142831266,3,1769945199.3075056,7203.286958456039,12021,90.34247320000212,47.06666177168946,52.098044368889774
Add,31,,swap,[],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 2))",83.91897680943245,7022,1769951173.0506895,7203.286958456039,12021,90.34247320000212,6.423496390569667,7.110162211686625
Replace,14,rx,rx,[-3.067018217316262],"(Qubit(QuantumRegister(6, 'q'), 1),)",89.65586096067182,2016,1769950874.9683766,7203.286958456039,12021,90.34247320000212,0.6866122393303016,0.7600104524593483
Add,21,rx,rzz,[0.8755463971235242],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 0))",89.70089925854354,4017,1769950954.9940147,7203.286958456039,12021,90.34247320000212,0.6415739414585744,0.7101576022146794
Add,24,rzz,cp,[-0.25524055413095104],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 1))",90.09272984710184,8022,1769951536.9880028,7203.286958456039,12021,90.34247320000212,0.24974335290028193,0.27644068626214685
Add,23,rx,cry,[-0.2421734730595868],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 1))",90.20835414450075,10020,1769951767.5655022,7203.286958456039,12021,90.34247320000212,0.13411905550137249,0.14845625844718333
Add,30,,crz,[-0.15973593196368707],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 1))",90.2529629877477,7021,1769951167.0191953,7203.286958456039,12021,90.34247320000212,0.08951021225442446,0.09907877112935
Add,29,,crx,[1.9782000259240107],"(Qubit(QuantumRegister(6, 'q'), 2), Qubit(QuantumRegister(6, 'q'), 1))",90.34247320000212,3018,1769950927.5897772,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,30,,csx,[],"(Qubit(QuantumRegister(6, 'q'), 2), Qubit(QuantumRegister(6, 'q'), 1))",90.34247320000212,16,1769945218.2513447,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,32,,sdg,[],"(Qubit(QuantumRegister(6, 'q'), 5),)",90.34247320000212,4021,1769950980.8529189,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,31,,y,[],"(Qubit(QuantumRegister(6, 'q'), 2),)",90.34247320000212,18,1769945230.221927,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,30,,cz,[],"(Qubit(QuantumRegister(6, 'q'), 2), Qubit(QuantumRegister(6, 'q'), 3))",90.34247320000212,1,1769945198.7418673,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,30,,ch,[],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 2))",90.34247320000212,17,1769945224.1401746,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,29,,cz,[],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 4))",90.34247320000212,8,1769945204.524242,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,32,,sx,[],"(Qubit(QuantumRegister(6, 'q'), 4),)",90.34247320000212,4019,1769950968.015145,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,34,,cx,[],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 5))",90.34247320000212,9,1769945204.8370018,7203.286958456039,12021,90.34247320000212,0.0,0.0
Replace,24,rzz,crz,[0.06335949565250809],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 2))",90.58786312074848,6021,1769951076.7657287,7203.286958456039,12021,90.34247320000212,-0.24538992074636212,-0.2716218762387793
Add,26,rzz,h,[],"(Qubit(QuantumRegister(6, 'q'), 4),)",91.40575058431459,14,1769945212.4500923,7203.286958456039,12021,90.34247320000212,-1.063277384312471,-1.1769407529485767
Replace,20,rzz,cry,[-0.03928380187342917],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 3))",93.22960027908883,9021,1769951672.1184316,7203.286958456039,12021,90.34247320000212,-2.88712707908671,-3.195758292663879
Replace,21,rx,rzz,[-0.3481271383584956],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 0))",93.37266107300107,1017,1769950873.067807,7203.286958456039,12021,90.34247320000212,-3.030187872998951,-3.354112153085134
