Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,18,rx,cp,[-1.0727200392579421],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 3))",89.55827958923601,7006,1769966266.816165,7203.0770835876465,14001,95.48141005715306,5.923130467917048,6.203438412117703
Replace,27,rzz,rzz,[0.20463844462504266],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 2))",90.3385666321628,3009,1769965684.5490155,7203.0770835876465,14001,95.48141005715306,5.142843424990261,5.386224838858023
Add,2,h,crx,[-0.6822755078937508],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 3))",93.05780564315211,11004,1769966516.8212278,7203.0770835876465,14001,95.48141005715306,2.4236044140009483,2.5382997722281564
Add,21,rzz,cp,[-0.6216943815552174],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 1))",93.6494161472425,9006,1769966286.1184988,7203.0770835876465,14001,95.48141005715306,1.831993909910551,1.9186917210522552
Replace,25,rzz,rzz,[-0.16410107798833007],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 1))",94.87452347523089,2010,1769965666.274099,7203.0770835876465,14001,95.48141005715306,0.6068865819221685,0.6356070585456369
Add,25,rzz,crx,[-0.25139889187261133],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 5))",95.11978679427571,13002,1769966543.7013125,7203.0770835876465,14001,95.48141005715306,0.3616232628773446,0.37873682705448625
Add,32,,cp,[-0.1670747605789824],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 0))",95.35522188530251,10005,1769966326.1519625,7203.0770835876465,14001,95.48141005715306,0.12618817185054354,0.13215993749464958
Add,24,rx,cry,[-0.08180470270630913],"(Qubit(QuantumRegister(6, 'q'), 4), Qubit(QuantumRegister(6, 'q'), 2))",95.35710408136134,12003,1769966532.1496074,7203.0770835876465,14001,95.48141005715306,0.12430597579171376,0.13018866784362207
Add,19,rzz,cp,[0.024693766672700512],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 5))",95.37108683097556,8006,1769966279.1554008,7203.0770835876465,14001,95.48141005715306,0.11032322617749912,0.1155441945311261
Add,13,h,rzz,[-0.0874616859374644],"(Qubit(QuantumRegister(6, 'q'), 3), Qubit(QuantumRegister(6, 'q'), 2))",95.43537711982306,4009,1769965734.1179867,7203.0770835876465,14001,95.48141005715306,0.046032937329997026,0.04821141340753423
Replace,33,,x,[],"(Qubit(QuantumRegister(6, 'q'), 0),)",95.48141005715306,12,1769959842.0919752,7203.0770835876465,14001,95.48141005715306,0.0,0.0
Replace,31,,crx,[-1.904773722040628],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 4))",95.48141005715306,1011,1769965629.3306024,7203.0770835876465,14001,95.48141005715306,0.0,0.0
Add,3,rzz,x,[],"(Qubit(QuantumRegister(6, 'q'), 0),)",95.48141005715306,3,1769959828.499282,7203.0770835876465,14001,95.48141005715306,0.0,0.0
Add,17,rzz,swap,[],"(Qubit(QuantumRegister(6, 'q'), 0), Qubit(QuantumRegister(6, 'q'), 1))",98.98511186200162,3010,1769965690.7197287,7203.0770835876465,14001,95.48141005715306,-3.5037018048485606,-3.669512005270264
Replace,18,rx,rxx,[0.2872438093624705],"(Qubit(QuantumRegister(6, 'q'), 1), Qubit(QuantumRegister(6, 'q'), 4))",99.34137031497555,14001,1769966896.9975152,7203.0770835876465,14001,95.48141005715306,-3.859960257822493,-4.042630136601467
Replace,3,rzz,x,[],"(Qubit(QuantumRegister(6, 'q'), 1),)",100.36457232447562,1,1769959827.8622649,7203.0770835876465,14001,95.48141005715306,-4.883162267322561,-5.114254454767277
Add,31,,csx,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 0))",100.61659220153484,6,1769959829.4601924,7203.0770835876465,14001,95.48141005715306,-5.135182144381787,-5.378200993583966
Add,7,h,ch,[],"(Qubit(QuantumRegister(6, 'q'), 5), Qubit(QuantumRegister(6, 'q'), 0))",102.91098536518892,7,1769959829.705988,7203.0770835876465,14001,95.48141005715306,-7.429575308035865,-7.781174684777577
