Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,1,cp,s,[],"(Qubit(QuantumRegister(9, 'q'), 7),)",583.4120636586039,4,1770053786.6829946,7206.565528869629,17,583.4120636586039,0.0,0.0
Replace,51,,cx,[],"(Qubit(QuantumRegister(9, 'q'), 8), Qubit(QuantumRegister(9, 'q'), 2))",583.4120636586039,17,1770054051.237671,7206.565528869629,17,583.4120636586039,0.0,0.0
Replace,10,cp,t,[],"(Qubit(QuantumRegister(9, 'q'), 0),)",586.1477269726852,14,1770053952.7181408,7206.565528869629,17,583.4120636586039,-2.7356633140813074,-0.4689075671363114
Add,51,,tdg,[],"(Qubit(QuantumRegister(9, 'q'), 2),)",683.092550539767,3,1770053785.624754,7206.565528869629,17,583.4120636586039,-99.68048688116312,-17.08577746165587
Add,34,cp,ch,[],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 5))",690.5518319058912,13,1770053885.7550309,7206.565528869629,17,583.4120636586039,-107.1397682472873,-18.36433884747067
Add,13,cp,ch,[],"(Qubit(QuantumRegister(9, 'q'), 3), Qubit(QuantumRegister(9, 'q'), 6))",698.2238286562394,7,1770053794.4802442,7206.565528869629,17,583.4120636586039,-114.81176499763558,-19.679360806776213
Add,48,swap,csx,[],"(Qubit(QuantumRegister(9, 'q'), 4), Qubit(QuantumRegister(9, 'q'), 3))",752.7645132187785,6,1770053793.2221634,7206.565528869629,17,583.4120636586039,-169.3524495601746,-29.027930704442
Add,13,cp,cx,[],"(Qubit(QuantumRegister(9, 'q'), 6), Qubit(QuantumRegister(9, 'q'), 7))",769.24887821893,12,1770053879.2079647,7206.565528869629,17,583.4120636586039,-185.83681456032616,-31.853440498801987
Replace,13,cp,csx,[],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 1))",782.2783307798079,9,1770053873.219191,7206.565528869629,17,583.4120636586039,-198.86626712120403,-34.086759515068046
Replace,11,cp,h,[],"(Qubit(QuantumRegister(9, 'q'), 5),)",794.1359092853995,1,1770053782.9165025,7206.565528869629,17,583.4120636586039,-210.72384562679565,-36.11921294622136
Replace,25,cp,ch,[],"(Qubit(QuantumRegister(9, 'q'), 8), Qubit(QuantumRegister(9, 'q'), 6))",805.5060761243261,11,1770053878.1981082,7206.565528869629,17,583.4120636586039,-222.09401246572224,-38.068121367419195
Add,45,swap,ch,[],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 6))",827.0976122878999,16,1770053972.312856,7206.565528869629,17,583.4120636586039,-243.68554862929602,-41.7690280693088
Add,1,cp,cy,[],"(Qubit(QuantumRegister(9, 'q'), 8), Qubit(QuantumRegister(9, 'q'), 5))",842.3085421158667,5,1770053787.7066905,7206.565528869629,17,583.4120636586039,-258.8964784572628,-44.37626415088352
Add,16,cp,cy,[],"(Qubit(QuantumRegister(9, 'q'), 2), Qubit(QuantumRegister(9, 'q'), 0))",843.4891074248081,8,1770053870.1871102,7206.565528869629,17,583.4120636586039,-260.07704376620427,-44.578619464131265
Add,24,cp,cx,[],"(Qubit(QuantumRegister(9, 'q'), 7), Qubit(QuantumRegister(9, 'q'), 2))",865.9812807595208,15,1770053969.358376,7206.565528869629,17,583.4120636586039,-282.56921710091694,-48.43390027434681
Add,40,cp,cx,[],"(Qubit(QuantumRegister(9, 'q'), 8), Qubit(QuantumRegister(9, 'q'), 0))",887.2055482955514,2,1770053784.5989776,7206.565528869629,17,583.4120636586039,-303.7934846369475,-52.07185513646129
Replace,20,h,ch,[],"(Qubit(QuantumRegister(9, 'q'), 6), Qubit(QuantumRegister(9, 'q'), 5))",963.4774618377957,10,1770053877.270847,7206.565528869629,17,583.4120636586039,-380.0653981791918,-65.14527584427792
