Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,56,,cz,[],"(Qubit(QuantumRegister(9, 'q'), 4), Qubit(QuantumRegister(9, 'q'), 7))",66.34688941957596,1,1770079834.311845,7206.17282128334,10,66.34688941957596,0.0,0.0
Add,25,cp,sdg,[],"(Qubit(QuantumRegister(9, 'q'), 0),)",66.34688941957596,4,1770079837.7642407,7206.17282128334,10,66.34688941957596,0.0,0.0
Add,26,h,cx,[],"(Qubit(QuantumRegister(9, 'q'), 2), Qubit(QuantumRegister(9, 'q'), 6))",187.183887422069,3,1770079836.683269,7206.17282128334,10,66.34688941957596,-120.83699800249305,-182.12910817615443
Add,31,cp,csx,[],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 7))",250.40188044029765,8,1770079928.4881406,7206.17282128334,10,66.34688941957596,-184.05499102072167,-277.4131426972602
Replace,31,cp,cy,[],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 7))",262.032188440334,7,1770079916.759611,7206.17282128334,10,66.34688941957596,-195.685299020758,-294.94268794313683
Replace,28,cp,ch,[],"(Qubit(QuantumRegister(9, 'q'), 0), Qubit(QuantumRegister(9, 'q'), 6))",385.86849305787433,9,1770080003.3156483,7206.17282128334,10,66.34688941957596,-319.52160363829836,-481.5924400278244
Replace,11,cp,csx,[],"(Qubit(QuantumRegister(9, 'q'), 2), Qubit(QuantumRegister(9, 'q'), 3))",409.79165556948436,10,1770080014.6373692,7206.17282128334,10,66.34688941957596,-343.4447661499084,-517.6501402770714
Replace,22,cp,swap,[],"(Qubit(QuantumRegister(9, 'q'), 8), Qubit(QuantumRegister(9, 'q'), 7))",512.4442783590673,6,1770079914.9441342,7206.17282128334,10,66.34688941957596,-446.09738893949134,-672.3712186691728
Add,38,cp,cz,[],"(Qubit(QuantumRegister(9, 'q'), 1), Qubit(QuantumRegister(9, 'q'), 3))",574.2351385854475,5,1770079841.7404702,7206.17282128334,10,66.34688941957596,-507.88824916587157,-765.5042363086533
Replace,14,h,cy,[],"(Qubit(QuantumRegister(9, 'q'), 2), Qubit(QuantumRegister(9, 'q'), 5))",749.121068661262,2,1770079835.592752,7206.17282128334,10,66.34688941957596,-682.774179241686,-1029.097498337624
