Position,Gate,Params,Qubits,Suspiciousness,KickedOut
0,u,"[1.5707963267948966, 2.0, -3.141592653589793]","(Qubit(QuantumRegister(2, 'q'), 0),)",0.8482694540870748,No
1,u,"[1.5707963267948966, 2.0, -3.141592653589793]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.8482694540870748,No
2,cx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.8482694540870748,No
3,p,[9.172838187819544],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.8482694540870748,No
5,u,"[1.5707963267948966, 2.0, -3.141592653589793]","(Qubit(QuantumRegister(2, 'q'), 0),)",0.8482694540870748,No
6,u,"[1.5707963267948966, 2.0, -3.141592653589793]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.8482694540870748,No
7,cx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.8482694540870748,No
10,ry,[0.7271911597342195],"(Qubit(QuantumRegister(2, 'q'), 0),)",0.8482694540870748,No
13,ry,[0.9866257564223032],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.40605817595684723,No
9,cx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.37409749960083155,No
4,cx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.3206452024813976,No
15,,[],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.20324538055756824,No
12,ry,[0.9484429661729774],"(Qubit(QuantumRegister(2, 'q'), 0),)",0.13226086954633376,No
11,cx,[],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.09078696838463474,No
8,p,[9.172838187819544],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.07631774131554248,No
14,,[],"(Qubit(QuantumRegister(2, 'q'), 0),)",0.0,No
