Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,5,u,p,[-0.2199538600309121],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,9028,1769845244.2287354,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,10,ry,ry,[0.22606434206444748],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,96672,1769846959.1396828,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,3,p,rzz,[-0.19176457620922305],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.0,283052,1769850573.3014376,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,1,u,r,"[0.19093948002604355, 2.8798056323046692]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,58439,1769846302.7780693,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,2,cx,p,[-0.21604159383980992],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,49287,1769846088.386752,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,0,u,rx,[-0.19968785655791965],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,324416,1769851317.8833745,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,6,u,p,[-0.24471274130590714],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,13188,1769845299.2229085,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,7,cx,ry,[-0.25363443401987684],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,88642,1769846860.8234282,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,6,u,rz,[-0.21667922670261097],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,296311,1769850835.1915195,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,7,cx,r,"[-0.3244736591560242, 1.3193612318892853]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,57346,1769846234.4547489,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,1,u,rx,[-0.2453362999938027],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.0,132722,1769847650.739836,7200.2329342365265,366412,0.8482694540870748,0.8482694540870748,100.0
Add,2,cx,crz,[-0.29907785733783454],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.3269747166071943,48187,1769846062.229369,7200.2329342365265,366412,0.8482694540870748,0.5212947374798804,61.45390889277142
Add,5,u,crz,[-0.2929420181412019],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.32744204574837904,326418,1769851400.705159,7200.2329342365265,366412,0.8482694540870748,0.5208274083386957,61.39881682987406
Add,1,u,crx,[-0.30184907381199944],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.3277355912015892,197725,1769848897.4238534,7200.2329342365265,366412,0.8482694540870748,0.5205338628854856,61.36421161666077
Add,10,ry,rx,[-0.41093128204261076],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.4357111652202556,330418,1769851476.7630486,7200.2329342365265,366412,0.8482694540870748,0.41255828886681917,48.63528762930913
Add,13,ry,r,"[-0.3661412522905132, -0.1383052008073835]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.44221127813022754,158715,1769848132.0998414,7200.2329342365265,366412,0.8482694540870748,0.40605817595684723,47.869008367613034
Add,9,cx,r,"[0.4873571323875314, 3.0911271797019806]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.4741719544862432,100675,1769847001.3386045,7200.2329342365265,366412,0.8482694540870748,0.37409749960083155,44.10125789610603
Add,7,cx,cry,[-0.29803660773727003],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.5246447715918772,263721,1769850200.4366753,7200.2329342365265,366412,0.8482694540870748,0.3236246824951976,38.15116540339051
Add,4,cx,cp,[0.28725588905414545],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.5276242516056772,241724,1769849762.949864,7200.2329342365265,366412,0.8482694540870748,0.3206452024813976,37.79992323624132
Add,9,cx,cry,[-0.2464763824301679],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.5523300149545995,257722,1769850003.9312568,7200.2329342365265,366412,0.8482694540870748,0.2959394391324752,34.887433197859444
Add,5,u,cp,[-0.262216046027409],"(Qubit(QuantumRegister(2, 'q'), 1), Qubit(QuantumRegister(2, 'q'), 0))",0.5612387307338631,290053,1769850748.5588996,7200.2329342365265,366412,0.8482694540870748,0.28703072335321167,33.837210802565096
Add,6,u,crz,[-0.19464534301403225],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.565670584515186,277722,1769850456.8340876,7200.2329342365265,366412,0.8482694540870748,0.28259886957188873,33.314752548295814
Replace,13,ry,r,"[1.1126235654741183, 1.849359040196357]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.5714692321292487,249724,1769849891.147173,7200.2329342365265,366412,0.8482694540870748,0.27680022195782605,32.631166974617074
Add,5,u,r,"[0.5428531445340181, -1.889468609573976]","(Qubit(QuantumRegister(2, 'q'), 1),)",0.5842090217667851,234722,1769849620.9334474,7200.2329342365265,366412,0.8482694540870748,0.26406043232028964,31.129310509533433
Add,5,u,ry,[-0.6069417220368196],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.6379214313098208,305324,1769850979.5751212,7200.2329342365265,366412,0.8482694540870748,0.21034802277725395,24.797311958336973
Add,15,,p,[0.2777749519158199],"(Qubit(QuantumRegister(2, 'q'), 1),)",0.6450240735295065,361413,1769852037.5106099,7200.2329342365265,366412,0.8482694540870748,0.20324538055756824,23.96000228209386
Add,15,,cry,[-0.2593482503698885],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.6979344714888707,178726,1769848523.1913385,7200.2329342365265,366412,0.8482694540870748,0.1503349825982041,17.72255052611764
Add,12,ry,r,"[0.39864217516160716, 0.4254791324359348]","(Qubit(QuantumRegister(2, 'q'), 0),)",0.716008584540741,347411,1769851786.5574048,7200.2329342365265,366412,0.8482694540870748,0.13226086954633376,15.591846306510664
Add,15,,crz,[0.2736207651742273],"(Qubit(QuantumRegister(2, 'q'), 0), Qubit(QuantumRegister(2, 'q'), 1))",0.718296770300411,306323,1769851002.1199522,7200.2329342365265,366412,0.8482694540870748,0.12997268378666382,15.322098793070785
