Position,Gate,Params,Qubits,Suspiciousness,KickedOut
0,h,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",0.0,No
38,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 4))",0.0,No
26,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 3), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
1,h,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",0.0,No
29,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
30,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
32,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 3))",0.0,No
33,h,[],"(Qubit(QuantumRegister(8, 'q'), 4),)",0.0,No
34,cp,[-0.09817477042468103],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
35,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
36,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 2))",0.0,No
39,h,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",0.0,No
23,h,[],"(Qubit(QuantumRegister(8, 'q'), 2),)",0.0,No
42,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 2))",0.0,No
43,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 3))",0.0,No
44,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 4))",0.0,No
47,,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",0.0,No
48,,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",0.0,No
49,,[],"(Qubit(QuantumRegister(8, 'q'), 2),)",0.0,No
51,,[],"(Qubit(QuantumRegister(8, 'q'), 4),)",0.0,No
52,,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",0.0,No
53,,[],"(Qubit(QuantumRegister(8, 'q'), 6),)",0.0,No
25,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 3), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
27,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 3), Qubit(QuantumRegister(8, 'q'), 2))",0.0,No
11,cp,[-2.748893571891069],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 3))",0.0,No
15,swap,[],"(Qubit(QuantumRegister(8, 'q'), 1), Qubit(QuantumRegister(8, 'q'), 5))",0.0,No
8,cp,[-2.6998061866787286],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
3,h,[],"(Qubit(QuantumRegister(8, 'q'), 3),)",0.0,No
7,x,[],"(Qubit(QuantumRegister(8, 'q'), 7),)",0.0,No
6,h,[],"(Qubit(QuantumRegister(8, 'q'), 6),)",0.0,No
4,h,[],"(Qubit(QuantumRegister(8, 'q'), 4),)",0.0,No
13,swap,[],"(Qubit(QuantumRegister(8, 'q'), 2), Qubit(QuantumRegister(8, 'q'), 4))",0.0,No
14,cp,[1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 5))",0.0,No
16,cp,[3.141592653589793],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 6))",0.0,No
9,cp,[0.8835729338221293],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
17,swap,[],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 6))",0.0,No
2,h,[],"(Qubit(QuantumRegister(8, 'q'), 2),)",0.0,No
18,h,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",0.0,No
19,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 1), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
5,h,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",0.0,No
20,h,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",0.0,No
21,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 2), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
