Position,Gate,Params,Qubits,Suspiciousness,KickedOut
0,h,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",0.0,No
1,h,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",0.0,No
28,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
29,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 2))",0.0,No
30,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 3))",0.0,No
31,h,[],"(Qubit(QuantumRegister(8, 'q'), 4),)",0.0,No
32,cp,[-0.09817477042468103],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
33,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
34,cp,[-0.39269908169872414],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 2))",0.0,No
35,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 3))",0.0,No
36,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 4))",0.0,No
37,h,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",0.0,No
38,cp,[-0.04908738521234052],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
39,cp,[-0.09817477042468103],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 1))",0.0,No
40,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 2))",0.0,No
42,cp,[-0.7853981633974483],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 4))",0.0,No
43,cp,[-1.5707963267948966],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 5))",0.0,No
44,h,[],"(Qubit(QuantumRegister(8, 'q'), 6),)",0.0,No
45,,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",0.0,No
46,,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",0.0,No
47,,[],"(Qubit(QuantumRegister(8, 'q'), 2),)",0.0,No
48,,[],"(Qubit(QuantumRegister(8, 'q'), 3),)",0.0,No
49,,[],"(Qubit(QuantumRegister(8, 'q'), 4),)",0.0,No
50,,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",0.0,No
51,,[],"(Qubit(QuantumRegister(8, 'q'), 6),)",0.0,No
27,cp,[-0.19634954084936207],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 0))",0.0,No
