Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,50,,swap,[],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 1))",441.1754568725825,3,1770005766.0481932,7205.343347787857,14,441.1754568725825,0.0,0.0
Add,36,cp,tdg,[],"(Qubit(QuantumRegister(8, 'q'), 7),)",441.1754568725825,5,1770005767.3863208,7205.343347787857,14,441.1754568725825,0.0,0.0
Add,50,,cy,[],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 2))",442.6612849082716,11,1770005833.2444046,7205.343347787857,14,441.1754568725825,-1.48582803568911,-0.3367884619470655
Replace,40,cp,sdg,[],"(Qubit(QuantumRegister(8, 'q'), 1),)",444.30101539990994,2,1770005765.3174117,7205.343347787857,14,441.1754568725825,-3.125558527327428,-0.7084615607323169
Add,28,h,cy,[],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 4))",448.2349790943998,13,1770005902.462294,7205.343347787857,14,441.1754568725825,-7.0595222218173035,-1.6001620470597007
Replace,37,cp,x,[],"(Qubit(QuantumRegister(8, 'q'), 5),)",462.8863321819962,4,1770005766.6731977,7205.343347787857,14,441.1754568725825,-21.710875309413666,-4.921143044383827
Add,12,cp,ch,[],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 3))",473.10807467316505,7,1770005769.5530393,7205.343347787857,14,441.1754568725825,-31.932617800582534,-7.23807666612903
Replace,22,cp,cz,[],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 7))",482.02497012471315,6,1770005768.5817134,7205.343347787857,14,441.1754568725825,-40.849513252130635,-9.259244279295558
Replace,41,cp,swap,[],"(Qubit(QuantumRegister(8, 'q'), 2), Qubit(QuantumRegister(8, 'q'), 7))",488.821436103699,1,1770005764.5386004,7205.343347787857,14,441.1754568725825,-47.645979231116485,-10.799780107640325
Replace,45,cp,cy,[],"(Qubit(QuantumRegister(8, 'q'), 2), Qubit(QuantumRegister(8, 'q'), 4))",495.61263010803407,9,1770005801.0852644,7205.343347787857,14,441.1754568725825,-54.43717323545155,-12.339120952318467
Add,54,,cy,[],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 3))",514.0483462661442,10,1770005802.2493696,7205.343347787857,14,441.1754568725825,-72.8728893935617,-16.517892883286205
Add,24,x,swap,[],"(Qubit(QuantumRegister(8, 'q'), 5), Qubit(QuantumRegister(8, 'q'), 6))",519.4195921445245,14,1770005936.5722468,7205.343347787857,14,441.1754568725825,-78.24413527194196,-17.73537807986901
Replace,31,cp,y,[],"(Qubit(QuantumRegister(8, 'q'), 6),)",567.3536296239545,8,1770005797.3826563,7205.343347787857,14,441.1754568725825,-126.17817275137196,-28.600451540488557
Replace,46,h,cx,[],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 3))",573.781352724735,12,1770005866.899732,7205.343347787857,14,441.1754568725825,-132.6058958521525,-30.057405457722663
