Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,49,,t,[],"(Qubit(QuantumRegister(8, 'q'), 0),)",241.51670926027705,2,1770021383.4314966,7205.428153038025,12,241.51670926027705,0.0,0.0
Replace,49,,x,[],"(Qubit(QuantumRegister(8, 'q'), 2),)",241.51670926027705,7,1770021421.8400242,7205.428153038025,12,241.51670926027705,0.0,0.0
Add,16,cp,cx,[],"(Qubit(QuantumRegister(8, 'q'), 7), Qubit(QuantumRegister(8, 'q'), 4))",310.9838045893242,11,1770021465.8849583,7205.428153038025,12,241.51670926027705,-69.46709532904717,-28.762852699431267
Add,33,cp,csx,[],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 3))",319.047323050013,5,1770021386.5453067,7205.428153038025,12,241.51670926027705,-77.53061378973595,-32.10155273612269
Add,47,,cy,[],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 1))",345.06472302160466,12,1770021506.9052079,7205.428153038025,12,241.51670926027705,-103.54801376132761,-42.874057897889074
Add,16,cp,csx,[],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 7))",366.3559453063177,6,1770021387.293382,7205.428153038025,12,241.51670926027705,-124.83923604604067,-51.689689060604195
Replace,36,cp,ch,[],"(Qubit(QuantumRegister(8, 'q'), 4), Qubit(QuantumRegister(8, 'q'), 1))",381.4715244645789,10,1770021428.3382094,7205.428153038025,12,241.51670926027705,-139.95481520430187,-57.948295019818175
Add,9,cp,swap,[],"(Qubit(QuantumRegister(8, 'q'), 0), Qubit(QuantumRegister(8, 'q'), 1))",388.94350129171534,4,1770021384.8999999,7205.428153038025,12,241.51670926027705,-147.42679203143828,-61.04206722714154
Add,42,cp,sx,[],"(Qubit(QuantumRegister(8, 'q'), 7),)",389.0702071858492,3,1770021384.2150369,7205.428153038025,12,241.51670926027705,-147.55349792557215,-61.09452980603388
Replace,23,h,csx,[],"(Qubit(QuantumRegister(8, 'q'), 3), Qubit(QuantumRegister(8, 'q'), 1))",433.8954021422564,9,1770021427.5374203,7205.428153038025,12,241.51670926027705,-192.37869288197933,-79.65440298983918
Replace,16,cp,swap,[],"(Qubit(QuantumRegister(8, 'q'), 6), Qubit(QuantumRegister(8, 'q'), 4))",438.3593707650623,1,1770021382.663725,7205.428153038025,12,241.51670926027705,-196.84266150478524,-81.50270931882083
Add,25,cp,swap,[],"(Qubit(QuantumRegister(8, 'q'), 1), Qubit(QuantumRegister(8, 'q'), 3))",447.6783220277544,8,1770021426.867394,7205.428153038025,12,241.51670926027705,-206.16161276747735,-85.36122134112952
