Position,Gate,Params,Qubits,Suspiciousness,KickedOut
38,cx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2))",0.07977378059253937,No
10,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",0.06337051777127911,No
45,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",0.02602556786515109,No
36,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",0.025558056338713442,No
17,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.022162831654256365,No
25,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.013069417352276957,No
11,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.011015960573026007,No
7,x,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.006804410138801842,No
15,x,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.004177233137639291,No
29,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.0,No
30,cx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2))",0.0,No
31,x,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.0,No
32,u,"[1.5707963267948966, -3.141592653589793, -3.141592653589793]","(Qubit(QuantumRegister(5, 'q'), 3),)",0.0,No
34,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",0.0,No
35,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.0,No
0,h,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",0.0,No
39,x,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.0,No
1,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.0,No
43,ccx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",0.0,No
44,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.0,No
46,x,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.0,No
50,,[],"(Qubit(QuantumRegister(5, 'q'), 0),)",0.0,No
51,,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",0.0,No
52,,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",0.0,No
53,,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",0.0,No
42,rccx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",0.0,No
