Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,13,cx,ryy,[3.104907317092615],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 3))",22.739868557485796,14022,1769915153.5609612,7203.076884269714,14029,62.92344044766459,40.1835718901788,63.86105337580952
Replace,12,ccx,cx,[],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 1))",44.18024136141763,8019,1769914641.6596806,7203.076884269714,14029,62.92344044766459,18.74319908624696,29.787308120629973
Add,20,x,s,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",44.424563114094255,12,1769908501.385273,7203.076884269714,14029,62.92344044766459,18.498877333570334,29.399023959849167
Replace,47,x,cry,[0.2903330624328251],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1))",44.53970476362356,8017,1769914629.1437004,7203.076884269714,14029,62.92344044766459,18.383735684041028,29.21603706544203
Add,19,ccx,rxx,[3.0936381871480156],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",49.25314754425908,11023,1769914874.3614357,7203.076884269714,14029,62.92344044766459,13.67029290340551,21.725278856574164
Replace,19,ccx,x,[],"(Qubit(QuantumRegister(5, 'q'), 0),)",50.015418693169806,6019,1769914409.1893435,7203.076884269714,14029,62.92344044766459,12.908021754494783,20.51385248909076
Replace,27,ccx,rzz,[-3.063555582832585],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 0))",51.116422507166675,1016,1769914221.9549134,7203.076884269714,14029,62.92344044766459,11.807017940497914,18.764101035317964
Replace,28,x,cz,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 0))",51.119122552998704,9019,1769914688.4329774,7203.076884269714,14029,62.92344044766459,11.804317894665886,18.759810033724886
Add,23,x,crz,[3.023347341521333],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 3))",51.74063236598584,3014,1769914350.906649,7203.076884269714,14029,62.92344044766459,11.18280808167875,17.772086208445394
Add,20,x,ch,[],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 0))",53.498706030965224,8018,1769914635.6464763,7203.076884269714,14029,62.92344044766459,9.424734416699366,14.978097748069283
Add,51,,crz,[-2.9697488725961096],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",54.140584894788006,5012,1769914376.1166515,7203.076884269714,14029,62.92344044766459,8.782855552876583,13.958002757623467
Add,43,ccx,z,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",54.18193767943777,6016,1769914396.9695818,7203.076884269714,14029,62.92344044766459,8.741502768226816,13.892283552895362
Replace,16,rccx,ch,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",55.337593287575686,5013,1769914382.869912,7203.076884269714,14029,62.92344044766459,7.585847160088903,12.0556776713414
Add,50,,sdg,[],"(Qubit(QuantumRegister(5, 'q'), 0),)",55.38114806968666,14023,1769915153.792963,7203.076884269714,14029,62.92344044766459,7.54229237797793,11.986458979863142
Replace,31,u,ch,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 1))",56.00428174158375,14024,1769915158.6305103,7203.076884269714,14029,62.92344044766459,6.919158706080836,10.996154464623908
Add,17,ccx,ch,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 3))",56.243193870606156,14028,1769915171.7885087,7203.076884269714,14029,62.92344044766459,6.680246577058433,10.616467455581367
Replace,28,x,ryy,[-0.5994877628626787],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",56.28549374459551,13023,1769915152.0536528,7203.076884269714,14029,62.92344044766459,6.637946703069076,10.549243105341747
Add,49,,t,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",57.127389278072215,10024,1769914870.8258076,7203.076884269714,14029,62.92344044766459,5.796051169592374,9.21127504846645
Add,26,rccx,y,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",57.67962321348341,9,1769908495.5913496,7203.076884269714,14029,62.92344044766459,5.243817234181179,8.333646725090672
Add,5,x,csx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4))",57.78641565788618,10022,1769914858.7356827,7203.076884269714,14029,62.92344044766459,5.137024789778408,8.163928661928512
Add,49,,t,[],"(Qubit(QuantumRegister(5, 'q'), 0),)",57.799579158844416,16,1769908507.8831801,7203.076884269714,14029,62.92344044766459,5.123861288820173,8.143008793490639
Replace,41,ccx,cy,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 0))",58.153672272888066,9020,1769914695.087939,7203.076884269714,14029,62.92344044766459,4.769768174776523,7.580272376784117
Replace,27,ccx,csx,[],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 3))",58.21322359847392,6018,1769914403.3369052,7203.076884269714,14029,62.92344044766459,4.710216849190672,7.48563145257181
Replace,17,ccx,z,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",58.32436883787841,6014,1769914390.791466,7203.076884269714,14029,62.92344044766459,4.599071609786179,7.308995784506367
Add,43,ccx,cp,[3.063382972403124],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 2))",58.80392811606527,7018,1769914583.46565,7203.076884269714,14029,62.92344044766459,4.119512331599317,6.546864415377359
Add,2,ccx,rxx,[0.8089852836909053],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",58.85142648404878,10021,1769914852.1855133,7203.076884269714,14029,62.92344044766459,4.0720139636158095,6.471378447595585
Replace,40,rccx,cx,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",58.93900415710314,6,1769908490.0068448,7203.076884269714,14029,62.92344044766459,3.9844362905614474,6.332197130694767
Add,0,h,csx,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2))",59.02182620114854,11,1769908500.9442637,7203.076884269714,14029,62.92344044766459,3.901614246516047,6.200573615743632
Replace,44,x,rzz,[2.070135494477281],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 0))",59.414295886872075,6012,1769914384.246241,7203.076884269714,14029,62.92344044766459,3.509144560792514,5.576847889795823
