Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,13,x,tdg,[],"(Qubit(QuantumRegister(5, 'q'), 1),)",21.45725421319115,8010,1769929326.2531288,7203.086881637573,15006,58.161224045964246,36.7039698327731,63.107285712842476
Add,22,cx,rzz,[3.1046151934868815],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 4))",37.0173646379466,3011,1769929117.953591,7203.086881637573,15006,58.161224045964246,21.143859408017647,36.35387623772818
Add,36,ccx,ch,[],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 0))",48.36973531991976,11,1769923137.5532277,7203.086881637573,15006,58.161224045964246,9.791488726044484,16.83508022167203
Replace,36,ccx,rzx,[-2.791866837641445],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 3))",50.069334451364796,5009,1769929211.6840718,7203.086881637573,15006,58.161224045964246,8.09188959459945,13.912859860384833
Replace,42,ccx,cry,[0.07279626854566956],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4))",51.075714110873136,6008,1769929227.1124241,7203.086881637573,15006,58.161224045964246,7.08550993509111,12.18253235092078
Replace,28,ccx,cx,[],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 0))",52.39909455145992,2,1769923129.67547,7203.086881637573,15006,58.161224045964246,5.762129494504329,9.907166826390336
Add,27,rccx,ch,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 2))",53.20057319579459,5,1769923130.5907617,7203.086881637573,15006,58.161224045964246,4.960650850169657,8.52913763687178
Add,30,cx,cz,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",53.371403958950374,10,1769923137.172299,7203.086881637573,15006,58.161224045964246,4.789820087013872,8.235418297298084
Add,4,ccx,cx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4))",54.09630899965293,6009,1769929233.295282,7203.086881637573,15006,58.161224045964246,4.064915046311313,6.9890465907300205
Replace,22,cx,crx,[0.744949642180361],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 0))",54.14932881333957,12007,1769929367.6065588,7203.086881637573,15006,58.161224045964246,4.011895232624674,6.89788651878116
Add,36,ccx,crx,[-2.1972810760177843],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 0))",54.67179818563597,11008,1769929362.954564,7203.086881637573,15006,58.161224045964246,3.489425860328275,5.9995743170236855
Add,32,u,h,[],"(Qubit(QuantumRegister(5, 'q'), 3),)",54.67865120693536,1,1769923129.4147663,7203.086881637573,15006,58.161224045964246,3.482572839028883,5.987791516004959
Replace,22,cx,cp,[-0.024990181693026692],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 2))",55.204594133044566,7008,1769929240.4929283,7203.086881637573,15006,58.161224045964246,2.9566299129196807,5.083507029671668
Add,35,rccx,rxx,[0.9584752019248617],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 3))",56.0918088084726,15006,1769929586.1964653,7203.086881637573,15006,58.161224045964246,2.069415237491647,3.5580668588683904
Replace,2,ccx,cz,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 1))",57.2216608893389,14,1769923149.8830929,7203.086881637573,15006,58.161224045964246,0.9395631566253471,1.6154459814718125
Add,35,rccx,csx,[],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 2))",57.80905172016562,8009,1769929320.284656,7203.086881637573,15006,58.161224045964246,0.3521723257986267,0.6055105125028117
Add,14,cx,cp,[-0.45981518626107576],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 0))",57.94290082888027,9009,1769929329.111684,7203.086881637573,15006,58.161224045964246,0.21832321708397728,0.3753758980578514
Replace,43,rccx,ch,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 1))",57.98459084856528,13,1769923143.7701669,7203.086881637573,15006,58.161224045964246,0.17663319739896366,0.30369580471582264
Add,11,rccx,rzx,[0.15256851435047336],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 2))",57.99304293712311,10009,1769929354.4960225,7203.086881637573,15006,58.161224045964246,0.16818110884113935,0.2891636336749506
Add,16,u,crz,[-0.08240873350217726],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 0))",58.11730988422848,2012,1769929106.5232973,7203.086881637573,15006,58.161224045964246,0.04391416173576346,0.07550419107592805
Add,2,ccx,cy,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 0))",58.13886450589887,3,1769923130.00474,7203.086881637573,15006,58.161224045964246,0.02235954006537355,0.03844406721513121
Replace,51,,crx,[-2.2486744311953584],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 4))",58.161224045964246,1013,1769928934.8949885,7203.086881637573,15006,58.161224045964246,0.0,0.0
Add,49,,swap,[],"(Qubit(QuantumRegister(5, 'q'), 3), Qubit(QuantumRegister(5, 'q'), 4))",58.161224045964246,7009,1769929246.7856996,7203.086881637573,15006,58.161224045964246,0.0,0.0
Replace,50,,cy,[],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 2))",58.161224045964246,9010,1769929332.2612948,7203.086881637573,15006,58.161224045964246,0.0,0.0
Replace,33,rccx,crx,[-2.8103256930740383],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 3))",58.400307424565185,8008,1769929313.6262424,7203.086881637573,15006,58.161224045964246,-0.2390833786009381,-0.41107006003173674
Replace,3,rccx,csx,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 4))",59.567262606673395,9,1769923136.8084893,7203.086881637573,15006,58.161224045964246,-1.406038560709149,-2.4174844731568412
Add,5,t,csx,[],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 2))",59.979965022047196,6,1769923130.8682432,7203.086881637573,15006,58.161224045964246,-1.8187409760829496,-3.1270679149489986
Replace,41,rccx,sdg,[],"(Qubit(QuantumRegister(5, 'q'), 2),)",60.711849153496594,4,1769923130.2922676,7203.086881637573,15006,58.161224045964246,-2.5506251075323476,-4.385439181122828
Replace,38,cx,cry,[-2.7622263598695214],"(Qubit(QuantumRegister(5, 'q'), 1), Qubit(QuantumRegister(5, 'q'), 3))",63.593915342323804,13008,1769929392.793012,7203.086881637573,15006,58.161224045964246,-5.4326912963595575,-9.340744431489535
Replace,43,rccx,cx,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 2))",64.05460586156256,12009,1769929379.5163095,7203.086881637573,15006,58.161224045964246,-5.8933818155983175,-10.132836631740824
Replace,15,x,ch,[],"(Qubit(QuantumRegister(5, 'q'), 0), Qubit(QuantumRegister(5, 'q'), 3))",66.22411968410644,7,1769923135.8096316,7203.086881637573,15006,58.161224045964246,-8.062895638142194,-13.863008852375883
Replace,13,x,y,[],"(Qubit(QuantumRegister(5, 'q'), 4),)",67.26317268727564,8,1769923136.1740904,7203.086881637573,15006,58.161224045964246,-9.101948641311395,-15.649513555832687
Replace,48,x,y,[],"(Qubit(QuantumRegister(5, 'q'), 4),)",67.2635959431626,12008,1769929373.642962,7203.086881637573,15006,58.161224045964246,-9.102371897198353,-15.65024128447647
Replace,15,x,rxx,[-0.0928897660066954],"(Qubit(QuantumRegister(5, 'q'), 4), Qubit(QuantumRegister(5, 'q'), 3))",68.50103711537514,14007,1769929562.7707894,7203.086881637573,15006,58.161224045964246,-10.339813069410894,-17.777846389958096
Replace,38,cx,cz,[],"(Qubit(QuantumRegister(5, 'q'), 2), Qubit(QuantumRegister(5, 'q'), 3))",69.11511864765642,12,1769923142.4523425,7203.086881637573,15006,58.161224045964246,-10.95389460169217,-18.833672745668856
Replace,8,x,ry,[0.4556249345595873],"(Qubit(QuantumRegister(5, 'q'), 4),)",69.15492926872918,4010,1769929139.9555662,7203.086881637573,15006,58.161224045964246,-10.99370522276493,-18.902121478868313
