Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,0,ry,t,[],"(Qubit(QuantumRegister(7, 'q'), 0),)",72.49732952817779,6,1769967543.5393934,7204.375691890717,13,72.4970760266926,-0.00025350148519009963,-0.00034967132342932463
Add,25,rx,t,[],"(Qubit(QuantumRegister(7, 'q'), 6),)",107.21171267155728,1,1769967531.879442,7204.375691890717,13,72.4970760266926,-34.71463664486468,-47.88418864242628
Add,19,ry,ch,[],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",126.12083822371144,5,1769967533.5821793,7204.375691890717,13,72.4970760266926,-53.62376219701885,-73.96679305697128
Replace,0,ry,cx,[],"(Qubit(QuantumRegister(7, 'q'), 3), Qubit(QuantumRegister(7, 'q'), 1))",133.73652387546747,8,1769967545.0629237,7204.375691890717,13,72.4970760266926,-61.23944784877487,-84.47161072568942
Add,0,ry,cx,[],"(Qubit(QuantumRegister(7, 'q'), 4), Qubit(QuantumRegister(7, 'q'), 6))",134.68938591339452,11,1769967570.0858083,7204.375691890717,13,72.4970760266926,-62.19230988670192,-85.78595620022443
Add,19,ry,csx,[],"(Qubit(QuantumRegister(7, 'q'), 2), Qubit(QuantumRegister(7, 'q'), 5))",149.72232790719136,13,1769967598.2405877,7204.375691890717,13,72.4970760266926,-77.22525188049876,-106.52188489928243
Add,31,ry,cy,[],"(Qubit(QuantumRegister(7, 'q'), 4), Qubit(QuantumRegister(7, 'q'), 0))",161.03019440584208,4,1769967533.1936586,7204.375691890717,13,72.4970760266926,-88.53311837914949,-122.11957120388222
Add,22,cx,cz,[],"(Qubit(QuantumRegister(7, 'q'), 1), Qubit(QuantumRegister(7, 'q'), 2))",174.4804151577683,10,1769967558.3650758,7204.375691890717,13,72.4970760266926,-101.98333913107571,-140.67234807308176
Add,40,,x,[],"(Qubit(QuantumRegister(7, 'q'), 5),)",179.40694846741806,2,1769967532.3329313,7204.375691890717,13,72.4970760266926,-106.90987244072547,-147.46784049795673
Add,22,cx,ch,[],"(Qubit(QuantumRegister(7, 'q'), 2), Qubit(QuantumRegister(7, 'q'), 0))",188.51789294430034,12,1769967584.2791245,7204.375691890717,13,72.4970760266926,-116.02081691760775,-160.03516731473445
Replace,12,cx,cy,[],"(Qubit(QuantumRegister(7, 'q'), 5), Qubit(QuantumRegister(7, 'q'), 2))",194.65181673664355,7,1769967544.6204803,7204.375691890717,13,72.4970760266926,-122.15474070995096,-168.49609309067165
Replace,24,cx,cz,[],"(Qubit(QuantumRegister(7, 'q'), 2), Qubit(QuantumRegister(7, 'q'), 3))",196.9172324597121,9,1769967557.6222153,7204.375691890717,13,72.4970760266926,-124.4201564330195,-171.62093045960836
Replace,11,cx,z,[],"(Qubit(QuantumRegister(7, 'q'), 5),)",221.03395717416433,3,1769967532.7485693,7204.375691890717,13,72.4970760266926,-148.53688114747172,-204.88671997306778
