Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Add,10,cx,swap,[],"(Qubit(QuantumRegister(7, 'q'), 3), Qubit(QuantumRegister(7, 'q'), 2))",164.91870736595808,11,1769997222.2083786,7204.037082433701,17,181.1071853999446,16.188478033986513,8.938617205185425
Replace,35,,csx,[],"(Qubit(QuantumRegister(7, 'q'), 1), Qubit(QuantumRegister(7, 'q'), 4))",181.1071853999446,1,1769997209.3663287,7204.037082433701,17,181.1071853999446,0.0,0.0
Replace,34,,csx,[],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 1))",181.1071853999446,5,1769997210.8408558,7204.037082433701,17,181.1071853999446,0.0,0.0
Replace,37,,tdg,[],"(Qubit(QuantumRegister(7, 'q'), 0),)",181.1071853999446,9,1769997220.6566844,7204.037082433701,17,181.1071853999446,0.0,0.0
Add,0,ry,z,[],"(Qubit(QuantumRegister(7, 'q'), 0),)",181.1071853999446,14,1769997233.7081354,7204.037082433701,17,181.1071853999446,0.0,0.0
Add,24,cx,x,[],"(Qubit(QuantumRegister(7, 'q'), 3),)",186.31802890797766,7,1769997211.6335027,7204.037082433701,17,181.1071853999446,-5.210843508033065,-2.8772152228669436
Add,38,,y,[],"(Qubit(QuantumRegister(7, 'q'), 5),)",196.13826323754105,12,1769997222.6197968,7204.037082433701,17,181.1071853999446,-15.031077837596456,-8.29954802974982
Add,31,ry,csx,[],"(Qubit(QuantumRegister(7, 'q'), 6), Qubit(QuantumRegister(7, 'q'), 4))",201.3835934978308,8,1769997212.094576,7204.037082433701,17,181.1071853999446,-20.27640809788619,-11.195805430419103
Replace,28,ry,ch,[],"(Qubit(QuantumRegister(7, 'q'), 2), Qubit(QuantumRegister(7, 'q'), 4))",201.97564052307578,15,1769997234.1023939,7204.037082433701,17,181.1071853999446,-20.868455123131184,-11.522709646802102
Add,17,ry,z,[],"(Qubit(QuantumRegister(7, 'q'), 3),)",202.8150509575203,6,1769997211.2228415,7204.037082433701,17,181.1071853999446,-21.7078655575757,-11.986197847223758
Add,5,ry,ch,[],"(Qubit(QuantumRegister(7, 'q'), 4), Qubit(QuantumRegister(7, 'q'), 1))",211.63495477926648,17,1769997246.8294451,7204.037082433701,17,181.1071853999446,-30.52776937932188,-16.856188953467786
Replace,30,ry,swap,[],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 2))",221.42435447137464,13,1769997232.034672,7204.037082433701,17,181.1071853999446,-40.317169071430044,-22.261496131363533
Replace,11,cx,sdg,[],"(Qubit(QuantumRegister(7, 'q'), 5),)",222.18512265311472,2,1769997209.7774022,7204.037082433701,17,181.1071853999446,-41.07793725317012,-22.68156128783982
Replace,15,ry,swap,[],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 5))",235.00469170966036,3,1769997210.0623975,7204.037082433701,17,181.1071853999446,-53.897506309715766,-29.76000438121339
Add,4,ry,h,[],"(Qubit(QuantumRegister(7, 'q'), 5),)",241.79747081206304,16,1769997243.2202954,7204.037082433701,17,181.1071853999446,-60.69028541211844,-33.51069990850678
Replace,16,ry,cx,[],"(Qubit(QuantumRegister(7, 'q'), 1), Qubit(QuantumRegister(7, 'q'), 2))",242.32478191675023,10,1769997221.044451,7204.037082433701,17,181.1071853999446,-61.21759651680563,-33.801859590284565
Replace,13,ry,swap,[],"(Qubit(QuantumRegister(7, 'q'), 0), Qubit(QuantumRegister(7, 'q'), 3))",244.03686317092405,4,1769997210.5084195,7204.037082433701,17,181.1071853999446,-62.92967777097945,-34.74720101911468
